process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,81.0,81.0,81.0
QCD_from_photon_purity,VH_2j2b_MET_200_2000,3.1267592906951904,3.1267592906951904,0.5841012191772461
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j2b_MET_200_2000,52.566627502441406,52.566627502441406,18.36105712890625
data,VH_1V_MET_200_300,1950.0,1950.0,1950.0
QCD_from_photon_purity,VH_1V_MET_200_300,77.43959045410156,77.43959045410156,351.51871093749986
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_200_300,2030.103271484375,2030.103271484375,49181.46
data,VH_1V_MET_300_400,566.0,566.0,566.0
QCD_from_photon_purity,VH_1V_MET_300_400,21.04305076599121,21.04305076599121,26.056264648437505
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_300_400,570.8596801757812,570.8596801757812,4214.4853125
data,VH_1V_MET_400_2000,21.0,21.0,21.0
QCD_from_photon_purity,VH_1V_MET_400_2000,0.7080971002578735,0.7080971002578735,0.03012747049331665
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_400_2000,26.441577911376953,26.441577911376953,11.520098876953124
data,VH_2j0b_MET_200_300,5013.0,5013.0,5013.0
QCD_from_photon_purity,VH_2j0b_MET_200_300,198.83090209960938,198.83090209960938,2307.7824999999993
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_200_300,5235.673828125,5235.673828125,46640.51
data,VH_2j0b_MET_300_400,1729.0,1729.0,1729.0
QCD_from_photon_purity,VH_2j0b_MET_300_400,64.10378265380861,64.10378265380861,239.316328125
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
Ewk,VH_2j0b_MET_300_400,1871.290771484375,1871.290771484375,5718.556875
ggF,VH_2j0b_MET_300_400,0.01316429115831852,0.01316429115831852,4.034264129586516e-06
data,VH_2j0b_MET_400_2000,174.0,174.0,174.0
QCD_from_photon_purity,VH_2j0b_MET_400_2000,5.778103828430176,5.778103828430176,1.9453016662597653
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
