process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,43.0,43.0,43.0
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j2b_MET_200_2000,45.328514099121094,45.328514099121094,25.87577392578125
ttH,VH_2j2b_MET_200_2000,0.018145544454455376,0.018145544454455376,1.1481333058327436e-05
data,VH_1V_MET_200_300,1273.0,1273.0,1273.0
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_200_300,1247.714111328125,1247.714111328125,38879.6675
ttH,VH_1V_MET_200_300,0.13448566198349002,0.13448566198349002,0.0005200596153736116
data,VH_1V_MET_300_400,220.0,220.0,220.0
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_300_400,222.96868896484366,222.96868896484366,971.792734375
ttH,VH_1V_MET_300_400,0.056762982159852975,0.056762982159852975,7.224991917610168e-05
data,VH_1V_MET_400_2000,16.0,16.0,16.0
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_400_2000,16.484466552734375,16.484466552734375,7.056735839843749
ttH,VH_1V_MET_400_2000,0.00492832250893116,0.00492832250893116,1.5174098371062428e-06
data,VH_2j0b_MET_200_300,2625.0,2625.0,2625.0
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_200_300,2139.541748046875,2139.541748046875,112596.58
ttH,VH_2j0b_MET_200_300,0.16416679322719574,0.16416679322719574,0.000695628821849823
data,VH_2j0b_MET_300_400,485.0,485.0,485.0
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_300_400,372.9139404296875,372.9139404296875,1905.0896875000005
ttH,VH_2j0b_MET_300_400,0.0647340938448906,0.0647340938448906,6.334742065519094e-05
data,VH_2j0b_MET_400_2000,62.0,62.0,62.0
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_400_2000,42.20202255249024,42.20202255249024,27.64295166015625
ttH,VH_2j0b_MET_400_2000,0.009945577010512352,0.009945577010512352,1.9602323300205173e-06
data,VH_2j1b_MET_200_300,449.0,449.0,449.0
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_200_300,394.71466064453125,394.71466064453125,1333.315
ttH,VH_2j1b_MET_200_300,0.1251482367515564,0.1251482367515564,0.00029522068798542016
data,VH_2j1b_MET_300_400,70.0,70.0,70.0
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_300_400,66.67923736572266,66.67923736572266,42.21520019531251
ttH,VH_2j1b_MET_300_400,0.03170411288738252,0.03170411288738252,0.00017715752124786377
data,VH_2j1b_MET_400_2000,8.0,8.0,8.0
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_400_2000,7.8468475341796875,7.8468475341796875,1.3032037353515626
ttH,VH_2j1b_MET_400_2000,0.0028111482970416546,0.0028111482970416546,1.096755731850862e-06
