process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,140.07200622558594,140.07200622558594,1907.6921875
total_pred_prefit,VH_1V_MET_300_400,28.652456283569336,28.652456283569336,44.486826171875
total_pred_prefit,VH_1V_MET_400_2000,1.7864433526992798,1.7864433526992798,0.25611450195312496
total_pred_prefit,VH_2j0b_MET_200_300,327.73291015625,327.73291015625,12562.2175
total_pred_prefit,VH_2j0b_MET_300_400,66.8306884765625,66.8306884765625,238.97470703125
total_pred_prefit,VH_2j0b_MET_400_2000,7.250741481781006,7.250741481781006,1.7508175659179688
total_pred_prefit,VH_2j1b_MET_200_300,36.29826736450195,36.29826736450195,116.01590820312498
total_pred_prefit,VH_2j1b_MET_300_400,7.607240200042725,7.607240200042725,2.4498925781250005
total_pred_prefit,VH_2j1b_MET_400_2000,1.356664776802063,1.356664776802063,0.12737089157104492
total_pred_prefit,VH_2j2b_MET_200_2000,8.593209266662598,8.593209266662598,4.916517028808593
data,VH_2j2b_MET_200_2000,8.0,8.0,8.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,12.734015464782715,12.734015464782715,4.050422058105469
data,VH_1V_MET_200_300,154.0,154.0,154.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,155.53158569335938,155.53158569335938,66.441787109375
data,VH_1V_MET_300_400,28.0,28.0,28.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,31.54944038391113,31.54944038391113,5.659283447265624
data,VH_1V_MET_400_2000,1.0,1.0,1.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,1.3729466199874878,1.3729466199874878,0.14194262504577634
data,VH_2j0b_MET_200_300,359.0,359.0,359.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,376.8039855957031,376.8039855957031,170.96509765625
data,VH_2j0b_MET_300_400,83.0,83.0,83.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,74.53717041015625,74.53717041015625,14.010838623046874
data,VH_2j0b_MET_400_2000,8.0,8.0,8.0
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j0b_MET_400_2000,6.768937587738037,6.768937587738037,0.5747618103027343
data,VH_2j1b_MET_200_300,46.0,46.0,46.0
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j1b_MET_200_300,45.43408584594727,45.43408584594727,12.13383544921875
data,VH_2j1b_MET_300_400,11.0,11.0,11.0
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j1b_MET_300_400,9.510305404663086,9.510305404663086,1.5246368408203126
data,VH_2j1b_MET_400_2000,2.0,2.0,2.0
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j1b_MET_400_2000,1.3105361461639404,1.3105361461639404,0.16035758972167968
total_pred_postfit,VH_1V_MET_200_300,155.53158569335938,155.53158569335938,66.441787109375
total_pred_postfit,VH_1V_MET_300_400,31.54944038391113,31.54944038391113,5.659283447265624
total_pred_postfit,VH_1V_MET_400_2000,1.3729466199874878,1.3729466199874878,0.14194262504577634
total_pred_postfit,VH_2j0b_MET_200_300,376.8039855957031,376.8039855957031,170.96509765625
total_pred_postfit,VH_2j0b_MET_300_400,74.53717041015625,74.53717041015625,14.010838623046874
total_pred_postfit,VH_2j0b_MET_400_2000,6.768937587738037,6.768937587738037,0.5747618103027343
total_pred_postfit,VH_2j1b_MET_200_300,45.43408584594727,45.43408584594727,12.13383544921875
total_pred_postfit,VH_2j1b_MET_300_400,9.510305404663086,9.510305404663086,1.5246368408203126
total_pred_postfit,VH_2j1b_MET_400_2000,1.3105361461639404,1.3105361461639404,0.16035758972167968
total_pred_postfit,VH_2j2b_MET_200_2000,12.734015464782715,12.734015464782715,4.050422058105469
