process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,8.0,8.0,8.0
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j2b_MET_200_2000,8.593209266662598,8.593209266662598,4.916517028808593
data,VH_1V_MET_200_300,154.0,154.0,154.0
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_200_300,140.07200622558594,140.07200622558594,1907.6921875
data,VH_1V_MET_300_400,28.0,28.0,28.0
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_300_400,28.652456283569336,28.652456283569336,44.486826171875
data,VH_1V_MET_400_2000,1.0,1.0,1.0
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_400_2000,1.7864433526992798,1.7864433526992798,0.25611450195312496
data,VH_2j0b_MET_200_300,359.0,359.0,359.0
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_200_300,327.73291015625,327.73291015625,12562.2175
data,VH_2j0b_MET_300_400,83.0,83.0,83.0
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_300_400,66.8306884765625,66.8306884765625,238.97470703125
data,VH_2j0b_MET_400_2000,8.0,8.0,8.0
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_400_2000,7.250741481781006,7.250741481781006,1.7508175659179688
data,VH_2j1b_MET_200_300,46.0,46.0,46.0
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_200_300,36.29826736450195,36.29826736450195,116.01590820312498
data,VH_2j1b_MET_300_400,11.0,11.0,11.0
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_300_400,7.607240200042725,7.607240200042725,2.4498925781250005
data,VH_2j1b_MET_400_2000,2.0,2.0,2.0
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_400_2000,1.356664776802063,1.356664776802063,0.12737089157104492
