process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,218.8702545166016,218.8702545166016,4310.856875000001
total_pred_prefit,VH_1V_MET_300_400,38.27502822875977,38.27502822875977,55.13178222656251
total_pred_prefit,VH_1V_MET_400_2000,3.0365304946899414,3.0365304946899414,0.3128246116638183
total_pred_prefit,VH_2j0b_MET_200_300,485.9611511230469,485.9611511230469,27064.6775
total_pred_prefit,VH_2j0b_MET_300_400,97.94776153564452,97.94776153564452,399.4545703125
total_pred_prefit,VH_2j0b_MET_400_2000,11.029532432556152,11.029532432556152,1.25662483215332
total_pred_prefit,VH_2j1b_MET_200_300,49.8662338256836,49.8662338256836,225.76720703125
total_pred_prefit,VH_2j1b_MET_300_400,11.707834243774414,11.707834243774414,4.355486755371095
total_pred_prefit,VH_2j1b_MET_400_2000,1.429003357887268,1.429003357887268,0.08461049079895018
total_pred_prefit,VH_2j2b_MET_200_2000,10.96578311920166,10.96578311920166,3.303482360839844
data,VH_2j2b_MET_200_2000,14.0,14.0,14.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,15.7258882522583,15.7258882522583,4.4028268432617175
data,VH_1V_MET_200_300,217.0,217.0,217.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,231.1021881103516,231.1021881103516,109.13870117187498
data,VH_1V_MET_300_400,45.0,45.0,45.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,41.23616790771485,41.23616790771485,9.530961303710935
data,VH_1V_MET_400_2000,1.0,1.0,1.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,2.233027219772339,2.233027219772339,0.2997934150695801
data,VH_2j0b_MET_200_300,566.0,566.0,566.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,545.10546875,545.10546875,287.64705078125
data,VH_2j0b_MET_300_400,129.0,129.0,129.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,105.74546813964844,105.74546813964844,19.90157592773437
data,VH_2j0b_MET_400_2000,15.0,15.0,15.0
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j0b_MET_400_2000,9.75136947631836,9.75136947631836,0.9335586547851562
data,VH_2j1b_MET_200_300,51.0,51.0,51.0
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j1b_MET_200_300,58.956398010253906,58.956398010253906,16.637034912109378
data,VH_2j1b_MET_300_400,13.0,13.0,13.0
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j1b_MET_300_400,13.758382797241213,13.758382797241213,2.425352020263672
data,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j1b_MET_400_2000,1.2737376689910889,1.2737376689910889,0.15054135322570802
total_pred_postfit,VH_1V_MET_200_300,231.1021881103516,231.1021881103516,109.13870117187498
total_pred_postfit,VH_1V_MET_300_400,41.23616790771485,41.23616790771485,9.530961303710935
total_pred_postfit,VH_1V_MET_400_2000,2.233027219772339,2.233027219772339,0.2997934150695801
total_pred_postfit,VH_2j0b_MET_200_300,545.10546875,545.10546875,287.64705078125
total_pred_postfit,VH_2j0b_MET_300_400,105.74546813964844,105.74546813964844,19.90157592773437
total_pred_postfit,VH_2j0b_MET_400_2000,9.75136947631836,9.75136947631836,0.9335586547851562
total_pred_postfit,VH_2j1b_MET_200_300,58.956398010253906,58.956398010253906,16.637034912109378
total_pred_postfit,VH_2j1b_MET_300_400,13.758382797241213,13.758382797241213,2.425352020263672
total_pred_postfit,VH_2j1b_MET_400_2000,1.2737376689910889,1.2737376689910889,0.15054135322570802
total_pred_postfit,VH_2j2b_MET_200_2000,15.7258882522583,15.7258882522583,4.4028268432617175
