process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,202.0,202.0,202.0
QCD_from_photon_purity,VH_2j2b_MET_200_2000,6.094966411590576,6.094966411590576,1.813482666015625
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_2j2b_MET_200_2000,163.9510040283203,163.9510040283203,313.27337890625
data,VH_1V_MET_200_300,2685.0,2685.0,2685.0
QCD_from_photon_purity,VH_1V_MET_200_300,86.58735656738281,86.58735656738281,366.0196875
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_1V_MET_200_300,2380.619140625,2380.619140625,53607.9
data,VH_1V_MET_300_400,1007.0,1007.0,1007.0
QCD_from_photon_purity,VH_1V_MET_300_400,29.899322509765625,29.899322509765625,43.55869140625
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_1V_MET_300_400,987.134033203125,987.134033203125,10158.6675
data,VH_1V_MET_400_2000,117.0,117.0,117.0
QCD_from_photon_purity,VH_1V_MET_400_2000,2.7439513206481934,2.7439513206481934,0.3674367141723633
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_1V_MET_400_2000,107.5814971923828,107.5814971923828,180.71158203125003
data,VH_2j0b_MET_200_300,11277.0,11277.0,11277.0
QCD_from_photon_purity,VH_2j0b_MET_200_300,363.8569030761719,363.8569030761719,6456.65
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_2j0b_MET_200_300,11046.23046875,11046.23046875,207611.22
data,VH_2j0b_MET_300_400,5343.0,5343.0,5343.0
QCD_from_photon_purity,VH_2j0b_MET_300_400,155.92457580566406,155.92457580566406,1186.0463281250004
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
Ewk,VH_2j0b_MET_300_400,6198.8466796875,6198.8466796875,65457.115
ggF,VH_2j0b_MET_300_400,0.01316429115831852,0.01316429115831852,5.0968164578080185e-06
data,VH_2j0b_MET_400_2000,1582.0,1582.0,1582.0
QCD_from_photon_purity,VH_2j0b_MET_400_2000,34.851844787597656,34.851844787597656,59.2702978515625
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_2j0b_MET_400_2000,2236.733154296875,2236.733154296875,8887.005625
data,VH_2j1b_MET_200_300,1121.0,1121.0,1121.0
QCD_from_photon_purity,VH_2j1b_MET_200_300,35.55740737915039,35.55740737915039,61.6495703125
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_2j1b_MET_200_300,987.7261352539062,987.7261352539062,6051.23125
data,VH_2j1b_MET_300_400,529.0,529.0,529.0
QCD_from_photon_purity,VH_2j1b_MET_300_400,15.122517585754395,15.122517585754395,11.142337646484377
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_2j1b_MET_300_400,494.6876220703125,494.6876220703125,2372.1578125
data,VH_2j1b_MET_400_2000,192.0,192.0,192.0
QCD_from_photon_purity,VH_2j1b_MET_400_2000,3.928438901901245,3.928438901901245,0.7541436767578126
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,VH_2j1b_MET_400_2000,205.61854553222656,205.61854553222656,438.5850390625
