process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,4369.845458985375,4369.845458985375,530353.7849999999
total_pred_prefit,VH_1V_MET_300_400,665.9808807383047,665.9808807383047,6933.034453125
total_pred_prefit,VH_1V_MET_400_2000,39.065275193260746,39.065275193260746,15.649659423828124
total_pred_prefit,VH_2j0b_MET_200_300,8820.736325548729,8820.736325548729,3735534.100003723
total_pred_prefit,VH_2j0b_MET_300_400,1449.934631348656,1449.934631348656,52302.4596875
total_pred_prefit,VH_2j0b_MET_400_2000,145.09888458351952,145.09888458351952,118.12571166992188
total_pred_prefit,VH_2j1b_MET_200_300,1096.997802735375,1096.997802735375,27630.117500000008
total_pred_prefit,VH_2j1b_MET_300_400,165.4471435556875,165.4471435556875,431.6633447265625
total_pred_prefit,VH_2j1b_MET_400_2000,17.687201024101807,17.687201024101807,2.0409243774414065
total_pred_prefit,VH_2j2b_MET_200_2000,250.3387451181875,250.3387451181875,693.6632617187499
data,VH_2j2b_MET_200_2000,233.0,233.0,233.0
Qcd,VH_2j2b_MET_200_2000,6.453085288349314e-10,6.453085288349314e-10,1.314545999610288e-19
Ttw,VH_2j2b_MET_200_2000,118.08402252197266,118.08402252197266,35.2810546875
VBF,VH_2j2b_MET_200_2000,2.0440703352164746e-08,2.0440703352164746e-08,1.0765837288317924e-09
VH,VH_2j2b_MET_200_2000,5.411409915723198e-07,5.411409915723198e-07,7.758836727589369e-07
Zinv,VH_2j2b_MET_200_2000,137.17356872558594,137.17356872558594,99.028564453125
ggF,VH_2j2b_MET_200_2000,3.5837928180626484e-08,3.5837928180626484e-08,3.203998346634762e-09
ttH,VH_2j2b_MET_200_2000,5.710959705140794e-09,5.710959705140794e-09,8.969241349632285e-11
data,VH_1V_MET_200_300,3995.0,3995.0,3995.0
Qcd,VH_1V_MET_200_300,6.453085288349314e-10,6.453085288349314e-10,1.314545999610288e-19
Ttw,VH_1V_MET_200_300,1367.6904296875,1367.6904296875,894.9961718749997
VBF,VH_1V_MET_200_300,9.038209469736104e-08,9.038209469736104e-08,2.0857987692579622e-08
VH,VH_1V_MET_200_300,6.255687367229257e-06,6.255687367229257e-06,0.00010013217106461523
Zinv,VH_1V_MET_200_300,2906.38916015625,2906.38916015625,3071.496875
ggF,VH_1V_MET_200_300,6.06181743023626e-07,6.06181743023626e-07,8.896673534763977e-07
ttH,VH_1V_MET_200_300,8.346609625675683e-09,8.346609625675683e-09,1.8221946618268703e-10
data,VH_1V_MET_300_400,700.0,700.0,700.0
Qcd,VH_1V_MET_300_400,6.453085288349314e-10,6.453085288349314e-10,1.314545999610288e-19
VBF,VH_1V_MET_300_400,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
Ttw,VH_1V_MET_300_400,166.8500213623047,166.8500213623047,51.075830078125
VH,VH_1V_MET_300_400,1.9011176846106537e-06,1.9011176846106537e-06,9.20854858122766e-06
Zinv,VH_1V_MET_300_400,550.76318359375,550.76318359375,379.4244921875
ggF,VH_1V_MET_300_400,1.33340819274963e-07,1.33340819274963e-07,4.299857209844048e-08
ttH,VH_1V_MET_300_400,1.93317295504869e-09,1.93317295504869e-09,9.72572355983914e-12
data,VH_1V_MET_400_2000,44.0,44.0,44.0
Qcd,VH_1V_MET_400_2000,6.453085288349314e-10,6.453085288349314e-10,1.314545999610288e-19
VBF,VH_1V_MET_400_2000,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
Ttw,VH_1V_MET_400_2000,8.22293758392334,8.22293758392334,1.0636568450927733
VH,VH_1V_MET_400_2000,1.9558891040105664e-07,1.9558891040105664e-07,9.67316918831784e-08
Zinv,VH_1V_MET_400_2000,36.753089904785156,36.753089904785156,16.059127197265624
ggF,VH_1V_MET_400_2000,5.950571146939865e-09,5.950571146939865e-09,8.612165203203405e-11
ttH,VH_1V_MET_400_2000,3.2909741598530223e-10,3.2909741598530223e-10,3.3061713089477255e-13
data,VH_2j0b_MET_200_300,9573.0,9573.0,9573.0
Qcd,VH_2j0b_MET_200_300,0.0014162512961775064,0.0014162512961775064,6.331717304419729e-07
Ttw,VH_2j0b_MET_200_300,3547.800048828125,3547.800048828125,2219.68828125
VBF,VH_2j0b_MET_200_300,1.1497776597479973e-07,1.1497776597479973e-07,3.371800175955286e-08
VH,VH_2j0b_MET_200_300,3.772983291128185e-06,3.772983291128185e-06,3.6626986693590884e-05
