process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,1386.45751953125,1386.45751953125,58706.11000000001
total_pred_prefit,VH_1V_MET_300_400,302.7183837890625,302.7183837890625,1846.4234375000005
total_pred_prefit,VH_1V_MET_400_2000,40.96138381958008,40.96138381958008,34.647395019531245
total_pred_prefit,VH_2j0b_MET_200_300,4399.20361328125,4399.20361328125,733951.1999999998
total_pred_prefit,VH_2j0b_MET_300_400,1136.5684814453125,1136.5684814453125,21967.222500000003
total_pred_prefit,VH_2j0b_MET_400_2000,341.119140625,341.119140625,1557.1628124999993
total_pred_prefit,VH_2j1b_MET_200_300,749.3352661132812,749.3352661132812,7650.5324999999975
total_pred_prefit,VH_2j1b_MET_300_400,162.01800537109375,162.01800537109375,388.6145703125
total_pred_prefit,VH_2j1b_MET_400_2000,42.74519729614258,42.74519729614258,31.076601562499995
total_pred_prefit,VH_2j2b_MET_200_2000,176.08169555664062,176.08169555664062,461.8053125
data,VH_2j2b_MET_200_2000,178.0,178.0,178.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,176.70794677734375,176.70794677734375,79.90044921875
ttH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
data,VH_1V_MET_200_300,1423.0,1423.0,1423.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,1411.8973388671875,1411.8973388671875,731.553671875
ttH,VH_1V_MET_200_300,0.0,0.0,0.0
data,VH_1V_MET_300_400,298.0,298.0,298.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,318.6417541503906,318.6417541503906,166.47632812499995
ttH,VH_1V_MET_300_400,0.0,0.0,0.0
data,VH_1V_MET_400_2000,35.0,35.0,35.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,38.65065002441406,38.65065002441406,27.598706054687504
ttH,VH_1V_MET_400_2000,0.0,0.0,0.0
data,VH_2j0b_MET_200_300,5466.0,5466.0,5466.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,5489.72607421875,5489.72607421875,3302.020625
ttH,VH_2j0b_MET_200_300,0.0,0.0,0.0
data,VH_2j0b_MET_300_400,1402.0,1402.0,1402.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,1424.5662841796875,1424.5662841796875,817.36125
