process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,1247.714111328125,1247.714111328125,38795.9725
total_pred_prefit,VH_1V_MET_300_400,222.96868896484366,222.96868896484366,898.02125
total_pred_prefit,VH_1V_MET_400_2000,16.484466552734375,16.484466552734375,7.181550292968751
total_pred_prefit,VH_2j0b_MET_200_300,2139.541748046875,2139.541748046875,116832.32
total_pred_prefit,VH_2j0b_MET_300_400,372.9139404296875,372.9139404296875,1847.01625
total_pred_prefit,VH_2j0b_MET_400_2000,42.20202255249024,42.20202255249024,29.67795654296875
total_pred_prefit,VH_2j1b_MET_200_300,394.71466064453125,394.71466064453125,1447.5148437499995
total_pred_prefit,VH_2j1b_MET_300_400,66.67923736572266,66.67923736572266,51.56254394531249
total_pred_prefit,VH_2j1b_MET_400_2000,7.8468475341796875,7.8468475341796875,1.337530822753906
total_pred_prefit,VH_2j2b_MET_200_2000,45.328514099121094,45.328514099121094,29.6421728515625
data,VH_2j2b_MET_200_2000,43.0,43.0,43.0
Ewk,VH_2j2b_MET_200_2000,34.843292236328125,34.843292236328125,12.450018310546875
data,VH_1V_MET_200_300,1273.0,1273.0,1273.0
Ewk,VH_1V_MET_200_300,1240.68505859375,1240.68505859375,911.069453125
data,VH_1V_MET_300_400,220.0,220.0,220.0
Ewk,VH_1V_MET_300_400,225.98731994628903,225.98731994628903,144.018095703125
data,VH_1V_MET_400_2000,16.0,16.0,16.0
Ewk,VH_1V_MET_400_2000,14.366448402404785,14.366448402404785,8.064210815429687
data,VH_2j0b_MET_200_300,2625.0,2625.0,2625.0
Ewk,VH_2j0b_MET_200_300,2651.919189453125,2651.919189453125,1978.45625
data,VH_2j0b_MET_300_400,485.0,485.0,485.0
Ewk,VH_2j0b_MET_300_400,485.1756286621094,485.1756286621094,314.56705078125
data,VH_2j0b_MET_400_2000,62.0,62.0,62.0
Ewk,VH_2j0b_MET_400_2000,63.13427352905274,63.13427352905274,34.13219970703125
data,VH_2j1b_MET_200_300,449.0,449.0,449.0
Ewk,VH_2j1b_MET_200_300,444.9287414550781,444.9287414550781,174.62664062499996
data,VH_2j1b_MET_300_400,70.0,70.0,70.0
Ewk,VH_2j1b_MET_300_400,70.26768493652344,70.26768493652344,27.28167236328125
data,VH_2j1b_MET_400_2000,8.0,8.0,8.0
Ewk,VH_2j1b_MET_400_2000,5.527649879455566,5.527649879455566,2.2230992126464844
total_pred_postfit,VH_1V_MET_200_300,1240.68505859375,1240.68505859375,911.069453125
total_pred_postfit,VH_1V_MET_300_400,225.98731994628903,225.98731994628903,144.018095703125
total_pred_postfit,VH_1V_MET_400_2000,14.366448402404785,14.366448402404785,8.064210815429687
total_pred_postfit,VH_2j0b_MET_200_300,2651.919189453125,2651.919189453125,1978.45625
total_pred_postfit,VH_2j0b_MET_300_400,485.1756286621094,485.1756286621094,314.56705078125
total_pred_postfit,VH_2j0b_MET_400_2000,63.13427352905274,63.13427352905274,34.13219970703125
total_pred_postfit,VH_2j1b_MET_200_300,444.9287414550781,444.9287414550781,174.62664062499996
total_pred_postfit,VH_2j1b_MET_300_400,70.26768493652344,70.26768493652344,27.28167236328125
total_pred_postfit,VH_2j1b_MET_400_2000,5.527649879455566,5.527649879455566,2.2230992126464844
total_pred_postfit,VH_2j2b_MET_200_2000,34.843292236328125,34.843292236328125,12.450018310546875
