process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,2080.09228515625,2080.09228515625,70089.65499999997
total_pred_prefit,VH_1V_MET_300_400,435.14361572265625,435.14361572265625,2193.23859375
total_pred_prefit,VH_1V_MET_400_2000,54.36922836303711,54.36922836303711,48.457529296875
total_pred_prefit,VH_2j0b_MET_200_300,5510.6220703125,5510.6220703125,956855.4399999998
total_pred_prefit,VH_2j0b_MET_300_400,1443.8017578125,1443.8017578125,25824.34
total_pred_prefit,VH_2j0b_MET_400_2000,411.4438171386719,411.4438171386719,2127.52609375
total_pred_prefit,VH_2j1b_MET_200_300,1110.0689697265623,1110.0689697265623,10726.750000000002
total_pred_prefit,VH_2j1b_MET_300_400,219.7396545410156,219.7396545410156,386.12871093750016
total_pred_prefit,VH_2j1b_MET_400_2000,60.34646606445313,60.34646606445313,42.729521484375
total_pred_prefit,VH_2j2b_MET_200_2000,258.18563842773443,258.18563842773443,590.047109375
data,VH_2j2b_MET_200_2000,251.0,251.0,251.0
VBF,VH_2j2b_MET_200_2000,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_2j2b_MET_200_2000,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,VH_2j2b_MET_200_2000,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,VH_2j2b_MET_200_2000,251.6642303466797,251.6642303466797,155.95185546875
ttH,VH_2j2b_MET_200_2000,3.4991696207242744e-09,3.4991696207242744e-09,3.337705001271729e-11
data,VH_1V_MET_200_300,1967.0,1967.0,1967.0
VBF,VH_1V_MET_200_300,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_1V_MET_200_300,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
Ewk,VH_1V_MET_200_300,1977.12548828125,1977.12548828125,1489.7415625
ggF,VH_1V_MET_200_300,2.101555041100766e-10,2.101555041100766e-10,1.0532265164175937e-13
ttH,VH_1V_MET_200_300,4.329051783713568e-09,4.329051783713568e-09,4.9046593453283536e-11
data,VH_1V_MET_300_400,449.0,449.0,449.0
VBF,VH_1V_MET_300_400,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_1V_MET_300_400,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,VH_1V_MET_300_400,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,VH_1V_MET_300_400,443.5224609375,443.5224609375,312.2148046875
ttH,VH_1V_MET_300_400,1.7530659146558494e-09,1.7530659146558494e-09,8.175383148234519e-12
data,VH_1V_MET_400_2000,56.0,56.0,56.0
VBF,VH_1V_MET_400_2000,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_1V_MET_400_2000,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,VH_1V_MET_400_2000,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,VH_1V_MET_400_2000,52.62509155273438,52.62509155273438,29.8299853515625
ttH,VH_1V_MET_400_2000,2.225195860905416e-10,2.225195860905416e-10,1.5842334388782575e-13
data,VH_2j0b_MET_200_300,6597.0,6597.0,6597.0
VBF,VH_2j0b_MET_200_300,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_2j0b_MET_200_300,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,VH_2j0b_MET_200_300,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,VH_2j0b_MET_200_300,6661.76953125,6661.76953125,3998.2796875
ttH,VH_2j0b_MET_200_300,5.096744803978481e-09,5.096744803978481e-09,6.778837491339118e-11
data,VH_2j0b_MET_300_400,1828.0,1828.0,1828.0
VBF,VH_2j0b_MET_300_400,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_2j0b_MET_300_400,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,VH_2j0b_MET_300_400,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,VH_2j0b_MET_300_400,1829.498046875,1829.498046875,1096.4039843750004
ttH,VH_2j0b_MET_300_400,1.3093994777335638e-09,1.3093994777335638e-09,4.444901668954059e-12
data,VH_2j0b_MET_400_2000,524.0,524.0,524.0
VBF,VH_2j0b_MET_400_2000,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_2j0b_MET_400_2000,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,VH_2j0b_MET_400_2000,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,VH_2j0b_MET_400_2000,516.4273681640625,516.4273681640625,301.72451171875
ttH,VH_2j0b_MET_400_2000,4.390842689439012e-10,4.390842689439012e-10,5.103141520468312e-13
data,VH_2j1b_MET_200_300,1179.0,1179.0,1179.0
VBF,VH_2j1b_MET_200_300,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_2j1b_MET_200_300,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,VH_2j1b_MET_200_300,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,VH_2j1b_MET_200_300,1244.00341796875,1244.00341796875,828.6621875
ttH,VH_2j1b_MET_200_300,8.333948642302857e-09,8.333948642302857e-09,1.8493699016630667e-10
data,VH_2j1b_MET_300_400,242.0,242.0,242.0
VBF,VH_2j1b_MET_300_400,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,VH_2j1b_MET_300_400,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,VH_2j1b_MET_300_400,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
