process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,46.0,46.0,46.0
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j2b_MET_200_2000,70.93936157226562,70.93936157226562,45.0373486328125
ttH,VH_2j2b_MET_200_2000,0.04944515228271485,0.04944515228271485,2.947865286841989e-05
data,VH_1V_MET_200_300,1616.0,1616.0,1616.0
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
Ewk,VH_1V_MET_200_300,1698.48583984375,1698.48583984375,69326.50500000003
ggF,VH_1V_MET_200_300,0.01385276671499014,0.01385276671499014,3.0534714460372924e-06
ttH,VH_1V_MET_200_300,0.30690956115722656,0.30690956115722656,0.0025395312905311584
data,VH_1V_MET_300_400,277.0,277.0,277.0
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_300_400,277.993896484375,277.993896484375,1250.9721875000002
ttH,VH_1V_MET_300_400,0.09369798749685287,0.09369798749685287,0.0005809126049280168
data,VH_1V_MET_400_2000,14.0,14.0,14.0
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_1V_MET_400_2000,21.16235542297364,21.16235542297364,9.959017333984377
ttH,VH_1V_MET_400_2000,0.007484001107513905,0.007484001107513905,1.6872660489752887e-05
data,VH_2j0b_MET_200_300,3271.0,3271.0,3271.0
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_200_300,2670.36865234375,2670.36865234375,208351.52
ttH,VH_2j0b_MET_200_300,0.2690076529979706,0.2690076529979706,0.0006402184814214706
data,VH_2j0b_MET_300_400,589.0,589.0,589.0
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_300_400,489.853271484375,489.853271484375,2645.5121875
ttH,VH_2j0b_MET_300_400,0.051900461316108704,0.051900461316108704,2.9734466224908825e-05
data,VH_2j0b_MET_400_2000,79.0,79.0,79.0
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j0b_MET_400_2000,56.4919548034668,56.4919548034668,34.7690576171875
ttH,VH_2j0b_MET_400_2000,0.010315009392797949,0.010315009392797949,3.337317903060465e-06
data,VH_2j1b_MET_200_300,615.0,615.0,615.0
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_200_300,573.2000732421875,573.2000732421875,2048.28046875
ttH,VH_2j1b_MET_200_300,0.3509102761745453,0.3509102761745453,0.0016367486119270322
data,VH_2j1b_MET_300_400,98.0,98.0,98.0
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_300_400,91.66642761230469,91.66642761230469,56.8871826171875
ttH,VH_2j1b_MET_300_400,0.08126621693372726,0.08126621693372726,5.635815672576428e-05
data,VH_2j1b_MET_400_2000,6.0,6.0,6.0
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.3171231790363948e-21
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.73568128996625e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.009215021092365e-21
Ewk,VH_2j1b_MET_400_2000,12.915400505065918,12.915400505065918,2.484293212890625
ttH,VH_2j1b_MET_400_2000,0.004855124745517969,0.004855124745517969,2.7677102480083706e-07
