process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,66950.77001953125,66950.77001953125,6958558.4399999995
total_pred_prefit,ggF_2jM_MET_300_400,34133.42663574219,34133.42663574219,1817184.955
total_pred_prefit,ggF_2jM_MET_400_600,12860.575546264648,12860.575546264648,254577.02437499998
total_pred_prefit,ggF_2jM_MET_600_2000,2411.952211380005,2411.952211380005,9058.078442382812
total_pred_prefit,ggF_3j_MET_200_300,47732.57360839844,47732.57360839844,3583021.99
total_pred_prefit,ggF_3j_MET_300_400,27348.184326171875,27348.184326171875,1171990.6325
total_pred_prefit,ggF_3j_MET_400_600,11597.386428833008,11597.386428833008,205638.97906250003
total_pred_prefit,ggF_3j_MET_600_2000,2427.3653316497803,2427.3653316497803,8957.795346679688
total_pred_prefit,ggF_4j_MET_200_300,22605.436584472656,22605.436584472656,821444.43
total_pred_prefit,ggF_4j_MET_300_400,14437.819122314453,14437.819122314453,318495.64125
total_pred_prefit,ggF_4j_MET_400_600,6745.398979187012,6745.398979187012,70181.03539062504
total_pred_prefit,ggF_4j_MET_600_2000,1496.0860576629639,1496.0860576629639,3687.620501098634
total_pred_prefit,ggF_5j_MET_200_300,11385.591857910156,11385.591857910156,224470.84125
total_pred_prefit,ggF_5j_MET_300_400,8402.773498535156,8402.773498535156,113546.26953125
total_pred_prefit,ggF_5j_MET_400_600,4308.031272888184,4308.031272888184,29616.938671875
total_pred_prefit,ggF_5j_MET_600_2000,1114.2153663635254,1114.2153663635254,2323.3580346679687
data,ggF_2jM_MET_200_300,65936.0,65936.0,65936.0
QCD_from_photon_purity,ggF_2jM_MET_200_300,1865.51611328125,1865.51611328125,136116.25
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
Ewk,ggF_2jM_MET_200_300,64561.08203125,64561.08203125,189723.3
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
data,ggF_2jM_MET_300_400,30489.0,30489.0,30489.0
QCD_from_photon_purity,ggF_2jM_MET_300_400,782.3701782226562,782.3701782226562,23932.7925
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
Ewk,ggF_2jM_MET_300_400,30126.591796875,30126.591796875,50239.485
data,ggF_2jM_MET_400_600,11423.0,11423.0,11423.0
QCD_from_photon_purity,ggF_2jM_MET_400_600,225.17807006835938,225.17807006835938,1983.7828125000005
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
Ewk,ggF_2jM_MET_400_600,11280.275390625,11280.275390625,10971.34625
ggF,ggF_2jM_MET_400_600,0.0,0.0,0.0
data,ggF_2jM_MET_600_2000,2237.0,2237.0,2237.0
QCD_from_photon_purity,ggF_2jM_MET_600_2000,24.54576301574707,24.54576301574707,23.576103515625
VBF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
VH,ggF_2jM_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_2jM_MET_600_2000,2149.62841796875,2149.62841796875,2040.6065625000006
ggF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
data,ggF_3j_MET_200_300,45050.0,45050.0,45050.0
QCD_from_photon_purity,ggF_3j_MET_200_300,1269.6416015625,1269.6416015625,63095.68
VBF,ggF_3j_MET_200_300,0.0,0.0,0.0
VH,ggF_3j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_3j_MET_200_300,43611.921875,43611.921875,93512.96
ggF,ggF_3j_MET_200_300,0.0,0.0,0.0
data,ggF_3j_MET_300_400,22904.0,22904.0,22904.0
QCD_from_photon_purity,ggF_3j_MET_300_400,583.5106201171875,583.5106201171875,13310.61875
VBF,ggF_3j_MET_300_400,0.0,0.0,0.0
VH,ggF_3j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_3j_MET_300_400,22724.087890625,22724.087890625,33895.4375
ggF,ggF_3j_MET_300_400,0.0,0.0,0.0
data,ggF_3j_MET_400_600,9167.0,9167.0,9167.0
QCD_from_photon_purity,ggF_3j_MET_400_600,179.7199249267578,179.7199249267578,1264.391640625
VBF,ggF_3j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_3j_MET_400_600,8968.6328125,8968.6328125,8297.19625
VH,ggF_3j_MET_400_600,0.0,0.0,0.0
ggF,ggF_3j_MET_400_600,0.0,0.0,0.0
data,ggF_3j_MET_600_2000,1778.0,1778.0,1778.0
QCD_from_photon_purity,ggF_3j_MET_600_2000,19.18044090270996,19.18044090270996,14.393524169921875
VBF,ggF_3j_MET_600_2000,0.0,0.0,0.0
VH,ggF_3j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_3j_MET_600_2000,1741.253173828125,1741.253173828125,1633.6671875
ggF,ggF_3j_MET_600_2000,0.0,0.0,0.0
data,ggF_4j_MET_200_300,18603.0,18603.0,18603.0
QCD_from_photon_purity,ggF_4j_MET_200_300,521.4591674804689,521.4591674804689,10655.71875
VBF,ggF_4j_MET_200_300,0.0,0.0,0.0
ggF,ggF_4j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_4j_MET_200_300,17833.44921875,17833.44921875,24458.875
VH,ggF_4j_MET_200_300,0.0,0.0,0.0
data,ggF_4j_MET_300_400,10744.0,10744.0,10744.0
QCD_from_photon_purity,ggF_4j_MET_300_400,272.47134399414057,272.47134399414057,2904.2703124999994
VBF,ggF_4j_MET_300_400,0.0,0.0,0.0
VH,ggF_4j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_4j_MET_300_400,10492.994140625,10492.994140625,10886.7475
ggF,ggF_4j_MET_300_400,0.0,0.0,0.0
data,ggF_4j_MET_400_600,4780.0,4780.0,4780.0
QCD_from_photon_purity,ggF_4j_MET_400_600,93.26612091064452,93.26612091064452,340.44226562499995
VBF,ggF_4j_MET_400_600,0.0,0.0,0.0
VH,ggF_4j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_4j_MET_400_600,4680.29296875,4680.29296875,3791.9778125
ggF,ggF_4j_MET_400_600,0.0,0.0,0.0
data,ggF_4j_MET_600_2000,1087.0,1087.0,1087.0
QCD_from_photon_purity,ggF_4j_MET_600_2000,11.66651725769043,11.66651725769043,5.338206787109374
VBF,ggF_4j_MET_600_2000,0.0,0.0,0.0
VH,ggF_4j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_4j_MET_600_2000,1040.7142333984377,1040.7142333984377,814.3268750000003
ggF,ggF_4j_MET_600_2000,0.0,0.0,0.0
data,ggF_5j_MET_200_300,8822.0,8822.0,8822.0
QCD_from_photon_purity,ggF_5j_MET_200_300,244.7672882080078,244.7672882080078,2346.8165625
VBF,ggF_5j_MET_200_300,0.0,0.0,0.0
VH,ggF_5j_MET_200_300,0.0,0.0,0.0
ggF,ggF_5j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_5j_MET_200_300,8435.5947265625,8435.5947265625,8417.268125
data,ggF_5j_MET_300_400,6145.0,6145.0,6145.0
QCD_from_photon_purity,ggF_5j_MET_300_400,154.09356689453125,154.09356689453125,929.283359375
VBF,ggF_5j_MET_300_400,0.0,0.0,0.0
VH,ggF_5j_MET_300_400,0.0,0.0,0.0
ggF,ggF_5j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_5j_MET_300_400,5962.638671875,5962.638671875,6491.954999999999
data,ggF_5j_MET_400_600,2994.0,2994.0,2994.0
QCD_from_photon_purity,ggF_5j_MET_400_600,57.26316452026367,57.26316452026367,128.067216796875
VBF,ggF_5j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_5j_MET_400_600,2958.2138671875,2958.2138671875,2250.7721875
VH,ggF_5j_MET_400_600,0.0,0.0,0.0
