process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,40927.962799072266,40927.962799072266,91472449.51999998
total_pred_prefit,ggF_2jM_MET_300_400,6803.192176818848,6803.192176818848,934769.6375
total_pred_prefit,ggF_2jM_MET_400_600,1784.48832321167,1784.48832321167,22740.896718750002
total_pred_prefit,ggF_2jM_MET_600_2000,183.27113580703735,183.27113580703735,5105.143729248047
total_pred_prefit,ggF_3j_MET_200_300,46197.683013916016,46197.683013916016,104905701.03999999
total_pred_prefit,ggF_3j_MET_300_400,9800.02621459961,9800.02621459961,1885154.7950000002
total_pred_prefit,ggF_3j_MET_400_600,2670.9724159240723,2670.9724159240723,50446.95781250001
total_pred_prefit,ggF_3j_MET_600_2000,297.2464756965637,297.2464756965637,14056.51803466797
total_pred_prefit,ggF_4j_MET_200_300,21993.005950927734,21993.005950927734,21910434.01
total_pred_prefit,ggF_4j_MET_300_400,5712.205307006836,5712.205307006836,586394.10875
total_pred_prefit,ggF_4j_MET_400_600,1871.606731414795,1871.606731414795,26483.469843750005
total_pred_prefit,ggF_4j_MET_600_2000,242.03231716156006,242.03231716156006,8766.863822631836
total_pred_prefit,ggF_5j_MET_200_300,11661.275390625,11661.275390625,5035387.205
total_pred_prefit,ggF_5j_MET_300_400,3674.7392959594727,3674.7392959594727,190370.165625
total_pred_prefit,ggF_5j_MET_400_600,1389.4925422668457,1389.4925422668457,15459.869296875
total_pred_prefit,ggF_5j_MET_600_2000,221.6740608215332,221.6740608215332,7226.0315533447265
data,ggF_2jM_MET_200_300,48212.0,48212.0,48212.0
Qcd,ggF_2jM_MET_200_300,249.1284027099609,249.1284027099609,25795.49
Ttw,ggF_2jM_MET_200_300,18550.7265625,18550.7265625,18005.3275
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
Zinv,ggF_2jM_MET_200_300,29126.951171875,29126.951171875,34817.242499999986
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
ttH,ggF_2jM_MET_200_300,0.0,0.0,0.0
data,ggF_2jM_MET_300_400,8282.0,8282.0,8282.0
Qcd,ggF_2jM_MET_300_400,67.47052764892578,67.47052764892578,1985.71375
Ttw,ggF_2jM_MET_300_400,2590.56591796875,2590.56591796875,713.977109375
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
Zinv,ggF_2jM_MET_300_400,5330.53857421875,5330.53857421875,2590.4978124999993
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
ttH,ggF_2jM_MET_300_400,0.0,0.0,0.0
data,ggF_2jM_MET_400_600,2390.0,2390.0,2390.0
Qcd,ggF_2jM_MET_400_600,26.08832359313965,26.08832359313965,285.75386718750013
Ttw,ggF_2jM_MET_400_600,602.3432006835938,602.3432006835938,97.66908203125
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
Zinv,ggF_2jM_MET_400_600,1746.83056640625,1746.83056640625,480.426953125
ggF,ggF_2jM_MET_400_600,0.0,0.0,0.0
