process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,46117.15121723376,46117.15121723376,383483.54027973366
total_pred_prefit,ggF_2jM_MET_300_400,7477.158291046732,7477.158291046732,11572.300087921734
total_pred_prefit,ggF_2jM_MET_400_600,2039.4384328747585,2039.4384328747585,1536.0753200817892
total_pred_prefit,ggF_2jM_MET_600_2000,223.51642640848098,223.51642640848098,63.10902772684039
total_pred_prefit,ggF_3j_MET_200_300,48583.164562490616,48583.164562490616,433036.0696406156
total_pred_prefit,ggF_3j_MET_300_400,10028.692779457717,10028.692779457717,24552.58778922335
total_pred_prefit,ggF_3j_MET_400_600,2812.3523838326196,2812.3523838326196,3031.8061460396507
total_pred_prefit,ggF_3j_MET_600_2000,326.65523591352394,326.65523591352394,147.9067115910142
total_pred_prefit,ggF_4j_MET_200_300,20935.373819802142,20935.373819802142,88660.48389792713
total_pred_prefit,ggF_4j_MET_300_400,5428.176575786283,5428.176575786283,6964.7029087940955
total_pred_prefit,ggF_4j_MET_400_600,1846.370094146078,1846.370094146078,1816.9445350640476
total_pred_prefit,ggF_4j_MET_600_2000,247.0360643056567,247.0360643056567,120.83424576317623
total_pred_prefit,ggF_5j_MET_200_300,10148.598807407188,10148.598807407188,24894.521854282193
total_pred_prefit,ggF_5j_MET_300_400,3438.4666618111187,3438.4666618111187,4517.495004096275
total_pred_prefit,ggF_5j_MET_400_600,1274.02171693616,1274.02171693616,1016.4794806080353
total_pred_prefit,ggF_5j_MET_600_2000,228.6056953963392,228.6056953963392,106.40193471518681
data,ggF_2jM_MET_200_300,47360.0,47360.0,47360.0
Qcd,ggF_2jM_MET_200_300,101.8317413330078,101.8317413330078,3121.166250000001
Ttw,ggF_2jM_MET_200_300,17799.93359375,17799.93359375,17246.483749999996
VBF,ggF_2jM_MET_200_300,6.874502287246287e-05,6.874502287246287e-05,0.0027913340926170355
VH,ggF_2jM_MET_200_300,3.0811421311227605e-05,3.0811421311227605e-05,0.0005684624612331393
Zinv,ggF_2jM_MET_200_300,29339.345703125,29339.345703125,70543.22499999999
ggF,ggF_2jM_MET_200_300,0.0002570004144217819,0.0002570004144217819,0.039989295005798335
ttH,ggF_2jM_MET_200_300,3.1571565273225133e-07,3.1571565273225133e-07,5.561786110774849e-08
data,ggF_2jM_MET_300_400,7876.0,7876.0,7876.0
Qcd,ggF_2jM_MET_300_400,20.28630256652832,20.28630256652832,128.676181640625
Ttw,ggF_2jM_MET_300_400,2407.128662109375,2407.128662109375,660.0442968749999
VBF,ggF_2jM_MET_300_400,6.939777449588292e-06,6.939777449588292e-06,2.8500820044428106e-05
VH,ggF_2jM_MET_300_400,5.646741101372754e-06,5.646741101372754e-06,1.9108286360278725e-05
Zinv,ggF_2jM_MET_300_400,5218.50634765625,5218.50634765625,5284.190625
ggF,ggF_2jM_MET_300_400,7.147890573833138e-05,7.147890573833138e-05,0.003093022406101227
ttH,ggF_2jM_MET_300_400,9.536248057884222e-08,9.536248057884222e-08,5.040166684011638e-09
data,ggF_2jM_MET_400_600,2182.0,2182.0,2182.0
Qcd,ggF_2jM_MET_400_600,7.469527721405027,7.469527721405027,17.089589843750005
Ttw,ggF_2jM_MET_400_600,532.6408081054689,532.6408081054689,78.31216796875
VBF,ggF_2jM_MET_400_600,9.56440999289043e-07,9.56440999289043e-07,5.430126111605205e-07
