process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,23849.98046875,23849.98046875,25453030.399999995
total_pred_prefit,ggF_2jM_MET_300_400,5663.23046875,5663.23046875,474094.8400000001
total_pred_prefit,ggF_2jM_MET_400_600,1884.09130859375,1884.09130859375,53956.985
total_pred_prefit,ggF_2jM_MET_600_2000,295.8023986816406,295.8023986816406,6654.998125
total_pred_prefit,ggF_3j_MET_200_300,16903.40234375,16903.40234375,9868811.52
total_pred_prefit,ggF_3j_MET_300_400,4762.802734375,4762.802734375,280007.8800000001
total_pred_prefit,ggF_3j_MET_400_600,1732.2664794921875,1732.2664794921875,50116.775
total_pred_prefit,ggF_3j_MET_600_2000,295.43231201171875,295.43231201171875,6844.8181250000025
total_pred_prefit,ggF_4j_MET_200_300,8252.7138671875,8252.7138671875,1994568.0
total_pred_prefit,ggF_4j_MET_300_400,2573.774658203125,2573.774658203125,72778.005
total_pred_prefit,ggF_4j_MET_400_600,1041.8553466796877,1041.8553466796877,19348.13625
total_pred_prefit,ggF_4j_MET_600_2000,188.9678497314453,188.9678497314453,2781.6259375
total_pred_prefit,ggF_5j_MET_200_300,4567.47119140625,4567.47119140625,486830.96
total_pred_prefit,ggF_5j_MET_300_400,1616.70068359375,1616.70068359375,25835.295
total_pred_prefit,ggF_5j_MET_400_600,721.9595947265625,721.9595947265625,8553.2075
total_pred_prefit,ggF_5j_MET_600_2000,140.60678100585938,140.60678100585938,1568.0940625000005
data,ggF_2jM_MET_200_300,30626.0,30626.0,30626.0
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
Ewk,ggF_2jM_MET_200_300,30464.806640625,30464.806640625,21990.1725
ttH,ggF_2jM_MET_200_300,0.0,0.0,0.0
data,ggF_2jM_MET_300_400,7462.0,7462.0,7462.0
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
Ewk,ggF_2jM_MET_300_400,7651.3974609375,7651.3974609375,3080.8128124999994
ttH,ggF_2jM_MET_300_400,0.0,0.0,0.0
data,ggF_2jM_MET_400_600,2566.0,2566.0,2566.0
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
Ewk,ggF_2jM_MET_400_600,2728.910400390625,2728.910400390625,1185.9811718750002
ggF,ggF_2jM_MET_400_600,0.0,0.0,0.0
ttH,ggF_2jM_MET_400_600,0.0,0.0,0.0
data,ggF_2jM_MET_600_2000,397.0,397.0,397.0
VBF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
VH,ggF_2jM_MET_600_2000,0.0,0.0,0.0
ggF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_2jM_MET_600_2000,473.6492004394531,473.6492004394531,263.9425
ttH,ggF_2jM_MET_600_2000,0.0,0.0,0.0
data,ggF_3j_MET_200_300,20805.0,20805.0,20805.0
VBF,ggF_3j_MET_200_300,0.0,0.0,0.0
VH,ggF_3j_MET_200_300,0.0,0.0,0.0
ggF,ggF_3j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_3j_MET_200_300,20317.4140625,20317.4140625,12094.930000000002
ttH,ggF_3j_MET_200_300,0.0,0.0,0.0
data,ggF_3j_MET_300_400,5840.0,5840.0,5840.0
VBF,ggF_3j_MET_300_400,0.0,0.0,0.0
VH,ggF_3j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_3j_MET_300_400,5993.66259765625,5993.66259765625,2316.96734375
ggF,ggF_3j_MET_300_400,0.0,0.0,0.0
ttH,ggF_3j_MET_300_400,0.0,0.0,0.0
data,ggF_3j_MET_400_600,2107.0,2107.0,2107.0
VBF,ggF_3j_MET_400_600,0.0,0.0,0.0
VH,ggF_3j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_3j_MET_400_600,2261.01708984375,2261.01708984375,1211.172421875
ggF,ggF_3j_MET_400_600,0.0,0.0,0.0
ttH,ggF_3j_MET_400_600,0.0,0.0,0.0
data,ggF_3j_MET_600_2000,317.0,317.0,317.0
VBF,ggF_3j_MET_600_2000,0.0,0.0,0.0
VH,ggF_3j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_3j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_3j_MET_600_2000,415.4176330566406,415.4176330566406,190.78818359375003
ttH,ggF_3j_MET_600_2000,0.0,0.0,0.0
data,ggF_4j_MET_200_300,8999.0,8999.0,8999.0
VBF,ggF_4j_MET_200_300,0.0,0.0,0.0
VH,ggF_4j_MET_200_300,0.0,0.0,0.0
ggF,ggF_4j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_4j_MET_200_300,8812.171875,8812.171875,4224.6187500000015
ttH,ggF_4j_MET_200_300,0.0,0.0,0.0
data,ggF_4j_MET_300_400,2893.0,2893.0,2893.0
VBF,ggF_4j_MET_300_400,0.0,0.0,0.0
VH,ggF_4j_MET_300_400,0.0,0.0,0.0
ggF,ggF_4j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_4j_MET_300_400,2818.11083984375,2818.11083984375,1234.0840625
ttH,ggF_4j_MET_300_400,0.0,0.0,0.0
data,ggF_4j_MET_400_600,1084.0,1084.0,1084.0
VBF,ggF_4j_MET_400_600,0.0,0.0,0.0
VH,ggF_4j_MET_400_600,0.0,0.0,0.0
ggF,ggF_4j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_4j_MET_400_600,1170.378173828125,1170.378173828125,528.5276953125
ttH,ggF_4j_MET_400_600,0.0,0.0,0.0
data,ggF_4j_MET_600_2000,199.0,199.0,199.0
VBF,ggF_4j_MET_600_2000,0.0,0.0,0.0
VH,ggF_4j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_4j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_4j_MET_600_2000,210.99044799804688,210.99044799804688,92.158388671875
ttH,ggF_4j_MET_600_2000,0.0,0.0,0.0
data,ggF_5j_MET_200_300,4606.0,4606.0,4606.0
VBF,ggF_5j_MET_200_300,0.0,0.0,0.0
