process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,30626.0,30626.0,30626.0
VBF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_2jM_MET_200_300,23849.98046875,23849.98046875,25453030.399999995
ttH,ggF_2jM_MET_200_300,0.315959632396698,0.315959632396698,0.0020153802633285523
data,ggF_2jM_MET_300_400,7462.0,7462.0,7462.0
VBF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_2jM_MET_300_400,5663.23046875,5663.23046875,474094.8400000001
ttH,ggF_2jM_MET_300_400,0.13603000342845914,0.13603000342845914,0.00021953048184514048
data,ggF_2jM_MET_400_600,2566.0,2566.0,2566.0
VBF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
Ewk,ggF_2jM_MET_400_600,1884.09130859375,1884.09130859375,53956.985
ggF,ggF_2jM_MET_400_600,0.01068059541285038,0.01068059541285038,7.057760376483203e-07
ttH,ggF_2jM_MET_400_600,0.05539628490805626,0.05539628490805626,0.0002036864124238491
data,ggF_2jM_MET_600_2000,397.0,397.0,397.0
VBF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_2jM_MET_600_2000,295.8023986816406,295.8023986816406,6654.998125
ttH,ggF_2jM_MET_600_2000,0.006545031908899546,0.006545031908899546,7.524138345615937e-07
data,ggF_3j_MET_200_300,20805.0,20805.0,20805.0
VBF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_3j_MET_200_300,16903.40234375,16903.40234375,9868811.52
ttH,ggF_3j_MET_200_300,0.9338591694831848,0.9338591694831848,0.012513868808746338
data,ggF_3j_MET_300_400,5840.0,5840.0,5840.0
VBF,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
Ewk,ggF_3j_MET_300_400,4762.802734375,4762.802734375,280007.8800000001
ggF,ggF_3j_MET_300_400,0.008740636520087719,0.008740636520087719,1.577291841385886e-06
ttH,ggF_3j_MET_300_400,0.3799002468585968,0.3799002468585968,0.0017328910529613494
data,ggF_3j_MET_400_600,2107.0,2107.0,2107.0
VBF,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
Ewk,ggF_3j_MET_400_600,1732.2664794921875,1732.2664794921875,50116.775
ggF,ggF_3j_MET_400_600,0.02859105914831161,0.02859105914831161,1.536860014311969e-05
ttH,ggF_3j_MET_400_600,0.12452511489391327,0.12452511489391327,0.00018530894070863728
data,ggF_3j_MET_600_2000,317.0,317.0,317.0
VBF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_3j_MET_600_2000,295.43231201171875,295.43231201171875,6844.818125000002
ttH,ggF_3j_MET_600_2000,0.020973145961761475,0.020973145961761475,3.810366615653038e-05
data,ggF_4j_MET_200_300,8999.0,8999.0,8999.0
VBF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_4j_MET_200_300,8252.7138671875,8252.7138671875,1994568.0
ttH,ggF_4j_MET_200_300,1.015796780586243,1.015796780586243,0.014091970920562743
data,ggF_4j_MET_300_400,2893.0,2893.0,2893.0
VBF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_4j_MET_300_400,2573.774658203125,2573.774658203125,72778.005
ttH,ggF_4j_MET_300_400,0.3925142586231232,0.3925142586231232,0.002484872043132782
data,ggF_4j_MET_400_600,1084.0,1084.0,1084.0
VBF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_4j_MET_400_600,1041.8553466796877,1041.8553466796877,19348.13625
ttH,ggF_4j_MET_400_600,0.15678316354751587,0.15678316354751587,0.000625354051589966
data,ggF_4j_MET_600_2000,199.0,199.0,199.0
VBF,ggF_4j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
