process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,30462.189453125,30462.189453125,63377372.16
total_pred_prefit,ggF_2jM_MET_300_400,6880.6708984375,6880.6708984375,689072.24
total_pred_prefit,ggF_2jM_MET_400_600,2274.272705078125,2274.272705078125,62027.84
total_pred_prefit,ggF_2jM_MET_600_2000,333.6822204589844,333.6822204589844,10865.46
total_pred_prefit,ggF_3j_MET_200_300,20961.9375,20961.9375,21960066.56
total_pred_prefit,ggF_3j_MET_300_400,5537.87353515625,5537.87353515625,313010.23999999993
total_pred_prefit,ggF_3j_MET_400_600,1943.530029296875,1943.530029296875,51936.26500000001
total_pred_prefit,ggF_3j_MET_600_2000,315.2918701171875,315.2918701171875,10356.496875
total_pred_prefit,ggF_4j_MET_200_300,9472.0009765625,9472.0009765625,3655560.96
total_pred_prefit,ggF_4j_MET_300_400,2902.668212890625,2902.668212890625,74461.05
total_pred_prefit,ggF_4j_MET_400_600,1123.1396484375,1123.1396484375,17790.573750000003
total_pred_prefit,ggF_4j_MET_600_2000,197.61790466308602,197.61790466308602,4065.880625
total_pred_prefit,ggF_5j_MET_200_300,4817.9970703125,4817.9970703125,724124.48
total_pred_prefit,ggF_5j_MET_300_400,1649.215087890625,1649.215087890625,18821.186249999995
total_pred_prefit,ggF_5j_MET_400_600,699.7916259765625,699.7916259765625,6716.123125000001
total_pred_prefit,ggF_5j_MET_600_2000,136.71649169921878,136.71649169921878,1808.0103125
data,ggF_2jM_MET_200_300,37725.0,37725.0,37725.0
VBF,ggF_2jM_MET_200_300,3.3206652759552174e-14,3.3206652759552174e-14,3.0600903757719967e-22
VH,ggF_2jM_MET_200_300,3.3206652759552174e-14,3.3206652759552174e-14,3.034535018488083e-22
Ewk,ggF_2jM_MET_200_300,37492.51953125,37492.51953125,26881.9225
ggF,ggF_2jM_MET_200_300,1.2078519375791077e-06,1.2078519375791077e-06,3.818964614765719e-07
ttH,ggF_2jM_MET_200_300,2.415888593532145e-05,2.415888593532145e-05,0.0001482146140187979
data,ggF_2jM_MET_300_400,9032.0,9032.0,9032.0
VBF,ggF_2jM_MET_300_400,3.3206652759552174e-14,3.3206652759552174e-14,3.0600903757719967e-22
VH,ggF_2jM_MET_300_400,3.3206652759552174e-14,3.3206652759552174e-14,3.034535018488083e-22
ggF,ggF_2jM_MET_300_400,3.320666631207933e-14,3.320666631207933e-14,2.897325788145996e-22
Ewk,ggF_2jM_MET_300_400,8904.2939453125,8904.2939453125,7136.307500000001
ttH,ggF_2jM_MET_300_400,7.231025847431737e-06,7.231025847431737e-06,1.2614919105544687e-05
data,ggF_2jM_MET_400_600,3135.0,3135.0,3135.0
VBF,ggF_2jM_MET_400_600,3.3206652759552174e-14,3.3206652759552174e-14,3.0600903757719967e-22
VH,ggF_2jM_MET_400_600,3.3206652759552174e-14,3.3206652759552174e-14,3.034535018488083e-22
ggF,ggF_2jM_MET_400_600,3.320666631207933e-14,3.320666631207933e-14,2.897325788145996e-22
Ewk,ggF_2jM_MET_400_600,3081.064208984375,3081.064208984375,2067.0946875
ttH,ggF_2jM_MET_400_600,4.7980051931517664e-06,4.7980051931517664e-06,6.385516026057304e-06
data,ggF_2jM_MET_600_2000,456.0,456.0,456.0
VBF,ggF_2jM_MET_600_2000,3.3206652759552174e-14,3.3206652759552174e-14,3.0600903757719967e-22
VH,ggF_2jM_MET_600_2000,3.3206652759552174e-14,3.3206652759552174e-14,3.034535018488083e-22
ggF,ggF_2jM_MET_600_2000,3.320666631207933e-14,3.320666631207933e-14,2.897325788145996e-22
Ewk,ggF_2jM_MET_600_2000,444.4933471679688,444.4933471679688,204.5411328125
ttH,ggF_2jM_MET_600_2000,2.4520593910892785e-07,2.4520593910892785e-07,1.4243115629142267e-08
data,ggF_3j_MET_200_300,24010.0,24010.0,24010.0
VBF,ggF_3j_MET_200_300,3.3206652759552174e-14,3.3206652759552174e-14,3.0600903757719967e-22
VH,ggF_3j_MET_200_300,3.3206652759552174e-14,3.3206652759552174e-14,3.034535018488083e-22
ggF,ggF_3j_MET_200_300,3.320666631207933e-14,3.320666631207933e-14,2.897325788145996e-22
Ewk,ggF_3j_MET_200_300,24275.830078125,24275.830078125,15113.296249999998
ttH,ggF_3j_MET_200_300,6.139595643617213e-05,6.139595643617213e-05,0.0009686816483736037
data,ggF_3j_MET_300_400,6714.0,6714.0,6714.0
VBF,ggF_3j_MET_300_400,3.3206652759552174e-14,3.3206652759552174e-14,3.0600903757719967e-22
VH,ggF_3j_MET_300_400,3.3206652759552174e-14,3.3206652759552174e-14,3.034535018488083e-22
ggF,ggF_3j_MET_300_400,3.320666631207933e-14,3.320666631207933e-14,2.897325788145996e-22
Ewk,ggF_3j_MET_300_400,6652.419921875,6652.419921875,4073.883125
ttH,ggF_3j_MET_300_400,1.8982773326570165e-05,1.8982773326570165e-05,8.88136215507984e-05
data,ggF_3j_MET_400_600,2445.0,2445.0,2445.0
VBF,ggF_3j_MET_400_600,3.3206652759552174e-14,3.3206652759552174e-14,3.0600903757719967e-22
