process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,39018.0,39018.0,39018.0
VBF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
Ewk,ggF_2jM_MET_200_300,30536.60546875,30536.60546875,50128220.15999999
ggF,ggF_2jM_MET_200_300,0.03686277195811272,0.03686277195811272,7.144476403482257e-06
ttH,ggF_2jM_MET_200_300,0.6465479731559753,0.6465479731559753,0.004782403409481049
data,ggF_2jM_MET_300_400,9661.0,9661.0,9661.0
VBF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_2jM_MET_300_400,6887.96728515625,6887.96728515625,573359.96
ttH,ggF_2jM_MET_300_400,0.2277557551860809,0.2277557551860809,0.0010030646622180939
data,ggF_2jM_MET_400_600,3608.0,3608.0,3608.0
VBF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_2jM_MET_400_600,2268.500244140625,2268.500244140625,58453.84500000001
ttH,ggF_2jM_MET_400_600,0.12684568762779236,0.12684568762779236,0.00019820477813482288
data,ggF_2jM_MET_600_2000,644.0,644.0,644.0
VBF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_2jM_MET_600_2000,329.4629821777344,329.4629821777344,9147.3325
ttH,ggF_2jM_MET_600_2000,0.01179550588130951,0.01179550588130951,5.373396561481059e-06
data,ggF_3j_MET_200_300,26310.0,26310.0,26310.0
VBF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_3j_MET_200_300,22062.43359375,22062.43359375,19020606.720000006
ttH,ggF_3j_MET_200_300,1.917696833610535,1.917696833610535,0.033378016948699955
data,ggF_3j_MET_300_400,7557.0,7557.0,7557.0
VBF,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_3j_MET_300_400,5838.0341796875,5838.0341796875,297269.06
ttH,ggF_3j_MET_300_400,0.6597399115562439,0.6597399115562439,0.00513888120651245
data,ggF_3j_MET_400_600,2974.0,2974.0,2974.0
VBF,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
Ewk,ggF_3j_MET_400_600,2051.457275390625,2051.457275390625,52331.785
ggF,ggF_3j_MET_400_600,0.011281328275799751,0.011281328275799751,9.109090751735495e-07
ttH,ggF_3j_MET_400_600,0.25773242115974426,0.25773242115974426,0.001130177900195122
data,ggF_3j_MET_600_2000,601.0,601.0,601.0
VBF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_3j_MET_600_2000,331.567626953125,331.567626953125,9604.918125
ttH,ggF_3j_MET_600_2000,0.023285811766982082,0.023285811766982082,6.838780827820299e-06
data,ggF_4j_MET_200_300,11399.0,11399.0,11399.0
VBF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_4j_MET_200_300,10616.015625,10616.015625,3610102.4
ttH,ggF_4j_MET_200_300,1.9886362552642824,1.9886362552642824,0.03521278858184815
data,ggF_4j_MET_300_400,3592.0,3592.0,3592.0
VBF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_4j_MET_300_400,3272.739990234375,3272.739990234375,80595.14
ttH,ggF_4j_MET_300_400,0.753773033618927,0.753773033618927,0.005605168342590333
data,ggF_4j_MET_400_600,1574.0,1574.0,1574.0
VBF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_4j_MET_400_600,1261.1585693359375,1261.1585693359375,20099.7275
ttH,ggF_4j_MET_400_600,0.3447864055633545,0.3447864055633545,0.0032012137770652768
data,ggF_4j_MET_600_2000,276.0,276.0,276.0
VBF,ggF_4j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_4j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_4j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_4j_MET_600_2000,217.4008026123047,217.4008026123047,4225.935
ttH,ggF_4j_MET_600_2000,0.058878764510154724,0.058878764510154724,0.00027560345828533175
data,ggF_5j_MET_200_300,6178.0,6178.0,6178.0
VBF,ggF_5j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_5j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_5j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_5j_MET_200_300,5984.1875,5984.1875,848147.12
ttH,ggF_5j_MET_200_300,2.335165500640869,2.335165500640869,0.07710952758789061
data,ggF_5j_MET_300_400,2301.0,2301.0,2301.0
VBF,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_5j_MET_300_400,2071.010986328125,2071.010986328125,24005.55
ttH,ggF_5j_MET_300_400,1.0979328155517578,1.0979328155517578,0.02907163143157958
data,ggF_5j_MET_400_600,1036.0,1036.0,1036.0
VBF,ggF_5j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_5j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_5j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_5j_MET_400_600,865.507080078125,865.507080078125,9003.734375
ttH,ggF_5j_MET_400_600,0.501790463924408,0.501790463924408,0.007563334703445434
data,ggF_5j_MET_600_2000,260.0,260.0,260.0
VBF,ggF_5j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ggF_5j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ggF_5j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ggF_5j_MET_600_2000,167.27645874023438,167.27645874023438,2262.8545312500005
ttH,ggF_5j_MET_600_2000,0.08265043795108795,0.08265043795108795,0.0010709600150585175
