process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,5814.66845703125,5814.66845703125,3713821.1200000006
total_pred_prefit,ggF_2jM_MET_300_400,1451.5560302734375,1451.5560302734375,54714.665
total_pred_prefit,ggF_2jM_MET_400_600,439.8192443847656,439.8192443847656,3297.8890625
total_pred_prefit,ggF_2jM_MET_600_2000,53.67577362060547,53.67577362060547,1249.300859375
total_pred_prefit,ggF_3j_MET_200_300,3837.367919921875,3837.367919921875,1441507.36
total_pred_prefit,ggF_3j_MET_300_400,1140.436279296875,1140.436279296875,29399.015
total_pred_prefit,ggF_3j_MET_400_600,393.9497985839844,393.9497985839844,2777.2403125
total_pred_prefit,ggF_3j_MET_600_2000,55.42297744750977,55.42297744750977,1251.08234375
total_pred_prefit,ggF_4j_MET_200_300,1695.9925537109375,1695.9925537109375,267576.12
total_pred_prefit,ggF_4j_MET_300_400,596.3400268554688,596.3400268554688,7374.093750000001
total_pred_prefit,ggF_4j_MET_400_600,217.95736694335938,217.95736694335938,965.4983593749997
total_pred_prefit,ggF_4j_MET_600_2000,33.33485794067383,33.33485794067383,468.40796875
total_pred_prefit,ggF_5j_MET_200_300,797.545166015625,797.545166015625,52717.48499999999
total_pred_prefit,ggF_5j_MET_300_400,329.8780212402344,329.8780212402344,1828.1171875
total_pred_prefit,ggF_5j_MET_400_600,144.27743530273438,144.27743530273438,416.15742187500007
total_pred_prefit,ggF_5j_MET_600_2000,24.93745422363281,24.93745422363281,246.6744140625
data,ggF_2jM_MET_200_300,7211.0,7211.0,7211.0
VBF,ggF_2jM_MET_200_300,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_2jM_MET_200_300,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_2jM_MET_200_300,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_2jM_MET_200_300,7073.32666015625,7073.32666015625,3571.749375
data,ggF_2jM_MET_300_400,2013.0,2013.0,2013.0
VBF,ggF_2jM_MET_300_400,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_2jM_MET_300_400,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_2jM_MET_300_400,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_2jM_MET_300_400,1813.400390625,1813.400390625,328.279140625
data,ggF_2jM_MET_400_600,720.0,720.0,720.0
VBF,ggF_2jM_MET_400_600,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_2jM_MET_400_600,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_2jM_MET_400_600,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_2jM_MET_400_600,648.968505859375,648.968505859375,85.7634765625
data,ggF_2jM_MET_600_2000,101.0,101.0,101.0
VBF,ggF_2jM_MET_600_2000,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_2jM_MET_600_2000,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_2jM_MET_600_2000,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_2jM_MET_600_2000,110.02964782714844,110.02964782714844,10.685532226562502
data,ggF_3j_MET_200_300,4368.0,4368.0,4368.0
VBF,ggF_3j_MET_200_300,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_3j_MET_200_300,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_3j_MET_200_300,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_3j_MET_200_300,4462.5146484375,4462.5146484375,1343.395625
data,ggF_3j_MET_300_400,1444.0,1444.0,1444.0
VBF,ggF_3j_MET_300_400,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_3j_MET_300_400,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_3j_MET_300_400,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_3j_MET_300_400,1365.03076171875,1365.03076171875,200.9448828125
data,ggF_3j_MET_400_600,546.0,546.0,546.0
VBF,ggF_3j_MET_400_600,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_3j_MET_400_600,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_3j_MET_400_600,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_3j_MET_400_600,514.1583251953125,514.1583251953125,63.7724560546875
data,ggF_3j_MET_600_2000,106.0,106.0,106.0
VBF,ggF_3j_MET_600_2000,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_3j_MET_600_2000,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_3j_MET_600_2000,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_3j_MET_600_2000,91.8551788330078,91.8551788330078,6.701936645507812
data,ggF_4j_MET_200_300,1641.0,1641.0,1641.0
VBF,ggF_4j_MET_200_300,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_4j_MET_200_300,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_4j_MET_200_300,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_4j_MET_200_300,1707.4140625,1707.4140625,296.4538671875
data,ggF_4j_MET_300_400,670.0,670.0,670.0
VBF,ggF_4j_MET_300_400,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_4j_MET_300_400,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_4j_MET_300_400,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_4j_MET_300_400,626.8280639648438,626.8280639648438,61.54529296875
data,ggF_4j_MET_400_600,286.0,286.0,286.0
VBF,ggF_4j_MET_400_600,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_4j_MET_400_600,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_4j_MET_400_600,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_4j_MET_400_600,257.89846801757807,257.89846801757807,20.845180664062497
data,ggF_4j_MET_600_2000,56.0,56.0,56.0
VBF,ggF_4j_MET_600_2000,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_4j_MET_600_2000,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_4j_MET_600_2000,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_4j_MET_600_2000,53.9288215637207,53.9288215637207,3.8494323730468754
data,ggF_5j_MET_200_300,757.0,757.0,757.0
VBF,ggF_5j_MET_200_300,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_5j_MET_200_300,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_5j_MET_200_300,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_5j_MET_200_300,762.8804321289062,762.8804321289062,102.1065234375
data,ggF_5j_MET_300_400,371.0,371.0,371.0
VBF,ggF_5j_MET_300_400,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_5j_MET_300_400,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_5j_MET_300_400,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_5j_MET_300_400,341.964111328125,341.964111328125,28.04534423828125
data,ggF_5j_MET_400_600,199.0,199.0,199.0
VBF,ggF_5j_MET_400_600,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_5j_MET_400_600,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_5j_MET_400_600,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_5j_MET_400_600,168.7939453125,168.7939453125,13.271072998046876
data,ggF_5j_MET_600_2000,34.0,34.0,34.0
VBF,ggF_5j_MET_600_2000,1.4198614771476824e-17,1.4198614771476824e-17,5.171446689505549e-28
VH,ggF_5j_MET_600_2000,1.4198649513062548e-17,1.4198649513062548e-17,5.140934104359423e-28
ggF,ggF_5j_MET_600_2000,1.4198917519581018e-17,1.4198917519581018e-17,4.879063715002743e-28
Ewk,ggF_5j_MET_600_2000,39.48715591430664,39.48715591430664,2.8612271118164068
total_pred_postfit,ggF_2jM_MET_200_300,7073.32666015625,7073.32666015625,3571.749375
total_pred_postfit,ggF_2jM_MET_300_400,1813.400390625,1813.400390625,328.279140625
total_pred_postfit,ggF_2jM_MET_400_600,648.968505859375,648.968505859375,85.7634765625
total_pred_postfit,ggF_2jM_MET_600_2000,110.02964782714844,110.02964782714844,10.685532226562502
total_pred_postfit,ggF_3j_MET_200_300,4462.5146484375,4462.5146484375,1343.395625
total_pred_postfit,ggF_3j_MET_300_400,1365.03076171875,1365.03076171875,200.9448828125
total_pred_postfit,ggF_3j_MET_400_600,514.1583251953125,514.1583251953125,63.7724560546875
total_pred_postfit,ggF_3j_MET_600_2000,91.8551788330078,91.8551788330078,6.701936645507812
total_pred_postfit,ggF_4j_MET_200_300,1707.4140625,1707.4140625,296.4538671875
total_pred_postfit,ggF_4j_MET_300_400,626.8280639648438,626.8280639648438,61.54529296875
total_pred_postfit,ggF_4j_MET_400_600,257.89846801757807,257.89846801757807,20.845180664062497
total_pred_postfit,ggF_4j_MET_600_2000,53.9288215637207,53.9288215637207,3.8494323730468754
total_pred_postfit,ggF_5j_MET_200_300,762.8804321289062,762.8804321289062,102.1065234375
total_pred_postfit,ggF_5j_MET_300_400,341.964111328125,341.964111328125,28.04534423828125
total_pred_postfit,ggF_5j_MET_400_600,168.7939453125,168.7939453125,13.271072998046876
total_pred_postfit,ggF_5j_MET_600_2000,39.48715591430664,39.48715591430664,2.8612271118164068
