process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_3j_MET_900_2000,2.0,2.0,2.0
VBF,ggF_3j_MET_900_2000,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_3j_MET_900_2000,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_3j_MET_900_2000,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_3j_MET_900_2000,1.6431114673614502,1.6431114673614502,4.813453979492186
data,ggF_4j_MET_200_300,1009.0,1009.0,1009.0
VBF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_4j_MET_200_300,1067.146484375,1067.146484375,194210.82000000004
data,ggF_4j_MET_300_400,365.0,365.0,365.0
VBF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_4j_MET_300_400,362.8937072753906,362.8937072753906,5483.5075
data,ggF_4j_MET_400_600,136.0,136.0,136.0
VBF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_4j_MET_400_600,124.9874038696289,124.9874038696289,244.43441406250003
data,ggF_4j_MET_600_900,18.0,18.0,18.0
VBF,ggF_4j_MET_600_900,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_4j_MET_600_900,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_4j_MET_600_900,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_4j_MET_600_900,13.679573059082033,13.679573059082033,50.8679638671875
data,ggF_4j_MET_900_2000,2.0,2.0,2.0
VBF,ggF_4j_MET_900_2000,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_4j_MET_900_2000,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_4j_MET_900_2000,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_4j_MET_900_2000,1.4689760208129885,1.4689760208129885,2.6357891845703123
data,ggF_5j_MET_200_300,419.0,419.0,419.0
VBF,ggF_5j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_5j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_5j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_5j_MET_200_300,477.6833190917969,477.6833190917969,36283.7225
data,ggF_5j_MET_300_400,223.0,223.0,223.0
VBF,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_5j_MET_300_400,202.87646484375,202.87646484375,1423.9965625
data,ggF_5j_MET_400_600,102.0,102.0,102.0
VBF,ggF_5j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_5j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_5j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_5j_MET_400_600,87.94609069824219,87.94609069824219,124.43445312500002
data,ggF_5j_MET_600_900,17.0,17.0,17.0
VBF,ggF_5j_MET_600_900,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_5j_MET_600_900,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_5j_MET_600_900,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_5j_MET_600_900,13.447649002075195,13.447649002075195,38.5278271484375
data,ggF_2jM_MET_200_300,2853.0,2853.0,2853.0
VBF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
ggF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.089035526245767e-21
Ewk,ggF_2jM_MET_200_300,2283.632568359375,2283.632568359375,957433.6800000002
data,ggF_5j_MET_900_2000,3.0,3.0,3.0
VBF,ggF_5j_MET_900_2000,9.999999717180683e-10,9.999999717180683e-10,1.2145101315794853e-21
VH,ggF_5j_MET_900_2000,9.999999717180683e-10,9.999999717180683e-10,7.330862329357066e-22
