process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t1b_MET_200_300,93.26144409179688,93.26144409179688,98.90051757812502
total_pred_prefit,ttH_1t1b_MET_300_400,74.86276245117188,74.86276245117188,58.91360351562499
total_pred_prefit,ttH_1t1b_MET_400_2000,68.32936859130861,68.32936859130861,56.60595703125
total_pred_prefit,ttH_1t2b_MET_200_300,115.66940307617188,115.66940307617188,179.50115234375
total_pred_prefit,ttH_1t2b_MET_300_400,98.11810302734376,98.11810302734376,105.376484375
total_pred_prefit,ttH_1t2b_MET_400_600,69.07705688476561,69.07705688476561,59.94452148437501
total_pred_prefit,ttH_1t2b_MET_600_2000,12.356905937194824,12.356905937194824,3.7345495605468746
total_pred_prefit,ttH_1w1b_MET_200_300,588.115966796875,588.115966796875,6535.234375
total_pred_prefit,ttH_1w1b_MET_300_400,204.3876495361328,204.3876495361328,800.8465625
total_pred_prefit,ttH_1w1b_MET_400_2000,65.61764526367189,65.61764526367189,104.54556640625
total_pred_prefit,ttH_1w2b_MET_200_300,461.22845458984375,461.22845458984375,4103.4659375
total_pred_prefit,ttH_1w2b_MET_300_400,148.44757080078125,148.44757080078125,482.09375
total_pred_prefit,ttH_1w2b_MET_400_2000,42.78903198242188,42.78903198242188,53.23884765625
total_pred_prefit,ttH_2Boosted_MET_200_300,95.10670471191406,95.10670471191406,277.6519140625
total_pred_prefit,ttH_2Boosted_MET_300_400,52.25428771972656,52.25428771972656,62.0498486328125
total_pred_prefit,ttH_2Boosted_MET_400_2000,35.73373031616211,35.73373031616211,31.80238037109375
total_pred_prefit,ttH_5j1b_MET_200_300,1416.266357421875,1416.266357421875,13508.63
total_pred_prefit,ttH_5j1b_MET_300_400,368.8868713378906,368.8868713378906,1085.566328125
total_pred_prefit,ttH_5j1b_MET_400_2000,126.52249145507812,126.52249145507812,209.90359375
total_pred_prefit,ttH_5j2b_MET_200_300,388.05377197265625,388.05377197265625,1454.4025
total_pred_prefit,ttH_5j2b_MET_300_400,80.33316802978516,80.33316802978516,70.207080078125
total_pred_prefit,ttH_5j2b_MET_400_2000,33.27522659301758,33.27522659301758,16.63826904296875
total_pred_prefit,ttH_6j1b_MET_200_300,749.6729125976562,749.6729125976562,3743.2646875
total_pred_prefit,ttH_6j1b_MET_300_400,244.5218811035156,244.5218811035156,598.5861718749999
total_pred_prefit,ttH_6j1b_MET_400_2000,97.63200378417969,97.63200378417969,135.632802734375
total_pred_prefit,ttH_6j2b_MET_200_300,255.78726196289062,255.78726196289062,636.322421875
total_pred_prefit,ttH_6j2b_MET_300_400,63.01683044433594,63.01683044433594,49.03888671875001
total_pred_prefit,ttH_6j2b_MET_400_2000,29.880056381225586,29.880056381225586,15.347176513671878
data,ttH_1w1b_MET_400_2000,62.0,62.0,62.0
VBF,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
VH,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_1w1b_MET_400_2000,60.803916931152344,60.803916931152344,36.679296875
ttH,ttH_1w1b_MET_400_2000,0.0,0.0,0.0
data,ttH_1w2b_MET_200_300,348.0,348.0,348.0
VBF,ttH_1w2b_MET_200_300,0.0,0.0,0.0
VH,ttH_1w2b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1w2b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1w2b_MET_200_300,351.6055908203125,351.6055908203125,175.62416015625
ttH,ttH_1w2b_MET_200_300,0.0,0.0,0.0
data,ttH_1w2b_MET_300_400,109.0,109.0,109.0
VBF,ttH_1w2b_MET_300_400,0.0,0.0,0.0
VH,ttH_1w2b_MET_300_400,0.0,0.0,0.0
ggF,ttH_1w2b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_1w2b_MET_300_400,113.7158203125,113.7158203125,70.8660986328125
ttH,ttH_1w2b_MET_300_400,0.0,0.0,0.0
data,ttH_1w2b_MET_400_2000,30.0,30.0,30.0
VBF,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
VH,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_1w2b_MET_400_2000,34.592147827148445,34.592147827148445,16.987011718749994
ttH,ttH_1w2b_MET_400_2000,0.0,0.0,0.0
data,ttH_2Boosted_MET_200_300,99.0,99.0,99.0
VBF,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
VH,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
ggF,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
Ewk,ttH_2Boosted_MET_200_300,92.924560546875,92.924560546875,57.52902343750001
ttH,ttH_2Boosted_MET_200_300,0.0,0.0,0.0
data,ttH_2Boosted_MET_300_400,46.0,46.0,46.0
VBF,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
VH,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
ggF,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
Ewk,ttH_2Boosted_MET_300_400,59.09115982055664,59.09115982055664,36.79758300781251
ttH,ttH_2Boosted_MET_300_400,0.0,0.0,0.0
data,ttH_2Boosted_MET_400_2000,23.0,23.0,23.0
VBF,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
VH,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
ggF,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_2Boosted_MET_400_2000,21.71912384033203,21.71912384033203,12.316802978515625
ttH,ttH_2Boosted_MET_400_2000,0.0,0.0,0.0
data,ttH_5j1b_MET_200_300,1398.0,1398.0,1398.0
VBF,ttH_5j1b_MET_200_300,0.0,0.0,0.0
VH,ttH_5j1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_5j1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_200_300,1369.6575927734375,1369.6575927734375,742.41859375
ttH,ttH_5j1b_MET_200_300,0.0,0.0,0.0
data,ttH_5j1b_MET_300_400,377.0,377.0,377.0
VBF,ttH_5j1b_MET_300_400,0.0,0.0,0.0
VH,ttH_5j1b_MET_300_400,0.0,0.0,0.0
ggF,ttH_5j1b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_300_400,379.5107727050781,379.5107727050781,209.173828125
ttH,ttH_5j1b_MET_300_400,0.0,0.0,0.0
data,ttH_5j1b_MET_400_2000,117.0,117.0,117.0
VBF,ttH_5j1b_MET_400_2000,0.0,0.0,0.0
VH,ttH_5j1b_MET_400_2000,0.0,0.0,0.0
ggF,ttH_5j1b_MET_400_2000,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_400_2000,120.50691223144531,120.50691223144531,60.697265625
ttH,ttH_5j1b_MET_400_2000,0.0,0.0,0.0
data,ttH_1t1b_MET_200_300,107.0,107.0,107.0
VBF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
VH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_1t1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_1t1b_MET_200_300,94.59417724609376,94.59417724609376,50.4906640625
ttH,ttH_1t1b_MET_200_300,0.0,0.0,0.0
data,ttH_5j2b_MET_200_300,376.0,376.0,376.0
VBF,ttH_5j2b_MET_200_300,0.0,0.0,0.0
VH,ttH_5j2b_MET_200_300,0.0,0.0,0.0
ggF,ttH_5j2b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_5j2b_MET_200_300,373.4708251953125,373.4708251953125,187.3167578125
ttH,ttH_5j2b_MET_200_300,0.0,0.0,0.0
data,ttH_5j2b_MET_300_400,80.0,80.0,80.0
VBF,ttH_5j2b_MET_300_400,0.0,0.0,0.0
VH,ttH_5j2b_MET_300_400,0.0,0.0,0.0
