process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t1b_MET_200_300,152.72451782226562,152.72451782226562,189.3831640625
total_pred_prefit,ttH_1t1b_MET_300_400,106.85115051269531,106.85115051269531,51.59893554687501
total_pred_prefit,ttH_1t1b_MET_400_2000,96.27015686035156,96.27015686035156,45.53220703125
total_pred_prefit,ttH_1t2b_MET_200_300,176.08497619628906,176.08497619628906,222.60921875000003
total_pred_prefit,ttH_1t2b_MET_300_400,132.97828674316406,132.97828674316406,119.0894921875
total_pred_prefit,ttH_1t2b_MET_400_600,88.10934448242188,88.10934448242188,59.6347314453125
total_pred_prefit,ttH_1t2b_MET_600_2000,13.331915855407715,13.331915855407715,2.4992362976074216
total_pred_prefit,ttH_1w1b_MET_200_300,815.0319213867188,815.0319213867188,9861.601874999997
total_pred_prefit,ttH_1w1b_MET_300_400,260.42739868164057,260.42739868164057,1028.34234375
total_pred_prefit,ttH_1w1b_MET_400_2000,78.93099975585938,78.93099975585938,114.14978515625002
total_pred_prefit,ttH_1w2b_MET_200_300,636.1257934570312,636.1257934570312,6785.7756249999975
total_pred_prefit,ttH_1w2b_MET_300_400,195.5990295410156,195.5990295410156,681.775
total_pred_prefit,ttH_1w2b_MET_400_2000,46.470664978027344,46.470664978027344,53.39779296875
total_pred_prefit,ttH_2Boosted_MET_200_300,62.174476623535156,62.174476623535156,78.36898925781249
total_pred_prefit,ttH_2Boosted_MET_300_400,36.73051452636719,36.73051452636719,20.520966796875
total_pred_prefit,ttH_2Boosted_MET_400_2000,21.73487663269043,21.73487663269043,6.656892700195312
total_pred_prefit,ttH_5j1b_MET_200_300,2136.877685546875,2136.877685546875,15050.36625
total_pred_prefit,ttH_5j1b_MET_300_400,535.9363403320311,535.9363403320311,820.78921875
total_pred_prefit,ttH_5j1b_MET_400_2000,173.12094116210938,173.12094116210938,219.880546875
total_pred_prefit,ttH_5j2b_MET_200_300,620.0108642578125,620.0108642578125,2266.41390625
total_pred_prefit,ttH_5j2b_MET_300_400,117.60862731933594,117.60862731933594,112.70873046875
total_pred_prefit,ttH_5j2b_MET_400_2000,39.47038269042969,39.47038269042969,14.302030029296875
total_pred_prefit,ttH_6j1b_MET_200_300,1158.984130859375,1158.984130859375,5250.685625000001
total_pred_prefit,ttH_6j1b_MET_300_400,348.76318359375,348.76318359375,477.30886718750014
total_pred_prefit,ttH_6j1b_MET_400_2000,136.99208068847656,136.99208068847656,191.1539453125
total_pred_prefit,ttH_6j2b_MET_200_300,393.9054565429688,393.9054565429688,939.91328125
total_pred_prefit,ttH_6j2b_MET_300_400,94.21498107910156,94.21498107910156,77.52734375
total_pred_prefit,ttH_6j2b_MET_400_2000,39.22679138183594,39.22679138183594,20.08020385742188
data,ttH_1w1b_MET_400_2000,67.0,67.0,67.0
VBF,ttH_1w1b_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_1w1b_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_1w1b_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_1w1b_MET_400_2000,68.19656372070311,68.19656372070311,42.66613281250001
ttH,ttH_1w1b_MET_400_2000,7.019535132712918e-06,7.019535132712918e-06,0.0001848919875919819
data,ttH_1w2b_MET_200_300,460.0,460.0,460.0
VBF,ttH_1w2b_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_1w2b_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_1w2b_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_1w2b_MET_200_300,456.3963928222656,456.3963928222656,297.38888671875
ttH,ttH_1w2b_MET_200_300,2.323428816453088e-05,2.323428816453088e-05,0.0019972254335880275
data,ttH_1w2b_MET_300_400,145.0,145.0,145.0
VBF,ttH_1w2b_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_1w2b_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_1w2b_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_1w2b_MET_300_400,140.28524780273438,140.28524780273438,83.28271484375
ttH,ttH_1w2b_MET_300_400,1.4427911992243024e-05,1.4427911992243024e-05,0.0007979822158813478
data,ttH_1w2b_MET_400_2000,40.0,40.0,40.0
VBF,ttH_1w2b_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_1w2b_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_1w2b_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_1w2b_MET_400_2000,35.40832901000977,35.40832901000977,23.78309326171875
ttH,ttH_1w2b_MET_400_2000,6.160500106489053e-06,6.160500106489053e-06,0.00014642399735748766
data,ttH_2Boosted_MET_200_300,50.0,50.0,50.0
VBF,ttH_2Boosted_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_2Boosted_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_2Boosted_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_2Boosted_MET_200_300,56.075599670410156,56.075599670410156,27.28578369140625
ttH,ttH_2Boosted_MET_200_300,1.896352500807552e-06,1.896352500807552e-06,1.2760219397023315e-05
data,ttH_2Boosted_MET_300_400,53.0,53.0,53.0
VBF,ttH_2Boosted_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_2Boosted_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_2Boosted_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_2Boosted_MET_300_400,39.90901184082031,39.90901184082031,19.3227685546875
ttH,ttH_2Boosted_MET_300_400,2.0088446035515517e-06,2.0088446035515517e-06,1.532168709672988e-05
data,ttH_2Boosted_MET_400_2000,11.0,11.0,11.0
VBF,ttH_2Boosted_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_2Boosted_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_2Boosted_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_2Boosted_MET_400_2000,12.280969619750975,12.280969619750975,5.5347662353515625
ttH,ttH_2Boosted_MET_400_2000,1.6436634950878215e-06,1.6436634950878215e-06,1.0719253914430738e-05
data,ttH_5j1b_MET_200_300,1903.0,1903.0,1903.0
VBF,ttH_5j1b_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_5j1b_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_5j1b_MET_200_300,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_5j1b_MET_200_300,1931.35009765625,1931.35009765625,1440.3628125
ttH,ttH_5j1b_MET_200_300,8.898461965145543e-05,8.898461965145543e-05,0.029609663486480718
data,ttH_5j1b_MET_300_400,512.0,512.0,512.0
VBF,ttH_5j1b_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
VH,ttH_5j1b_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,5.114296427195922e-21
ggF,ttH_5j1b_MET_300_400,3.7055431558472365e-14,3.7055431558472365e-14,4.982595831992527e-21
Ewk,ttH_5j1b_MET_300_400,509.4921569824219,509.4921569824219,321.08369140625007
ttH,ttH_5j1b_MET_300_400,3.758704042411409e-05,3.758704042411409e-05,0.005279455184936524
data,ttH_5j1b_MET_400_2000,156.0,156.0,156.0
