process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t1b_MET_200_300,7.275768756866455,7.275768756866455,2.5149288940429684
total_pred_prefit,ttH_1t1b_MET_300_400,10.326260566711426,10.326260566711426,1.494063262939453
total_pred_prefit,ttH_1t1b_MET_400_2000,11.433782577514648,11.433782577514648,9.565263671875
total_pred_prefit,ttH_1t2b_MET_200_300,1.970925569534301,1.970925569534301,0.10273877143859864
total_pred_prefit,ttH_1t2b_MET_300_400,2.9062094688415527,2.9062094688415527,0.14175697326660155
total_pred_prefit,ttH_1t2b_MET_400_600,2.5341429710388184,2.5341429710388184,0.29076436996459964
total_pred_prefit,ttH_1t2b_MET_600_2000,0.6944254636764526,0.6944254636764526,0.10341018676757813
total_pred_prefit,ttH_1w1b_MET_200_300,9.722454071044922,9.722454071044922,7.677728271484374
total_pred_prefit,ttH_1w1b_MET_300_400,3.1269533634185787,3.1269533634185787,0.2857577323913575
total_pred_prefit,ttH_1w1b_MET_400_2000,2.929490804672241,2.929490804672241,0.6910481262207031
total_pred_prefit,ttH_1w2b_MET_200_300,2.769950151443481,2.769950151443481,0.5140837478637695
total_pred_prefit,ttH_1w2b_MET_300_400,1.0158567428588867,1.0158567428588867,0.027109549045562745
total_pred_prefit,ttH_1w2b_MET_400_2000,1.3643954992294312,1.3643954992294312,0.08101229667663573
total_pred_prefit,ttH_2Boosted_MET_200_300,0.9000288248062134,0.9000288248062134,0.053621459007263186
total_pred_prefit,ttH_2Boosted_MET_300_400,0.8821455240249634,0.8821455240249634,0.016270589828491208
total_pred_prefit,ttH_2Boosted_MET_400_2000,1.7590073347091677,1.7590073347091677,0.08754146575927736
total_pred_prefit,ttH_5j1b_MET_200_300,64.13128662109375,64.13128662109375,382.2240234375
total_pred_prefit,ttH_5j1b_MET_300_400,29.349201202392567,29.349201202392567,21.416640625000007
total_pred_prefit,ttH_5j1b_MET_400_2000,14.125272750854492,14.125272750854492,9.306406860351565
total_pred_prefit,ttH_5j2b_MET_200_300,13.511794090270994,13.511794090270994,13.3970361328125
total_pred_prefit,ttH_5j2b_MET_300_400,5.310450077056885,5.310450077056885,0.6027797317504883
total_pred_prefit,ttH_5j2b_MET_400_2000,3.054293155670166,3.054293155670166,0.36405872344970697
total_pred_prefit,ttH_6j1b_MET_200_300,26.938831329345703,26.938831329345703,58.2635986328125
total_pred_prefit,ttH_6j1b_MET_300_400,14.727234840393065,14.727234840393065,4.371906127929687
total_pred_prefit,ttH_6j1b_MET_400_2000,8.723623275756836,8.723623275756836,3.3614318847656244
total_pred_prefit,ttH_6j2b_MET_200_300,7.901857852935791,7.901857852935791,2.9396405029296875
total_pred_prefit,ttH_6j2b_MET_300_400,4.033302307128906,4.033302307128906,0.33700855255126955
total_pred_prefit,ttH_6j2b_MET_400_2000,1.9458065032958984,1.9458065032958984,0.13936118125915528
data,ttH_1w1b_MET_400_2000,4.0,4.0,4.0
VBF,ttH_1w1b_MET_400_2000,3.7055431558472365e-14,3.7055431558472365e-14,5.110950998606029e-21
