process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_200_300,146.0,146.0,146.0
VBF,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ttH_1t0b_MET_200_300,137.00650024414062,137.00650024414062,131.09233398437502
ttH,ttH_1t0b_MET_200_300,0.19013173878192904,0.19013173878192904,0.0007458522915840148
data,ttH_1t0b_MET_300_400,130.0,130.0,130.0
VBF,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ttH_1t0b_MET_300_400,108.36441040039062,108.36441040039062,41.395166015625
ttH,ttH_1t0b_MET_300_400,0.2286300361156464,0.2286300361156464,0.0008477464318275451
data,ttH_1t0b_MET_400_2000,123.0,123.0,123.0
VBF,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ttH_1t0b_MET_400_2000,98.00904083251952,98.00904083251952,41.757407226562506
ttH,ttH_1t0b_MET_400_2000,0.32500365376472473,0.32500365376472473,0.0015913517773151395
data,ttH_1t1b_MET_200_300,244.0,244.0,244.0
VBF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ttH_1t1b_MET_200_300,234.6332550048828,234.6332550048828,285.261171875
ttH,ttH_1t1b_MET_200_300,0.32185834646224976,0.32185834646224976,0.0016395871341228485
data,ttH_1t1b_MET_300_400,166.0,166.0,166.0
VBF,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1864130033695607e-21
VH,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,8.943271280239905e-22
ggF,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.1566470405828715e-21
Ewk,ttH_1t1b_MET_300_400,172.78219604492188,172.78219604492188,143.06007812499996
