process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,2010.5572967529297,2010.5572967529297,86469.08777343754
total_pred_prefit,VH_1V_MET_300_400,544.1200103759766,544.1200103759766,5862.804013671876
total_pred_prefit,VH_1V_MET_400_2000,33.77532732486725,33.77532732486725,25.151708984375
total_pred_prefit,VH_2j0b_MET_200_300,5232.81721496582,5232.81721496582,361496.21687500004
total_pred_prefit,VH_2j0b_MET_300_400,1827.7975578308105,1827.7975578308105,42728.4811328125
total_pred_prefit,VH_2j0b_MET_400_2000,222.61844539642334,222.61844539642334,702.0787899780273
total_pred_prefit,VH_2j1b_MET_200_300,412.36507987976074,412.36507987976074,2126.600283203125
total_pred_prefit,VH_2j1b_MET_300_400,118.73105382919313,118.73105382919313,254.52001541137696
total_pred_prefit,VH_2j1b_MET_400_2000,13.636939376592634,13.636939376592634,3.6459707272052757
total_pred_prefit,VH_2j2b_MET_200_2000,52.66162633895874,52.66162633895874,43.89209787368774
data,VH_2j2b_MET_200_2000,69.0,69.0,69.0
QCD_from_photon_purity,VH_2j2b_MET_200_2000,2.4658119678497314,2.4658119678497314,0.3237838363647461
VBF,VH_2j2b_MET_200_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_2j2b_MET_200_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_2j2b_MET_200_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_2j2b_MET_200_2000,59.36556243896485,59.36556243896485,43.87722656249999
data,VH_1V_MET_200_300,2048.0,2048.0,2048.0
QCD_from_photon_purity,VH_1V_MET_200_300,77.31297302246094,77.31297302246094,314.50353515625
VBF,VH_1V_MET_200_300,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_1V_MET_200_300,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_1V_MET_200_300,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_1V_MET_200_300,1937.786865234375,1937.786865234375,3936.470625
data,VH_1V_MET_300_400,618.0,618.0,618.0
QCD_from_photon_purity,VH_1V_MET_300_400,19.855365753173828,19.855365753173828,20.767380371093754
VBF,VH_1V_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_1V_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_1V_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_1V_MET_300_400,597.1821899414062,597.1821899414062,615.6810546875
data,VH_1V_MET_400_2000,39.0,39.0,39.0
QCD_from_photon_purity,VH_1V_MET_400_2000,0.9829326272010804,0.9829326272010804,0.05129306793212891
VBF,VH_1V_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_1V_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_1V_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_1V_MET_400_2000,40.66872024536133,40.66872024536133,33.266391601562496
data,VH_2j0b_MET_200_300,5662.0,5662.0,5662.0
QCD_from_photon_purity,VH_2j0b_MET_200_300,213.35104370117188,213.35104370117188,2386.39140625
VBF,VH_2j0b_MET_200_300,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
ggF,VH_2j0b_MET_200_300,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_2j0b_MET_200_300,5502.93310546875,5502.93310546875,7282.871875
VH,VH_2j0b_MET_200_300,6.104523997407796e-09,6.104523997407796e-09,1.5706700651207941e-07
data,VH_2j0b_MET_300_400,1824.0,1824.0,1824.0
QCD_from_photon_purity,VH_2j0b_MET_300_400,57.7818603515625,57.7818603515625,174.73126953124995
VBF,VH_2j0b_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_2j0b_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_2j0b_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_2j0b_MET_300_400,1766.1566162109375,1766.1566162109375,1955.84390625
data,VH_2j0b_MET_400_2000,214.0,214.0,214.0
QCD_from_photon_purity,VH_2j0b_MET_400_2000,5.293720722198486,5.293720722198486,1.4803509521484377
VBF,VH_2j0b_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_2j0b_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_2j0b_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_2j0b_MET_400_2000,205.00376892089844,205.00376892089844,237.5178125
data,VH_2j1b_MET_200_300,578.0,578.0,578.0
QCD_from_photon_purity,VH_2j1b_MET_200_300,21.74062156677246,21.74062156677246,24.96541748046875
VBF,VH_2j1b_MET_200_300,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_2j1b_MET_200_300,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_2j1b_MET_200_300,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_2j1b_MET_200_300,533.206298828125,533.206298828125,467.4387109375
data,VH_2j1b_MET_300_400,168.0,168.0,168.0
QCD_from_photon_purity,VH_2j1b_MET_300_400,5.249528884887695,5.249528884887695,1.4548226928710937
VBF,VH_2j1b_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_2j1b_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_2j1b_MET_300_400,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_2j1b_MET_300_400,161.4024658203125,161.4024658203125,156.93478515624997
data,VH_2j1b_MET_400_2000,14.0,14.0,14.0
QCD_from_photon_purity,VH_2j1b_MET_400_2000,0.34203702211380005,0.34203702211380005,0.006222323179244994
VBF,VH_2j1b_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.05298952989071e-22
VH,VH_2j1b_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.065516711747557e-22
ggF,VH_2j1b_MET_400_2000,1.5902494336772754e-16,1.5902494336772754e-16,1.0408220585092248e-22
Ewk,VH_2j1b_MET_400_2000,15.171886444091795,15.171886444091795,13.202790527343753
total_pred_postfit,VH_1V_MET_200_300,2015.099838256836,2015.099838256836,4250.97416015625
total_pred_postfit,VH_1V_MET_300_400,617.0375556945801,617.0375556945801,636.4484350585938
total_pred_postfit,VH_1V_MET_400_2000,41.65165287256241,41.65165287256241,33.317684669494625
total_pred_postfit,VH_2j0b_MET_200_300,5716.284149176026,5716.284149176026,9669.263281407068
total_pred_postfit,VH_2j0b_MET_300_400,1823.9384765625,1823.9384765625,2130.57517578125
total_pred_postfit,VH_2j0b_MET_400_2000,210.29748964309692,210.29748964309692,238.99816345214842
total_pred_postfit,VH_2j1b_MET_200_300,554.9469203948975,554.9469203948975,492.40412841796876
total_pred_postfit,VH_2j1b_MET_300_400,166.6519947052002,166.6519947052002,158.38960784912106
total_pred_postfit,VH_2j1b_MET_400_2000,15.513923466205595,15.513923466205595,13.209012850522997
total_pred_postfit,VH_2j2b_MET_200_2000,61.83137440681458,61.83137440681458,44.20101039886474
