process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,3778.1061399602613,3778.1061399602613,13097.435026679012
total_pred_prefit,VH_1V_MET_300_400,679.4840087890625,679.4840087890625,1003.2675
total_pred_prefit,VH_1V_MET_400_2000,41.16851758956909,41.16851758956909,35.77717697143554
total_pred_prefit,VH_2j0b_MET_200_300,10621.631092055224,10621.631092055224,51946.990760023975
total_pred_prefit,VH_2j0b_MET_300_400,1538.3304443359375,1538.3304443359375,1908.8484765625005
total_pred_prefit,VH_2j0b_MET_400_2000,142.12983322143558,142.12983322143558,114.41539672851565
total_pred_prefit,VH_2j1b_MET_200_300,1189.8472766007408,1189.8472766007408,1745.184620350741
total_pred_prefit,VH_2j1b_MET_300_400,182.7510528564453,182.7510528564453,164.61608276367184
total_pred_prefit,VH_2j1b_MET_400_2000,13.565147876739502,13.565147876739502,6.968099594116211
total_pred_prefit,VH_2j2b_MET_200_2000,165.15496444702146,165.15496444702146,260.690849609375
data,VH_2j2b_MET_200_2000,164.0,164.0,164.0
Qcd,VH_2j2b_MET_200_2000,1.416701533862863e-09,1.416701533862863e-09,2.79572720274714e-19
Ttw,VH_2j2b_MET_200_2000,32.850086212158196,32.850086212158196,12.097446289062498
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Zinv,VH_2j2b_MET_200_2000,133.09890747070312,133.09890747070312,104.69912109375
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ttH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
data,VH_1V_MET_200_300,4005.0,4005.0,4005.0
Qcd,VH_1V_MET_200_300,49.15965270996094,49.15965270996094,348.3527734375
Ttw,VH_1V_MET_200_300,1380.673095703125,1380.673095703125,1542.19640625
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
Zinv,VH_1V_MET_200_300,2535.65576171875,2535.65576171875,4312.414375
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
ttH,VH_1V_MET_200_300,0.0,0.0,0.0
data,VH_1V_MET_300_400,612.0,612.0,612.0
Qcd,VH_1V_MET_300_400,1.416701533862863e-09,1.416701533862863e-09,2.79572720274714e-19
Ttw,VH_1V_MET_300_400,167.31216430664062,167.31216430664062,74.13856445312501
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
Zinv,VH_1V_MET_300_400,488.6785888671875,488.6785888671875,388.728203125
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
ttH,VH_1V_MET_300_400,0.0,0.0,0.0
data,VH_1V_MET_400_2000,50.0,50.0,50.0
Qcd,VH_1V_MET_400_2000,1.416701533862863e-09,1.416701533862863e-09,2.79572720274714e-19
Ttw,VH_1V_MET_400_2000,6.525497913360598,6.525497913360598,0.8950662231445312
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
Zinv,VH_1V_MET_400_2000,38.86363983154297,38.86363983154297,24.9979248046875
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
ttH,VH_1V_MET_400_2000,0.0,0.0,0.0
data,VH_2j0b_MET_200_300,11263.0,11263.0,11263.0
Qcd,VH_2j0b_MET_200_300,546.0691528320311,546.0691528320311,37685.5325
Ttw,VH_2j0b_MET_200_300,4225.20556640625,4225.20556640625,5815.789375000001
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
Zinv,VH_2j0b_MET_200_300,6458.75732421875,6458.75732421875,26153.8675
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
ttH,VH_2j0b_MET_200_300,0.0,0.0,0.0
data,VH_2j0b_MET_300_400,1696.0,1696.0,1696.0
Qcd,VH_2j0b_MET_300_400,1.416701533862863e-09,1.416701533862863e-09,2.79572720274714e-19
Ttw,VH_2j0b_MET_300_400,604.80712890625,604.80712890625,551.870078125
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
