process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,229.04953002929688,229.04953002929688,5035.982187499999
total_pred_prefit,VH_1V_MET_300_400,55.45757675170898,55.45757675170898,119.003310546875
total_pred_prefit,VH_1V_MET_400_2000,6.4393815994262695,6.4393815994262695,1.5292753601074218
total_pred_prefit,VH_2j0b_MET_200_300,987.511474609375,987.511474609375,129289.63
total_pred_prefit,VH_2j0b_MET_300_400,279.1884765625,279.1884765625,3971.317500000001
total_pred_prefit,VH_2j0b_MET_400_2000,71.52196502685547,71.52196502685547,212.395390625
total_pred_prefit,VH_2j1b_MET_200_300,100.33744049072266,100.33744049072266,1080.3642968749996
total_pred_prefit,VH_2j1b_MET_300_400,25.43222045898437,25.43222045898437,38.54927001953124
total_pred_prefit,VH_2j1b_MET_400_2000,20.68550109863281,20.68550109863281,46.3127490234375
total_pred_prefit,VH_2j2b_MET_200_2000,26.12579917907715,26.12579917907715,29.184245605468753
data,VH_2j2b_MET_200_2000,19.0,19.0,19.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,24.03045654296875,24.03045654296875,10.78200927734375
data,VH_1V_MET_200_300,190.0,190.0,190.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,182.26708984375,182.26708984375,94.27294921875
data,VH_1V_MET_300_400,46.0,46.0,46.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,52.43643569946289,52.43643569946289,16.365313720703124
data,VH_1V_MET_400_2000,7.0,7.0,7.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,8.129776954650879,8.129776954650879,2.1059503173828125
data,VH_2j0b_MET_200_300,955.0,955.0,955.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,957.708984375,957.708984375,507.5853125
data,VH_2j0b_MET_300_400,286.0,286.0,286.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,272.7169189453125,272.7169189453125,76.56887695312498
data,VH_2j0b_MET_400_2000,68.0,68.0,68.0
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j0b_MET_400_2000,65.94548797607422,65.94548797607422,8.993167724609373
data,VH_2j1b_MET_200_300,88.0,88.0,88.0
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j1b_MET_200_300,95.56451416015624,95.56451416015624,51.0173828125
data,VH_2j1b_MET_300_400,25.0,25.0,25.0
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j1b_MET_300_400,30.768653869628906,30.768653869628906,11.2955908203125
data,VH_2j1b_MET_400_2000,32.0,32.0,32.0
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j1b_MET_400_2000,24.16741943359375,24.16741943359375,7.94745361328125
total_pred_postfit,VH_1V_MET_200_300,182.26708984375,182.26708984375,94.27294921875
total_pred_postfit,VH_1V_MET_300_400,52.43643569946289,52.43643569946289,16.365313720703124
total_pred_postfit,VH_1V_MET_400_2000,8.129776954650879,8.129776954650879,2.1059503173828125
total_pred_postfit,VH_2j0b_MET_200_300,957.708984375,957.708984375,507.5853125
total_pred_postfit,VH_2j0b_MET_300_400,272.7169189453125,272.7169189453125,76.56887695312498
total_pred_postfit,VH_2j0b_MET_400_2000,65.94548797607422,65.94548797607422,8.993167724609373
total_pred_postfit,VH_2j1b_MET_200_300,95.56451416015624,95.56451416015624,51.0173828125
total_pred_postfit,VH_2j1b_MET_300_400,30.768653869628906,30.768653869628906,11.2955908203125
total_pred_postfit,VH_2j1b_MET_400_2000,24.16741943359375,24.16741943359375,7.94745361328125
total_pred_postfit,VH_2j2b_MET_200_2000,24.03045654296875,24.03045654296875,10.78200927734375
