process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,264.96780395507807,264.96780395507807,5238.5171875
total_pred_prefit,VH_1V_MET_300_400,47.27718734741211,47.27718734741211,76.88536132812501
total_pred_prefit,VH_1V_MET_400_2000,3.526407480239868,3.526407480239868,0.3999124908447265
total_pred_prefit,VH_2j0b_MET_200_300,620.6505737304688,620.6505737304688,33739.76249999998
total_pred_prefit,VH_2j0b_MET_300_400,120.05665588378906,120.05665588378906,480.524453125
total_pred_prefit,VH_2j0b_MET_400_2000,14.851446151733398,14.851446151733398,2.1477790832519537
total_pred_prefit,VH_2j1b_MET_200_300,67.01901245117189,67.01901245117189,318.67998046875
total_pred_prefit,VH_2j1b_MET_300_400,12.103799819946287,12.103799819946287,3.9089547729492193
total_pred_prefit,VH_2j1b_MET_400_2000,1.9601645469665527,1.9601645469665527,0.15588179588317871
total_pred_prefit,VH_2j2b_MET_200_2000,16.260858535766598,16.260858535766598,7.792325439453126
data,VH_2j2b_MET_200_2000,14.0,14.0,14.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,16.10854721069336,16.10854721069336,4.676561889648436
data,VH_1V_MET_200_300,223.0,223.0,223.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,236.6196746826172,236.6196746826172,134.6159375
data,VH_1V_MET_300_400,48.0,48.0,48.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,49.32860946655274,49.32860946655274,13.271467285156252
data,VH_1V_MET_400_2000,8.0,8.0,8.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,3.9783685207366943,3.9783685207366943,0.5666579055786132
data,VH_2j0b_MET_200_300,680.0,680.0,680.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,629.4215087890625,629.4215087890625,377.5512109375
data,VH_2j0b_MET_300_400,106.0,106.0,106.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,107.1548843383789,107.1548843383789,22.7489697265625
data,VH_2j0b_MET_400_2000,11.0,11.0,11.0
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j0b_MET_400_2000,12.699399948120115,12.699399948120115,2.0509323120117187
data,VH_2j1b_MET_200_300,71.0,71.0,71.0
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j1b_MET_200_300,78.26634979248047,78.26634979248047,23.141904296875005
data,VH_2j1b_MET_300_400,13.0,13.0,13.0
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j1b_MET_300_400,15.650557518005373,15.650557518005373,3.1010140991210933
data,VH_2j1b_MET_400_2000,4.0,4.0,4.0
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j1b_MET_400_2000,2.0231716632843018,2.0231716632843018,0.34566112518310543
total_pred_postfit,VH_1V_MET_200_300,236.6196746826172,236.6196746826172,134.6159375
total_pred_postfit,VH_1V_MET_300_400,49.32860946655274,49.32860946655274,13.271467285156252
total_pred_postfit,VH_1V_MET_400_2000,3.9783685207366943,3.9783685207366943,0.5666579055786132
total_pred_postfit,VH_2j0b_MET_200_300,629.4215087890625,629.4215087890625,377.5512109375
total_pred_postfit,VH_2j0b_MET_300_400,107.1548843383789,107.1548843383789,22.7489697265625
total_pred_postfit,VH_2j0b_MET_400_2000,12.699399948120115,12.699399948120115,2.0509323120117187
total_pred_postfit,VH_2j1b_MET_200_300,78.26634979248047,78.26634979248047,23.141904296875005
total_pred_postfit,VH_2j1b_MET_300_400,15.650557518005373,15.650557518005373,3.1010140991210933
total_pred_postfit,VH_2j1b_MET_400_2000,2.0231716632843018,2.0231716632843018,0.34566112518310543
total_pred_postfit,VH_2j2b_MET_200_2000,16.10854721069336,16.10854721069336,4.676561889648436
