process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,336.7980041503906,336.7980041503906,12731.79125
total_pred_prefit,VH_1V_MET_300_400,71.2110595703125,71.2110595703125,235.11708984375
total_pred_prefit,VH_1V_MET_400_2000,10.182337760925293,10.182337760925293,1.7334796142578124
total_pred_prefit,VH_2j0b_MET_200_300,1462.8876953125,1462.8876953125,304196.56
total_pred_prefit,VH_2j0b_MET_300_400,409.1380310058594,409.1380310058594,7089.5237499999985
total_pred_prefit,VH_2j0b_MET_400_2000,105.25261688232422,105.25261688232422,138.56997070312497
total_pred_prefit,VH_2j1b_MET_200_300,142.8209991455078,142.8209991455078,2536.1640625
total_pred_prefit,VH_2j1b_MET_300_400,38.5754280090332,38.5754280090332,51.86949218750001
total_pred_prefit,VH_2j1b_MET_400_2000,27.65442085266113,27.65442085266113,62.57433105468751
total_pred_prefit,VH_2j2b_MET_200_2000,36.36925888061523,36.36925888061523,40.38985107421875
data,VH_2j2b_MET_200_2000,37.0,37.0,37.0
VBF,VH_2j2b_MET_200_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_2j2b_MET_200_2000,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_2j2b_MET_200_2000,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_2j2b_MET_200_2000,39.22412872314453,39.22412872314453,6.563643798828125
data,VH_1V_MET_200_300,287.0,287.0,287.0
VBF,VH_1V_MET_200_300,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_1V_MET_200_300,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_1V_MET_200_300,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_1V_MET_200_300,317.8492431640625,317.8492431640625,86.4096875
data,VH_1V_MET_300_400,75.0,75.0,75.0
VBF,VH_1V_MET_300_400,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_1V_MET_300_400,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_1V_MET_300_400,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_1V_MET_300_400,78.81867218017578,78.81867218017578,15.574224853515627
data,VH_1V_MET_400_2000,11.0,11.0,11.0
VBF,VH_1V_MET_400_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_1V_MET_400_2000,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_1V_MET_400_2000,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_1V_MET_400_2000,12.104107856750488,12.104107856750488,1.389601898193359
data,VH_2j0b_MET_200_300,1498.0,1498.0,1498.0
VBF,VH_2j0b_MET_200_300,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_2j0b_MET_200_300,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_2j0b_MET_200_300,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_2j0b_MET_200_300,1531.0679931640625,1531.0679931640625,619.1415234375
data,VH_2j0b_MET_300_400,372.0,372.0,372.0
VBF,VH_2j0b_MET_300_400,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_2j0b_MET_300_400,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_2j0b_MET_300_400,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_2j0b_MET_300_400,386.1392211914063,386.1392211914063,67.31181152343748
data,VH_2j0b_MET_400_2000,98.0,98.0,98.0
VBF,VH_2j0b_MET_400_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_2j0b_MET_400_2000,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_2j0b_MET_400_2000,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_2j0b_MET_400_2000,100.25021362304688,100.25021362304688,10.958171386718748
data,VH_2j1b_MET_200_300,146.0,146.0,146.0
VBF,VH_2j1b_MET_200_300,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_2j1b_MET_200_300,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_2j1b_MET_200_300,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_2j1b_MET_200_300,171.5477752685547,171.5477752685547,51.76379394531249
data,VH_2j1b_MET_300_400,40.0,40.0,40.0
VBF,VH_2j1b_MET_300_400,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_2j1b_MET_300_400,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_2j1b_MET_300_400,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_2j1b_MET_300_400,42.9464111328125,42.9464111328125,7.308153076171874
data,VH_2j1b_MET_400_2000,36.0,36.0,36.0
VBF,VH_2j1b_MET_400_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
VH,VH_2j1b_MET_400_2000,3.135491033479098e-10,3.135491033479098e-10,2.2520815221465668e-20
ggF,VH_2j1b_MET_400_2000,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ewk,VH_2j1b_MET_400_2000,37.97195816040039,37.97195816040039,11.319838867187498
total_pred_postfit,VH_1V_MET_200_300,317.84924316500883,317.84924316500883,86.4096875
total_pred_postfit,VH_1V_MET_300_400,78.81867218112212,78.81867218112212,15.574224853515627
total_pred_postfit,VH_1V_MET_400_2000,12.104107857696834,12.104107857696834,1.389601898193359
total_pred_postfit,VH_2j0b_MET_200_300,1531.0679931650088,1531.0679931650088,619.1415234375
total_pred_postfit,VH_2j0b_MET_300_400,386.13922119235264,386.13922119235264,67.31181152343748
total_pred_postfit,VH_2j0b_MET_400_2000,100.25021362399322,100.25021362399322,10.958171386718748
total_pred_postfit,VH_2j1b_MET_200_300,171.54777526950105,171.54777526950105,51.76379394531249
total_pred_postfit,VH_2j1b_MET_300_400,42.94641113375884,42.94641113375884,7.308153076171874
total_pred_postfit,VH_2j1b_MET_400_2000,37.971958161346734,37.971958161346734,11.319838867187498
total_pred_postfit,VH_2j2b_MET_200_2000,39.224128724090875,39.224128724090875,6.563643798828125
