process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,15014.169921875,15014.169921875,10806371.84
total_pred_prefit,ggF_2jM_MET_300_400,2700.17578125,2700.17578125,91300.95
total_pred_prefit,ggF_2jM_MET_400_600,830.8585205078125,830.8585205078125,9826.524375
total_pred_prefit,ggF_2jM_MET_600_900,92.0047836303711,92.0047836303711,651.0493359375
total_pred_prefit,ggF_2jM_MET_900_2000,7.2575602531433105,7.2575602531433105,13.832147216796875
total_pred_prefit,ggF_3j_MET_200_300,17135.388671875,17135.388671875,11340568.319999995
total_pred_prefit,ggF_3j_MET_300_400,3815.941162109375,3815.941162109375,160744.39
total_pred_prefit,ggF_3j_MET_400_600,1129.3798828125,1129.3798828125,17693.47
total_pred_prefit,ggF_3j_MET_600_900,127.65247344970705,127.65247344970705,1417.5753125000006
total_pred_prefit,ggF_3j_MET_900_2000,12.58515453338623,12.58515453338623,34.762048339843744
total_pred_prefit,ggF_4j_MET_200_300,7412.8046875,7412.8046875,1805804.48
total_pred_prefit,ggF_4j_MET_300_400,2082.870361328125,2082.870361328125,40940.545
total_pred_prefit,ggF_4j_MET_400_600,722.4468994140625,722.4468994140625,7607.725625000001
total_pred_prefit,ggF_4j_MET_600_900,96.8047332763672,96.8047332763672,773.671796875
total_pred_prefit,ggF_4j_MET_900_2000,9.834593772888184,9.834593772888184,18.149213867187488
total_pred_prefit,ggF_5j_MET_200_300,3297.52783203125,3297.52783203125,262361.08
total_pred_prefit,ggF_5j_MET_300_400,1104.69287109375,1104.69287109375,8691.680625
total_pred_prefit,ggF_5j_MET_400_600,461.1248474121094,461.1248474121094,2870.922187500001
total_pred_prefit,ggF_5j_MET_600_900,72.15155029296875,72.15155029296875,402.3379296875
total_pred_prefit,ggF_5j_MET_900_2000,8.937638282775879,8.937638282775879,11.939224853515626
data,ggF_3j_MET_900_2000,13.0,13.0,13.0
VBF,ggF_3j_MET_900_2000,0.0,0.0,0.0
VH,ggF_3j_MET_900_2000,0.0,0.0,0.0
ggF,ggF_3j_MET_900_2000,0.0,0.0,0.0
ttH,ggF_3j_MET_900_2000,0.0,0.0,0.0
Ewk,ggF_3j_MET_900_2000,14.185430526733398,14.185430526733398,8.661629028320313
data,ggF_4j_MET_200_300,7716.0,7716.0,7716.0
VBF,ggF_4j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_4j_MET_200_300,7790.48974609375,7790.48974609375,5227.262812499999
VH,ggF_4j_MET_200_300,0.0,0.0,0.0
ggF,ggF_4j_MET_200_300,0.0,0.0,0.0
ttH,ggF_4j_MET_200_300,0.0,0.0,0.0
data,ggF_4j_MET_300_400,2193.0,2193.0,2193.0
VBF,ggF_4j_MET_300_400,0.0,0.0,0.0
VH,ggF_4j_MET_300_400,0.0,0.0,0.0
ggF,ggF_4j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_4j_MET_300_400,2175.724609375,2175.724609375,1254.780390625
ttH,ggF_4j_MET_300_400,0.0,0.0,0.0
data,ggF_4j_MET_400_600,772.0,772.0,772.0
VBF,ggF_4j_MET_400_600,0.0,0.0,0.0
VH,ggF_4j_MET_400_600,0.0,0.0,0.0
ggF,ggF_4j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_4j_MET_400_600,758.9706420898438,758.9706420898438,381.25203125
ttH,ggF_4j_MET_400_600,0.0,0.0,0.0
data,ggF_4j_MET_600_900,97.0,97.0,97.0
VBF,ggF_4j_MET_600_900,0.0,0.0,0.0
VH,ggF_4j_MET_600_900,0.0,0.0,0.0
ggF,ggF_4j_MET_600_900,0.0,0.0,0.0
Ewk,ggF_4j_MET_600_900,98.2893295288086,98.2893295288086,41.2343359375
ttH,ggF_4j_MET_600_900,0.0,0.0,0.0
data,ggF_4j_MET_900_2000,12.0,12.0,12.0
VBF,ggF_4j_MET_900_2000,0.0,0.0,0.0
VH,ggF_4j_MET_900_2000,0.0,0.0,0.0
ggF,ggF_4j_MET_900_2000,0.0,0.0,0.0
ttH,ggF_4j_MET_900_2000,0.0,0.0,0.0
Ewk,ggF_4j_MET_900_2000,14.21815586090088,14.21815586090088,8.801659545898438
data,ggF_5j_MET_200_300,3699.0,3699.0,3699.0
VBF,ggF_5j_MET_200_300,0.0,0.0,0.0
ggF,ggF_5j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_5j_MET_200_300,3753.12451171875,3753.12451171875,2491.714218750001
VH,ggF_5j_MET_200_300,0.0,0.0,0.0
ttH,ggF_5j_MET_200_300,0.0,0.0,0.0
data,ggF_5j_MET_300_400,1299.0,1299.0,1299.0
VBF,ggF_5j_MET_300_400,0.0,0.0,0.0
VH,ggF_5j_MET_300_400,0.0,0.0,0.0
ggF,ggF_5j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_5j_MET_300_400,1292.6632080078125,1292.6632080078125,767.358671875
ttH,ggF_5j_MET_300_400,0.0,0.0,0.0
data,ggF_5j_MET_400_600,551.0,551.0,551.0
VBF,ggF_5j_MET_400_600,0.0,0.0,0.0
VH,ggF_5j_MET_400_600,0.0,0.0,0.0
ggF,ggF_5j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_5j_MET_400_600,569.4760131835938,569.4760131835938,335.86078125
ttH,ggF_5j_MET_400_600,0.0,0.0,0.0
data,ggF_5j_MET_600_900,115.0,115.0,115.0
VBF,ggF_5j_MET_600_900,0.0,0.0,0.0
VH,ggF_5j_MET_600_900,0.0,0.0,0.0
ggF,ggF_5j_MET_600_900,0.0,0.0,0.0
Ewk,ggF_5j_MET_600_900,103.0225830078125,103.0225830078125,62.45290527343749
ttH,ggF_5j_MET_600_900,0.0,0.0,0.0
data,ggF_2jM_MET_200_300,16678.0,16678.0,16678.0
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
Ewk,ggF_2jM_MET_200_300,16496.830078125,16496.830078125,15614.42875
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
ttH,ggF_2jM_MET_200_300,0.0,0.0,0.0
data,ggF_5j_MET_900_2000,13.0,13.0,13.0
VBF,ggF_5j_MET_900_2000,0.0,0.0,0.0
VH,ggF_5j_MET_900_2000,0.0,0.0,0.0
ggF,ggF_5j_MET_900_2000,0.0,0.0,0.0
Ewk,ggF_5j_MET_900_2000,15.30133056640625,15.30133056640625,9.715001220703128
ttH,ggF_5j_MET_900_2000,0.0,0.0,0.0
data,ggF_2jM_MET_300_400,3247.0,3247.0,3247.0
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
Ewk,ggF_2jM_MET_300_400,3168.424560546875,3168.424560546875,1910.18921875
ttH,ggF_2jM_MET_300_400,0.0,0.0,0.0
data,ggF_2jM_MET_400_600,894.0,894.0,894.0
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
ggF,ggF_2jM_MET_400_600,0.0,0.0,0.0
Ewk,ggF_2jM_MET_400_600,911.28759765625,911.28759765625,678.090390625
ttH,ggF_2jM_MET_400_600,0.0,0.0,0.0
data,ggF_2jM_MET_600_900,111.0,111.0,111.0
VBF,ggF_2jM_MET_600_900,0.0,0.0,0.0
VH,ggF_2jM_MET_600_900,0.0,0.0,0.0
ggF,ggF_2jM_MET_600_900,0.0,0.0,0.0
Ewk,ggF_2jM_MET_600_900,101.55388641357422,101.55388641357422,66.5186328125
ttH,ggF_2jM_MET_600_900,0.0,0.0,0.0
data,ggF_2jM_MET_900_2000,8.0,8.0,8.0
