process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,2283.916748046875,2283.916748046875,625049.36
total_pred_prefit,ggF_2jM_MET_300_400,450.952880859375,450.952880859375,8188.708125
total_pred_prefit,ggF_2jM_MET_400_600,121.9905776977539,121.9905776977539,426.27667968750006
total_pred_prefit,ggF_2jM_MET_600_900,8.488568305969237,8.488568305969237,26.35538330078125
total_pred_prefit,ggF_2jM_MET_900_2000,1.0722805261611938,1.0722805261611938,4.422813110351564
total_pred_prefit,ggF_3j_MET_200_300,2395.924560546875,2395.924560546875,671764.72
total_pred_prefit,ggF_3j_MET_300_400,609.0267944335938,609.0267944335938,14818.238750000002
total_pred_prefit,ggF_3j_MET_400_600,166.8986358642578,166.8986358642578,780.479921875
total_pred_prefit,ggF_3j_MET_600_900,13.27303409576416,13.27303409576416,65.43075683593752
total_pred_prefit,ggF_3j_MET_900_2000,1.5446089506149292,1.5446089506149292,9.595082397460935
total_pred_prefit,ggF_4j_MET_200_300,962.0457763671876,962.0457763671876,104297.14
total_pred_prefit,ggF_4j_MET_300_400,317.2853088378906,317.2853088378906,3856.5381250000014
total_pred_prefit,ggF_4j_MET_400_600,103.7251205444336,103.7251205444336,305.362734375
total_pred_prefit,ggF_4j_MET_600_900,9.346183776855467,9.346183776855467,31.751811523437503
total_pred_prefit,ggF_4j_MET_900_2000,0.9874935150146484,0.9874935150146484,3.847384643554688
total_pred_prefit,ggF_5j_MET_200_300,370.8818359375,370.8818359375,14972.10875
total_pred_prefit,ggF_5j_MET_300_400,155.01051330566406,155.01051330566406,874.45734375
total_pred_prefit,ggF_5j_MET_400_600,60.1280632019043,60.1280632019043,106.76125
total_pred_prefit,ggF_5j_MET_600_900,6.415140628814697,6.415140628814697,14.809443359375004
total_pred_prefit,ggF_5j_MET_900_2000,0.9923035502433776,0.9923035502433776,3.977467041015625
data,ggF_3j_MET_900_2000,2.0,2.0,2.0
VBF,ggF_3j_MET_900_2000,0.0,0.0,0.0
VH,ggF_3j_MET_900_2000,0.0,0.0,0.0
ggF,ggF_3j_MET_900_2000,0.0,0.0,0.0
Ewk,ggF_3j_MET_900_2000,1.7374054193496704,1.7374054193496704,0.07596580982208252
data,ggF_4j_MET_200_300,858.0,858.0,858.0
VBF,ggF_4j_MET_200_300,0.0,0.0,0.0
VH,ggF_4j_MET_200_300,0.0,0.0,0.0
ggF,ggF_4j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_4j_MET_200_300,1054.4410400390623,1054.4410400390623,276.49308593750004
data,ggF_4j_MET_300_400,295.0,295.0,295.0
VBF,ggF_4j_MET_300_400,0.0,0.0,0.0
VH,ggF_4j_MET_300_400,0.0,0.0,0.0
ggF,ggF_4j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_4j_MET_300_400,355.6009216308594,355.6009216308594,45.030634765625
data,ggF_4j_MET_400_600,95.0,95.0,95.0
VBF,ggF_4j_MET_400_600,0.0,0.0,0.0
VH,ggF_4j_MET_400_600,0.0,0.0,0.0
ggF,ggF_4j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_4j_MET_400_600,120.52493286132812,120.52493286132812,13.667364501953125
data,ggF_4j_MET_600_900,6.0,6.0,6.0
VBF,ggF_4j_MET_600_900,0.0,0.0,0.0
VH,ggF_4j_MET_600_900,0.0,0.0,0.0
ggF,ggF_4j_MET_600_900,0.0,0.0,0.0
Ewk,ggF_4j_MET_600_900,10.575336456298828,10.575336456298828,0.4564453506469727
data,ggF_4j_MET_900_2000,1.0,1.0,1.0
VBF,ggF_4j_MET_900_2000,0.0,0.0,0.0
VH,ggF_4j_MET_900_2000,0.0,0.0,0.0
ggF,ggF_4j_MET_900_2000,0.0,0.0,0.0
Ewk,ggF_4j_MET_900_2000,0.9139832854270936,0.9139832854270936,0.03221250057220458
data,ggF_5j_MET_200_300,377.0,377.0,377.0
VBF,ggF_5j_MET_200_300,0.0,0.0,0.0
VH,ggF_5j_MET_200_300,0.0,0.0,0.0
ggF,ggF_5j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_5j_MET_200_300,488.1292419433594,488.1292419433594,81.95553710937499
data,ggF_5j_MET_300_400,154.0,154.0,154.0
VBF,ggF_5j_MET_300_400,0.0,0.0,0.0
VH,ggF_5j_MET_300_400,0.0,0.0,0.0
ggF,ggF_5j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_5j_MET_300_400,207.13522338867188,207.13522338867188,22.42296142578125
data,ggF_5j_MET_400_600,51.0,51.0,51.0
VBF,ggF_5j_MET_400_600,0.0,0.0,0.0
VH,ggF_5j_MET_400_600,0.0,0.0,0.0
ggF,ggF_5j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_5j_MET_400_600,81.17791748046875,81.17791748046875,7.228594360351562
data,ggF_5j_MET_600_900,8.0,8.0,8.0
VBF,ggF_5j_MET_600_900,0.0,0.0,0.0
VH,ggF_5j_MET_600_900,0.0,0.0,0.0
ggF,ggF_5j_MET_600_900,0.0,0.0,0.0
Ewk,ggF_5j_MET_600_900,8.630629539489746,8.630629539489746,0.4332912063598632
data,ggF_2jM_MET_200_300,2216.0,2216.0,2216.0
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
Ewk,ggF_2jM_MET_200_300,2016.5609130859373,2016.5609130859373,862.909921875
data,ggF_5j_MET_900_2000,3.0,3.0,3.0
VBF,ggF_5j_MET_900_2000,0.0,0.0,0.0
VH,ggF_5j_MET_900_2000,0.0,0.0,0.0
ggF,ggF_5j_MET_900_2000,0.0,0.0,0.0
Ewk,ggF_5j_MET_900_2000,1.399638295173645,1.399638295173645,0.05504930973052979
data,ggF_2jM_MET_300_400,553.0,553.0,553.0
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
Ewk,ggF_2jM_MET_300_400,403.9233093261719,403.9233093261719,46.3421337890625
data,ggF_2jM_MET_400_600,124.0,124.0,124.0
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
ggF,ggF_2jM_MET_400_600,0.0,0.0,0.0
Ewk,ggF_2jM_MET_400_600,109.8903350830078,109.8903350830078,8.6832763671875
data,ggF_2jM_MET_600_900,10.0,10.0,10.0
VBF,ggF_2jM_MET_600_900,0.0,0.0,0.0
VH,ggF_2jM_MET_600_900,0.0,0.0,0.0
ggF,ggF_2jM_MET_600_900,0.0,0.0,0.0
Ewk,ggF_2jM_MET_600_900,7.257608413696289,7.257608413696289,0.31071660995483397
data,ggF_2jM_MET_900_2000,0.0,0.0,0.0
VBF,ggF_2jM_MET_900_2000,0.0,0.0,0.0
VH,ggF_2jM_MET_900_2000,0.0,0.0,0.0
ggF,ggF_2jM_MET_900_2000,0.0,0.0,0.0
Ewk,ggF_2jM_MET_900_2000,0.7840241789817809,0.7840241789817809,0.025790085792541502
data,ggF_3j_MET_200_300,2360.0,2360.0,2360.0
VBF,ggF_3j_MET_200_300,0.0,0.0,0.0
VH,ggF_3j_MET_200_300,0.0,0.0,0.0
ggF,ggF_3j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_3j_MET_200_300,2343.920166015625,2343.920166015625,1017.210390625
data,ggF_3j_MET_300_400,647.0,647.0,647.0
VBF,ggF_3j_MET_300_400,0.0,0.0,0.0
VH,ggF_3j_MET_300_400,0.0,0.0,0.0
ggF,ggF_3j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_3j_MET_300_400,603.8294067382812,603.8294067382812,91.58310546875
data,ggF_3j_MET_400_600,178.0,178.0,178.0
VBF,ggF_3j_MET_400_600,0.0,0.0,0.0
VH,ggF_3j_MET_400_600,0.0,0.0,0.0
ggF,ggF_3j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_3j_MET_400_600,162.49916076660156,162.49916076660156,19.00935668945312
data,ggF_3j_MET_600_900,12.0,12.0,12.0
VBF,ggF_3j_MET_600_900,0.0,0.0,0.0
VH,ggF_3j_MET_600_900,0.0,0.0,0.0
ggF,ggF_3j_MET_600_900,0.0,0.0,0.0
Ewk,ggF_3j_MET_600_900,13.392619132995605,13.392619132995605,0.7535040283203125
total_pred_postfit,ggF_2jM_MET_200_300,2016.5609130859373,2016.5609130859373,862.909921875
total_pred_postfit,ggF_2jM_MET_300_400,403.9233093261719,403.9233093261719,46.3421337890625
total_pred_postfit,ggF_2jM_MET_400_600,109.8903350830078,109.8903350830078,8.6832763671875
total_pred_postfit,ggF_2jM_MET_600_900,7.257608413696289,7.257608413696289,0.31071660995483397
total_pred_postfit,ggF_2jM_MET_900_2000,0.7840241789817809,0.7840241789817809,0.025790085792541502
total_pred_postfit,ggF_3j_MET_200_300,2343.920166015625,2343.920166015625,1017.210390625
total_pred_postfit,ggF_3j_MET_300_400,603.8294067382812,603.8294067382812,91.58310546875
total_pred_postfit,ggF_3j_MET_400_600,162.49916076660156,162.49916076660156,19.00935668945312
total_pred_postfit,ggF_3j_MET_600_900,13.392619132995605,13.392619132995605,0.7535040283203125
total_pred_postfit,ggF_3j_MET_900_2000,1.7374054193496704,1.7374054193496704,0.07596580982208252
total_pred_postfit,ggF_4j_MET_200_300,1054.4410400390623,1054.4410400390623,276.49308593750004
total_pred_postfit,ggF_4j_MET_300_400,355.6009216308594,355.6009216308594,45.030634765625
total_pred_postfit,ggF_4j_MET_400_600,120.52493286132812,120.52493286132812,13.667364501953125
total_pred_postfit,ggF_4j_MET_600_900,10.575336456298828,10.575336456298828,0.4564453506469727
total_pred_postfit,ggF_4j_MET_900_2000,0.9139832854270936,0.9139832854270936,0.03221250057220458
total_pred_postfit,ggF_5j_MET_200_300,488.1292419433594,488.1292419433594,81.95553710937499
total_pred_postfit,ggF_5j_MET_300_400,207.13522338867188,207.13522338867188,22.42296142578125
total_pred_postfit,ggF_5j_MET_400_600,81.17791748046875,81.17791748046875,7.228594360351562
total_pred_postfit,ggF_5j_MET_600_900,8.630629539489746,8.630629539489746,0.4332912063598632
total_pred_postfit,ggF_5j_MET_900_2000,1.399638295173645,1.399638295173645,0.05504930973052979
