process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1w1b_MET_400_2000,83.0,83.0,83.0
VBF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w1b_MET_400_2000,80.94107055664062,80.94107055664062,90.198984375
ttH,ttH_1w1b_MET_400_2000,0.2209726870059967,0.2209726870059967,0.0011203756928443909
data,ttH_1w2b_MET_200_300,534.0,534.0,534.0
VBF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_200_300,591.5743408203125,591.5743408203125,3960.8925
ttH,ttH_1w2b_MET_200_300,0.8419041037559509,0.8419041037559509,0.014321805238723753
data,ttH_1w2b_MET_300_400,141.0,141.0,141.0
VBF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_300_400,176.4804229736328,176.4804229736328,367.6609765625
ttH,ttH_1w2b_MET_300_400,0.3579422235488892,0.3579422235488892,0.002674768567085266
data,ttH_1w2b_MET_400_2000,28.0,28.0,28.0
VBF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1w2b_MET_400_2000,50.67158889770508,50.67158889770508,37.610927734375
ttH,ttH_1w2b_MET_400_2000,0.17816820740699768,0.17816820740699768,0.0009693102538585662
data,ttH_2Boosted_MET_200_300,72.0,72.0,72.0
VBF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_2Boosted_MET_200_300,59.06167602539063,59.06167602539063,39.26182861328126
ttH,ttH_2Boosted_MET_200_300,0.0545879565179348,0.0545879565179348,6.080753169953825e-05
data,ttH_2Boosted_MET_300_400,46.0,46.0,46.0
VBF,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_2Boosted_MET_300_400,38.82114028930664,38.82114028930664,14.351087646484375
ttH,ttH_2Boosted_MET_300_400,0.040253009647130966,0.040253009647130966,5.724363960325719e-05
data,ttH_2Boosted_MET_400_2000,36.0,36.0,36.0
VBF,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_2Boosted_MET_400_2000,26.0222225189209,26.0222225189209,8.792286987304687
ttH,ttH_2Boosted_MET_400_2000,0.061266735196113586,0.061266735196113586,0.0001101540122181177
data,ttH_5j1b_MET_200_300,2317.0,2317.0,2317.0
VBF,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j1b_MET_200_300,2143.41552734375,2143.41552734375,8037.064374999999
ttH,ttH_5j1b_MET_200_300,2.5325145721435547,2.5325145721435547,0.05399060726165771
data,ttH_5j1b_MET_300_400,550.0,550.0,550.0
VBF,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j1b_MET_300_400,535.5000610351561,535.5000610351561,540.0855078125
ttH,ttH_5j1b_MET_300_400,1.0399390459060671,1.0399390459060671,0.01080527901649475
data,ttH_5j1b_MET_400_2000,184.0,184.0,184.0
VBF,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j1b_MET_400_2000,166.04983520507812,166.04983520507812,147.92647460937496
ttH,ttH_5j1b_MET_400_2000,0.2883381247520447,0.2883381247520447,0.0010887185484170913
data,ttH_1t1b_MET_200_300,174.0,174.0,174.0
VBF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_1t1b_MET_200_300,154.54263305664062,154.54263305664062,200.4552734375
ttH,ttH_1t1b_MET_200_300,0.2075164020061493,0.2075164020061493,0.0006410751491785049
data,ttH_5j2b_MET_200_300,690.0,690.0,690.0
VBF,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
ggF,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.5159667048391116e-21
Ewk,ttH_5j2b_MET_200_300,591.7900390625,591.7900390625,1226.93640625
ttH,ttH_5j2b_MET_200_300,1.238387942314148,1.238387942314148,0.015738070011138916
data,ttH_5j2b_MET_300_400,99.0,99.0,99.0
VBF,ttH_5j2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,7.879341236616544e-22
VH,ttH_5j2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.584046254191638e-22
