process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1w1b_MET_400_2000,35.0,35.0,35.0
Qcd,ttH_1w1b_MET_400_2000,5.3003501892089835,5.3003501892089835,8.820159301757812
VBF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,1.1146660712230959e-21
Ttw,ttH_1w1b_MET_400_2000,15.470973014831545,15.470973014831545,3.2884490966796878
VH,ttH_1w1b_MET_400_2000,0.8885614275932312,0.8885614275932312,0.01651663184165954
Zinv,ttH_1w1b_MET_400_2000,7.799790859222412,7.799790859222412,1.6015855407714843
ggF,ttH_1w1b_MET_400_2000,0.2945535182952881,0.2945535182952881,0.00159187912940979
ttH,ttH_1w1b_MET_400_2000,2.38367772102356,2.38367772102356,0.10145545005798337
data,ttH_1w2b_MET_200_300,302.0,302.0,302.0
Qcd,ttH_1w2b_MET_200_300,18.11766624450684,18.11766624450684,95.39925781249998
VBF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,1.1146660712230959e-21
Ttw,ttH_1w2b_MET_200_300,328.6394348144531,328.6394348144531,1446.8798437500004
VH,ttH_1w2b_MET_200_300,0.2519797086715698,0.2519797086715698,0.0012996651232242587
Zinv,ttH_1w2b_MET_200_300,9.118602752685547,9.118602752685547,3.3371450805664065
ggF,ttH_1w2b_MET_200_300,0.08473170548677443,0.08473170548677443,0.0002092532441020012
ttH,ttH_1w2b_MET_200_300,10.070942878723145,10.070942878723145,1.9991690063476564
data,ttH_1w2b_MET_300_400,74.0,74.0,74.0
Qcd,ttH_1w2b_MET_300_400,6.879101276397705,6.879101276397705,14.2143359375
VBF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,1.1146660712230959e-21
Ttw,ttH_1w2b_MET_300_400,65.28292846679689,65.28292846679689,58.1261962890625
VH,ttH_1w2b_MET_300_400,0.17028239369392395,0.17028239369392395,0.0008638486266136169
Zinv,ttH_1w2b_MET_300_400,3.5033075809478764,3.5033075809478764,0.28987060546874993
ggF,ttH_1w2b_MET_300_400,0.06935367733240128,0.06935367733240128,0.00013917502015829092
ttH,ttH_1w2b_MET_300_400,4.778186798095703,4.778186798095703,0.4443844223022461
data,ttH_1w2b_MET_400_2000,14.0,14.0,14.0
Qcd,ttH_1w2b_MET_400_2000,3.577248334884644,3.577248334884644,4.191483459472657
