process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_5j1b_MET_200_300,49.77678298950195,49.77678298950195,266.2702734375
total_pred_prefit,ttH_5j1b_MET_300_400,20.33872413635254,20.33872413635254,15.879586181640628
total_pred_prefit,ttH_5j1b_MET_400_2000,8.699067115783691,8.699067115783691,5.4886853027343765
total_pred_prefit,ttH_5j2b_MET_200_300,14.806722640991213,14.806722640991213,13.3929833984375
total_pred_prefit,ttH_5j2b_MET_300_400,5.021659851074219,5.021659851074219,0.9850447845458984
total_pred_prefit,ttH_5j2b_MET_400_2000,1.7327808141708374,1.7327808141708374,0.2194171142578125
total_pred_prefit,ttH_6j1b_MET_200_300,19.609161376953125,19.609161376953125,31.88700683593749
total_pred_prefit,ttH_6j1b_MET_300_400,9.392285346984863,9.392285346984863,2.5043142700195307
total_pred_prefit,ttH_6j1b_MET_400_2000,5.29610013961792,5.29610013961792,1.8403543090820318
total_pred_prefit,ttH_6j2b_MET_200_300,6.971730709075928,6.971730709075928,3.2255596923828125
total_pred_prefit,ttH_6j2b_MET_300_400,2.650433301925659,2.650433301925659,0.20309705734252934
total_pred_prefit,ttH_6j2b_MET_400_2000,1.1617549657821655,1.1617549657821655,0.0800116443634033
data,ttH_5j1b_MET_200_300,47.0,47.0,47.0
VBF,ttH_5j1b_MET_200_300,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_5j1b_MET_200_300,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_5j1b_MET_200_300,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_5j1b_MET_200_300,54.81948471069336,54.81948471069336,21.702238769531245
data,ttH_5j1b_MET_300_400,34.0,34.0,34.0
VBF,ttH_5j1b_MET_300_400,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_5j1b_MET_300_400,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_5j1b_MET_300_400,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_5j1b_MET_300_400,29.900243759155273,29.900243759155273,14.043697509765627
data,ttH_5j1b_MET_400_2000,7.0,7.0,7.0
VBF,ttH_5j1b_MET_400_2000,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_5j1b_MET_400_2000,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_5j1b_MET_400_2000,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_5j1b_MET_400_2000,9.53250503540039,9.53250503540039,3.904330139160156
data,ttH_5j2b_MET_200_300,19.0,19.0,19.0
VBF,ttH_5j2b_MET_200_300,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_5j2b_MET_200_300,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_5j2b_MET_200_300,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_5j2b_MET_200_300,17.99036407470703,17.99036407470703,7.171976318359376
data,ttH_5j2b_MET_300_400,5.0,5.0,5.0
VBF,ttH_5j2b_MET_300_400,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_5j2b_MET_300_400,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_5j2b_MET_300_400,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_5j2b_MET_300_400,3.363389492034912,3.363389492034912,1.2965945434570312
data,ttH_5j2b_MET_400_2000,4.0,4.0,4.0
VBF,ttH_5j2b_MET_400_2000,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_5j2b_MET_400_2000,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_5j2b_MET_400_2000,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_5j2b_MET_400_2000,2.5293564796447754,2.5293564796447754,1.0800950622558594
data,ttH_6j1b_MET_200_300,32.0,32.0,32.0
VBF,ttH_6j1b_MET_200_300,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_6j1b_MET_200_300,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_6j1b_MET_200_300,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_6j1b_MET_200_300,27.440683364868164,27.440683364868164,9.803250122070313
data,ttH_6j1b_MET_300_400,11.0,11.0,11.0
VBF,ttH_6j1b_MET_300_400,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_6j1b_MET_300_400,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_6j1b_MET_300_400,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_6j1b_MET_300_400,13.604429244995115,13.604429244995115,5.463440551757811
data,ttH_6j1b_MET_400_2000,7.0,7.0,7.0
VBF,ttH_6j1b_MET_400_2000,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_6j1b_MET_400_2000,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_6j1b_MET_400_2000,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_6j1b_MET_400_2000,6.797366619110107,6.797366619110107,2.9757208251953124
data,ttH_6j2b_MET_200_300,6.0,6.0,6.0
VBF,ttH_6j2b_MET_200_300,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_6j2b_MET_200_300,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_6j2b_MET_200_300,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_6j2b_MET_200_300,9.798223495483398,9.798223495483398,4.7383740234375
data,ttH_6j2b_MET_300_400,4.0,4.0,4.0
VBF,ttH_6j2b_MET_300_400,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_6j2b_MET_300_400,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_6j2b_MET_300_400,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_6j2b_MET_300_400,4.1348352432250985,4.1348352432250985,2.125644073486328
data,ttH_6j2b_MET_400_2000,0.0,0.0,0.0
VBF,ttH_6j2b_MET_400_2000,2.0656617749637007e-08,2.0656617749637007e-08,4.9385719976625035e-19
VH,ttH_6j2b_MET_400_2000,2.0656125698792493e-08,2.0656125698792493e-08,2.5837588620579765e-19
ggF,ttH_6j2b_MET_400_2000,2.065475435131248e-08,2.065475435131248e-08,1.77872935221573e-18
Ewk,ttH_6j2b_MET_400_2000,1.4563016891479492,1.4563016891479492,0.8288281249999999
total_pred_postfit,ttH_5j1b_MET_200_300,54.81948477266086,54.81948477266086,21.702238769531245
total_pred_postfit,ttH_5j1b_MET_300_400,29.90024382112277,29.90024382112277,14.043697509765627
total_pred_postfit,ttH_5j1b_MET_400_2000,9.532505097367888,9.532505097367888,3.904330139160156
total_pred_postfit,ttH_5j2b_MET_200_300,17.99036413667453,17.99036413667453,7.171976318359376
total_pred_postfit,ttH_5j2b_MET_300_400,3.36338955400241,3.36338955400241,1.2965945434570312
total_pred_postfit,ttH_5j2b_MET_400_2000,2.529356541612273,2.529356541612273,1.0800950622558594
total_pred_postfit,ttH_6j1b_MET_200_300,27.440683426835662,27.440683426835662,9.803250122070313
total_pred_postfit,ttH_6j1b_MET_300_400,13.604429306962613,13.604429306962613,5.463440551757811
total_pred_postfit,ttH_6j1b_MET_400_2000,6.797366681077605,6.797366681077605,2.9757208251953124
total_pred_postfit,ttH_6j2b_MET_200_300,9.798223557450896,9.798223557450896,4.7383740234375
total_pred_postfit,ttH_6j2b_MET_300_400,4.134835305192596,4.134835305192596,2.125644073486328
total_pred_postfit,ttH_6j2b_MET_400_2000,1.456301751115447,1.456301751115447,0.8288281249999999
