process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,4227.454543641477,4227.454543641477,10211.030085633665
total_pred_prefit,VH_1V_MET_300_400,745.7269592285156,745.7269592285156,768.1753808593753
total_pred_prefit,VH_1V_MET_400_2000,76.79116201400755,76.79116201400755,97.0592984008789
total_pred_prefit,VH_2j0b_MET_200_300,11943.405738911455,11943.405738911455,54245.530836567705
total_pred_prefit,VH_2j0b_MET_300_400,1690.8577270507812,1690.8577270507812,1904.6180078124994
total_pred_prefit,VH_2j0b_MET_400_2000,188.96566772460938,188.96566772460938,157.68181396484374
total_pred_prefit,VH_2j1b_MET_200_300,1393.7526998645826,1393.7526998645826,1879.44193326302
total_pred_prefit,VH_2j1b_MET_300_400,224.81044006347656,224.81044006347656,155.43331787109372
total_pred_prefit,VH_2j1b_MET_400_2000,25.339073181152344,25.339073181152344,13.970684204101564
total_pred_prefit,VH_2j2b_MET_200_2000,274.25536346435547,274.25536346435547,506.8378686523437
data,VH_2j2b_MET_200_2000,208.0,208.0,208.0
Qcd,VH_2j2b_MET_200_2000,7.864353612774266e-10,7.864353612774266e-10,9.545378064369995e-20
VBF,VH_2j2b_MET_200_2000,4.510990747608191e-10,4.510990747608191e-10,2.5741114132147392e-20
Ttw,VH_2j2b_MET_200_2000,55.00176620483398,55.00176620483398,18.040859375000004
VH,VH_2j2b_MET_200_2000,23.36325454711914,23.36325454711914,69.10970703125
Zinv,VH_2j2b_MET_200_2000,168.66265869140625,168.66265869140625,149.06166015625
ggF,VH_2j2b_MET_200_2000,1.4818565845489502,1.4818565845489502,0.2769445037841797
ttH,VH_2j2b_MET_200_2000,0.11766970157623292,0.11766970157623292,0.0021492066979408265
data,VH_1V_MET_200_300,4815.0,4815.0,4815.0
Qcd,VH_1V_MET_200_300,28.89006233215332,28.89006233215332,134.7876171875
Ttw,VH_1V_MET_200_300,1524.947509765625,1524.947509765625,1254.1897656249996
VBF,VH_1V_MET_200_300,3.0641984939575195,3.0641984939575195,1.1743026733398438
VH,VH_1V_MET_200_300,217.44058227539062,217.44058227539062,5903.033125
Zinv,VH_1V_MET_200_300,2884.101806640625,2884.101806640625,7299.109375
ggF,VH_1V_MET_200_300,18.355220794677734,18.355220794677734,40.21128173828125
ttH,VH_1V_MET_200_300,0.35035717487335205,0.35035717487335205,0.01753799319267273
data,VH_1V_MET_300_400,816.0,816.0,816.0
Qcd,VH_1V_MET_300_400,7.864353612774266e-10,7.864353612774266e-10,9.545378064369995e-20
Ttw,VH_1V_MET_300_400,174.96421813964844,174.96421813964844,52.70052246093749
VBF,VH_1V_MET_300_400,0.6257284283638,0.6257284283638,0.04645108222961426
VH,VH_1V_MET_300_400,72.6419448852539,72.6419448852539,651.0741015625001
Zinv,VH_1V_MET_300_400,572.5518798828125,572.5518798828125,611.4854296874997
ggF,VH_1V_MET_300_400,4.541489124298097,4.541489124298097,2.4343659973144534
ttH,VH_1V_MET_300_400,0.12167201191186905,0.12167201191186905,0.002157558947801589
data,VH_1V_MET_400_2000,51.0,51.0,51.0
Qcd,VH_1V_MET_400_2000,7.864353612774266e-10,7.864353612774266e-10,9.545378064369995e-20
VBF,VH_1V_MET_400_2000,4.510990747608191e-10,4.510990747608191e-10,2.5741114132147392e-20
Ttw,VH_1V_MET_400_2000,5.830369472503662,5.830369472503662,0.8995752716064452
VH,VH_1V_MET_400_2000,7.966522216796875,7.966522216796875,7.723988037109376
Zinv,VH_1V_MET_400_2000,54.71894836425781,54.71894836425781,43.86433593750001
ggF,VH_1V_MET_400_2000,0.327070415019989,0.327070415019989,0.01257492184638977
ttH,VH_1V_MET_400_2000,0.007994001731276512,0.007994001731276512,8.622045861557126e-06
data,VH_2j0b_MET_200_300,12086.0,12086.0,12086.0
Qcd,VH_2j0b_MET_200_300,307.1567077636719,307.1567077636719,12756.25
Ttw,VH_2j0b_MET_200_300,4533.80615234375,4533.80615234375,4999.745937500002
VBF,VH_2j0b_MET_200_300,5.8687191009521475,5.8687191009521475,4.411488037109375
VH,VH_2j0b_MET_200_300,157.35614013671875,157.35614013671875,3132.058125
Zinv,VH_2j0b_MET_200_300,7077.0654296875,7077.0654296875,27426.150000000005
ggF,VH_2j0b_MET_200_300,98.07991790771484,98.07991790771484,1175.6237499999995
ttH,VH_2j0b_MET_200_300,0.38336047530174255,0.38336047530174255,0.02186187982559204
data,VH_2j0b_MET_300_400,1827.0,1827.0,1827.0
Qcd,VH_2j0b_MET_300_400,7.864353612774266e-10,7.864353612774266e-10,9.545378064369995e-20
Ttw,VH_2j0b_MET_300_400,555.298583984375,555.298583984375,344.9697265625
VBF,VH_2j0b_MET_300_400,2.2491724491119385,2.2491724491119385,0.6516017150878907
VH,VH_2j0b_MET_300_400,33.480175018310554,33.480175018310554,142.768134765625
Zinv,VH_2j0b_MET_300_400,1181.587158203125,1181.587158203125,892.4371875000003
ggF,VH_2j0b_MET_300_400,23.994075775146484,23.994075775146484,70.2965234375
ttH,VH_2j0b_MET_300_400,0.07968128472566605,0.07968128472566605,0.0009363929182291033
data,VH_2j0b_MET_400_2000,208.0,208.0,208.0
Qcd,VH_2j0b_MET_400_2000,7.864353612774266e-10,7.864353612774266e-10,9.545378064369995e-20
Ttw,VH_2j0b_MET_400_2000,66.91905975341797,66.91905975341797,35.7102783203125
VBF,VH_2j0b_MET_400_2000,0.2463232874870301,0.2463232874870301,0.008267973661422727
VH,VH_2j0b_MET_400_2000,5.149689197540283,5.149689197540283,3.337746887207031
Zinv,VH_2j0b_MET_400_2000,127.48136901855469,127.48136901855469,76.0827978515625
ggF,VH_2j0b_MET_400_2000,3.0401716232299805,3.0401716232299805,1.1169300842285157
ttH,VH_2j0b_MET_400_2000,0.017673520371317863,0.017673520371317863,4.517276305705309e-05
data,VH_2j1b_MET_200_300,1519.0,1519.0,1519.0
Qcd,VH_2j1b_MET_200_300,1.7196801900863647,1.7196801900863647,0.4574089431762696
Ttw,VH_2j1b_MET_200_300,723.4578857421875,723.4578857421875,369.8607421875
VBF,VH_2j1b_MET_200_300,0.4173700213432312,0.4173700213432312,0.022086770534515385
VH,VH_2j1b_MET_200_300,24.242542266845703,24.242542266845703,74.80460449218748
Zinv,VH_2j1b_MET_200_300,722.006591796875,722.006591796875,790.723125
ggF,VH_2j1b_MET_200_300,7.578295707702638,7.578295707702638,7.202634887695313
ttH,VH_2j1b_MET_200_300,0.4658772647380829,0.4658772647380829,0.03280297040939331
data,VH_2j1b_MET_300_400,236.0,236.0,236.0
Qcd,VH_2j1b_MET_300_400,7.864353612774266e-10,7.864353612774266e-10,9.545378064369995e-20
Ttw,VH_2j1b_MET_300_400,94.38392639160156,94.38392639160156,39.3573095703125
VBF,VH_2j1b_MET_300_400,0.1397523134946823,0.1397523134946823,0.002755656540393829
VH,VH_2j1b_MET_300_400,6.2777462005615225,6.2777462005615225,5.032894897460936
Zinv,VH_2j1b_MET_300_400,133.66104125976562,133.66104125976562,75.33153320312498
ggF,VH_2j1b_MET_300_400,2.293768405914306,2.293768405914306,0.6690492248535155
ttH,VH_2j1b_MET_300_400,0.1055205464363098,0.1055205464363098,0.0016666060686111447
data,VH_2j1b_MET_400_2000,27.0,27.0,27.0
Qcd,VH_2j1b_MET_400_2000,7.864353612774266e-10,7.864353612774266e-10,9.545378064369995e-20
VBF,VH_2j1b_MET_400_2000,4.510990747608191e-10,4.510990747608191e-10,2.5741114132147392e-20
Ttw,VH_2j1b_MET_400_2000,7.782999038696289,7.782999038696289,2.6333554077148444
VH,VH_2j1b_MET_400_2000,0.6280159950256348,0.6280159950256348,0.04966507911682128
Zinv,VH_2j1b_MET_400_2000,17.89986801147461,17.89986801147461,7.905810546875001
ggF,VH_2j1b_MET_400_2000,0.1873529106378556,0.1873529106378556,0.004565216302871704
ttH,VH_2j1b_MET_400_2000,0.011128777638077736,0.011128777638077736,1.7805778188630942e-05
total_pred_postfit,VH_1V_MET_200_300,4677.149737477303,4677.149737477303,14632.523005217314
total_pred_postfit,VH_1V_MET_300_400,825.4469324730751,825.4469324730751,1317.743028349429
total_pred_postfit,VH_1V_MET_400_2000,68.85090447154714,68.85090447154714,52.50048279010808
total_pred_postfit,VH_2j0b_MET_200_300,12179.716427415611,12179.716427415611,49494.26116241694
total_pred_postfit,VH_2j0b_MET_300_400,1796.6888467155813,1796.6888467155813,1451.1241103736313
total_pred_postfit,VH_2j0b_MET_400_2000,202.85428640138767,202.85428640138767,116.25606628973505
total_pred_postfit,VH_2j1b_MET_200_300,1479.8882429897785,1479.8882429897785,1243.103405251503
total_pred_postfit,VH_2j1b_MET_300_400,236.86175511856044,236.86175511856044,120.39520915836091
total_pred_postfit,VH_2j1b_MET_400_2000,26.50936473471,26.50936473471,10.593414055787727
total_pred_postfit,VH_2j2b_MET_200_2000,248.6272057307221,248.6272057307221,236.49132027298214
