process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,2207.634521484375,2207.634521484375,83018.97
total_pred_prefit,VH_1V_MET_300_400,487.980712890625,487.980712890625,2297.9225
total_pred_prefit,VH_1V_MET_400_2000,43.43864440917969,43.43864440917969,22.40541259765625
total_pred_prefit,VH_2j0b_MET_200_300,3673.2119140625,3673.2119140625,456157.36
total_pred_prefit,VH_2j0b_MET_300_400,626.3098754882812,626.3098754882812,5551.264374999999
total_pred_prefit,VH_2j0b_MET_400_2000,83.67000579833984,83.67000579833984,99.045947265625
total_pred_prefit,VH_2j1b_MET_200_300,719.3790893554688,719.3790893554688,4551.695
total_pred_prefit,VH_2j1b_MET_300_400,93.61077117919922,93.61077117919922,119.19951171875
total_pred_prefit,VH_2j1b_MET_400_2000,11.22948169708252,11.22948169708252,2.3132037353515624
total_pred_prefit,VH_2j2b_MET_200_2000,116.1482162475586,116.1482162475586,106.12259765624998
data,VH_2j2b_MET_200_2000,89.0,89.0,89.0
VBF,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
ggF,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j2b_MET_200_2000,102.3651885986328,102.3651885986328,57.7970556640625
VH,VH_2j2b_MET_200_2000,5.611821052298183e-08,5.611821052298183e-08,1.9610863091656933e-07
ttH,VH_2j2b_MET_200_2000,3.733827611540619e-07,3.733827611540619e-07,7.035570451989769e-06
data,VH_1V_MET_200_300,1748.0,1748.0,1748.0
VBF,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_200_300,1754.1422119140625,1754.1422119140625,1328.8628125
ttH,VH_1V_MET_200_300,2.0460690848267404e-06,2.0460690848267404e-06,0.0001934855617582798
data,VH_1V_MET_300_400,333.0,333.0,333.0
VBF,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_300_400,332.8989562988281,332.8989562988281,225.52173828125
ttH,VH_1V_MET_300_400,8.173373089448431e-07,8.173373089448431e-07,3.0438916292041546e-05
data,VH_1V_MET_400_2000,20.0,20.0,20.0
VBF,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_400_2000,19.951494216918945,19.951494216918945,8.908162841796873
ttH,VH_1V_MET_400_2000,5.052140750194667e-08,5.052140750194667e-08,1.1357416042301338e-07
data,VH_2j0b_MET_200_300,3907.0,3907.0,3907.0
VBF,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_200_300,3806.588623046875,3806.588623046875,3362.122187500001
ttH,VH_2j0b_MET_200_300,1.5937312127789482e-06,1.5937312127789482e-06,0.00011308771558105945
data,VH_2j0b_MET_300_400,647.0,647.0,647.0
VBF,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_300_400,648.6107177734375,648.6107177734375,468.98347656250013
ttH,VH_2j0b_MET_300_400,2.828308822699911e-07,2.828308822699911e-07,3.7716457154601824e-06
data,VH_2j0b_MET_400_2000,88.0,88.0,88.0
VBF,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
ttH,VH_2j0b_MET_400_2000,7.250167500594871e-15,7.250167500594871e-15,2.3397341293460544e-21
Ewk,VH_2j0b_MET_400_2000,95.5254135131836,95.5254135131836,49.45437500000001
data,VH_2j1b_MET_200_300,767.0,767.0,767.0
VBF,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_200_300,764.7476196289062,764.7476196289062,562.5737500000001
ttH,VH_2j1b_MET_200_300,2.34928188547201e-06,2.34928188547201e-06,0.00025857305154204364
data,VH_2j1b_MET_300_400,137.0,137.0,137.0
VBF,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_300_400,124.6426010131836,124.6426010131836,56.47222167968751
ttH,VH_2j1b_MET_300_400,4.99146210586332e-07,4.99146210586332e-07,1.2155899312347176e-05
data,VH_2j1b_MET_400_2000,12.0,12.0,12.0
VBF,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_400_2000,12.15812873840332,12.15812873840332,6.386719970703125
ttH,VH_2j1b_MET_400_2000,1.1525234100417947e-08,1.1525234100417947e-08,9.448726814298424e-09
total_pred_postfit,VH_1V_MET_200_300,1754.1422139601316,1754.1422139601316,1328.8630059855618
total_pred_postfit,VH_1V_MET_300_400,332.89895711616543,332.89895711616543,225.5217687201663
total_pred_postfit,VH_1V_MET_400_2000,19.951494267440374,19.951494267440374,8.908162955371033
total_pred_postfit,VH_2j0b_MET_200_300,3806.588624640606,3806.588624640606,3362.1223005877164
total_pred_postfit,VH_2j0b_MET_300_400,648.6107180562684,648.6107180562684,468.98348033414584
total_pred_postfit,VH_2j0b_MET_400_2000,95.52541351318362,95.52541351318362,49.45437500000001
total_pred_postfit,VH_2j1b_MET_200_300,764.7476219781881,764.7476219781881,562.5740085730516
total_pred_postfit,VH_2j1b_MET_300_400,124.64260151232983,124.64260151232983,56.47223383558682
total_pred_postfit,VH_2j1b_MET_400_2000,12.158128749928576,12.158128749928576,6.386719980151852
total_pred_postfit,VH_2j2b_MET_200_2000,102.36518902813378,102.36518902813378,57.79706289574158
