process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,2746.781982421875,2746.781982421875,118170.04
total_pred_prefit,VH_1V_MET_300_400,622.3475952148438,622.3475952148438,2644.067500000001
total_pred_prefit,VH_1V_MET_400_2000,48.63285827636719,48.63285827636719,24.07157714843749
total_pred_prefit,VH_2j0b_MET_200_300,4604.3232421875,4604.3232421875,714565.2799999998
total_pred_prefit,VH_2j0b_MET_300_400,787.9095458984375,787.9095458984375,7086.298750000001
total_pred_prefit,VH_2j0b_MET_400_2000,85.21033477783203,85.21033477783203,95.693154296875
total_pred_prefit,VH_2j1b_MET_200_300,896.5302124023438,896.5302124023438,4596.6015625
total_pred_prefit,VH_2j1b_MET_300_400,133.35006713867188,133.35006713867188,104.994814453125
total_pred_prefit,VH_2j1b_MET_400_2000,15.387883186340332,15.387883186340332,4.7007025146484365
total_pred_prefit,VH_2j2b_MET_200_2000,123.51043701171876,123.51043701171876,134.430498046875
data,VH_2j2b_MET_200_2000,126.0,126.0,126.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,112.64007568359376,112.64007568359376,65.3827880859375
ttH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
data,VH_1V_MET_200_300,2183.0,2183.0,2183.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,2176.810791015625,2176.810791015625,2010.37171875
ttH,VH_1V_MET_200_300,0.0,0.0,0.0
data,VH_1V_MET_300_400,423.0,423.0,423.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,423.0811767578125,423.0811767578125,280.44462890625
ttH,VH_1V_MET_300_400,0.0,0.0,0.0
data,VH_1V_MET_400_2000,22.0,22.0,22.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,22.04813575744629,22.04813575744629,11.604486083984375
ttH,VH_1V_MET_400_2000,0.0,0.0,0.0
data,VH_2j0b_MET_200_300,4563.0,4563.0,4563.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,4663.353515625,4663.353515625,4520.71
ttH,VH_2j0b_MET_200_300,0.0,0.0,0.0
data,VH_2j0b_MET_300_400,818.0,818.0,818.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,816.351318359375,816.351318359375,535.6525390625
ttH,VH_2j0b_MET_300_400,0.0,0.0,0.0
data,VH_2j0b_MET_400_2000,110.0,110.0,110.0
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j0b_MET_400_2000,102.45852661132812,102.45852661132812,65.13662109375
ttH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
data,VH_2j1b_MET_200_300,947.0,947.0,947.0
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j1b_MET_200_300,949.1532592773438,949.1532592773438,739.26390625
ttH,VH_2j1b_MET_200_300,0.0,0.0,0.0
data,VH_2j1b_MET_300_400,158.0,158.0,158.0
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j1b_MET_300_400,170.2987060546875,170.2987060546875,96.44267578125
ttH,VH_2j1b_MET_300_400,0.0,0.0,0.0
data,VH_2j1b_MET_400_2000,17.0,17.0,17.0
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j1b_MET_400_2000,16.841728210449222,16.841728210449222,11.3236474609375
ttH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
total_pred_postfit,VH_1V_MET_200_300,2176.810791015625,2176.810791015625,2010.37171875
total_pred_postfit,VH_1V_MET_300_400,423.0811767578125,423.0811767578125,280.44462890625
total_pred_postfit,VH_1V_MET_400_2000,22.04813575744629,22.04813575744629,11.604486083984375
total_pred_postfit,VH_2j0b_MET_200_300,4663.353515625,4663.353515625,4520.71
total_pred_postfit,VH_2j0b_MET_300_400,816.351318359375,816.351318359375,535.6525390625
total_pred_postfit,VH_2j0b_MET_400_2000,102.45852661132812,102.45852661132812,65.13662109375
total_pred_postfit,VH_2j1b_MET_200_300,949.1532592773438,949.1532592773438,739.26390625
total_pred_postfit,VH_2j1b_MET_300_400,170.2987060546875,170.2987060546875,96.44267578125
total_pred_postfit,VH_2j1b_MET_400_2000,16.841728210449222,16.841728210449222,11.3236474609375
total_pred_postfit,VH_2j2b_MET_200_2000,112.64007568359376,112.64007568359376,65.3827880859375
