process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,2746.781982421875,2746.781982421875,118170.04
total_pred_prefit,VH_1V_MET_300_400,622.3475952148438,622.3475952148438,2644.067500000001
total_pred_prefit,VH_1V_MET_400_2000,48.63285827636719,48.63285827636719,24.07157714843749
total_pred_prefit,VH_2j0b_MET_200_300,4604.3232421875,4604.3232421875,714565.2799999998
total_pred_prefit,VH_2j0b_MET_300_400,787.9095458984375,787.9095458984375,7086.298750000001
total_pred_prefit,VH_2j0b_MET_400_2000,85.21033477783203,85.21033477783203,95.693154296875
total_pred_prefit,VH_2j1b_MET_200_300,896.5302124023438,896.5302124023438,4596.6015625
total_pred_prefit,VH_2j1b_MET_300_400,133.35006713867188,133.35006713867188,104.994814453125
total_pred_prefit,VH_2j1b_MET_400_2000,15.387883186340332,15.387883186340332,4.7007025146484365
total_pred_prefit,VH_2j2b_MET_200_2000,123.51043701171876,123.51043701171876,134.430498046875
data,VH_2j2b_MET_200_2000,126.0,126.0,126.0
VBF,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j2b_MET_200_2000,112.6427001953125,112.6427001953125,69.15132324218752
ttH,VH_2j2b_MET_200_2000,5.839863206347218e-07,5.839863206347218e-07,1.573147135786712e-05
data,VH_1V_MET_200_300,2183.0,2183.0,2183.0
VBF,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_200_300,2176.979736328125,2176.979736328125,1681.4235937500002
ttH,VH_1V_MET_200_300,3.047289283131249e-06,3.047289283131249e-06,0.00042833238840103146
data,VH_1V_MET_300_400,423.0,423.0,423.0
VBF,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_300_400,423.1158142089844,423.1158142089844,316.85611328125
ttH,VH_1V_MET_300_400,1.3666470977113931e-06,1.3666470977113931e-06,9.05027613043785e-05
data,VH_1V_MET_400_2000,22.0,22.0,22.0
VBF,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_400_2000,22.049135208129886,22.049135208129886,11.27293212890625
ttH,VH_1V_MET_400_2000,7.783950195516808e-08,7.783950195516808e-08,2.9263506803545167e-07
data,VH_2j0b_MET_200_300,4563.0,4563.0,4563.0
VBF,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_200_300,4663.65673828125,4663.65673828125,4340.6553125
ttH,VH_2j0b_MET_200_300,3.1038139240990863e-06,3.1038139240990863e-06,0.0004331380501389503
data,VH_2j0b_MET_300_400,818.0,818.0,818.0
VBF,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_300_400,816.4110717773438,816.4110717773438,579.279921875
ttH,VH_2j0b_MET_300_400,7.086536584210991e-07,7.086536584210991e-07,2.2103770170360807e-05
data,VH_2j0b_MET_400_2000,110.0,110.0,110.0
VBF,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_400_2000,102.47804260253906,102.47804260253906,56.618798828125
ttH,VH_2j0b_MET_400_2000,6.559876197798076e-08,6.559876197798076e-08,1.90024875337258e-07
data,VH_2j1b_MET_200_300,947.0,947.0,947.0
VBF,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_200_300,949.3059692382812,949.3059692382812,805.9924999999997
ttH,VH_2j1b_MET_200_300,3.6690403248940125e-06,3.6690403248940125e-06,0.0006142211705446244
data,VH_2j1b_MET_300_400,158.0,158.0,158.0
VBF,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_300_400,170.363525390625,170.363525390625,89.367939453125
ttH,VH_2j1b_MET_300_400,9.922166555043077e-07,9.922166555043077e-07,4.436272196471691e-05
data,VH_2j1b_MET_400_2000,17.0,17.0,17.0
VBF,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_400_2000,16.842802047729492,16.842802047729492,12.672469482421874
ttH,VH_2j1b_MET_400_2000,1.8515973465582647e-07,1.8515973465582647e-07,1.477493642596528e-06
total_pred_postfit,VH_1V_MET_200_300,2176.9797393754143,2176.9797393754143,1681.4240220823885
total_pred_postfit,VH_1V_MET_300_400,423.1158155756315,423.1158155756315,316.85620378401126
total_pred_postfit,VH_1V_MET_400_2000,22.04913528596941,22.04913528596941,11.272932421541318
total_pred_postfit,VH_2j0b_MET_200_300,4663.656741385064,4663.656741385064,4340.655745638051
total_pred_postfit,VH_2j0b_MET_300_400,816.4110724859975,816.4110724859975,579.2799439787702
total_pred_postfit,VH_2j0b_MET_400_2000,102.47804266813785,102.47804266813785,56.61879901814988
total_pred_postfit,VH_2j1b_MET_200_300,949.3059729073216,949.3059729073216,805.9931142211702
total_pred_postfit,VH_2j1b_MET_300_400,170.36352638284168,170.36352638284168,89.36798381584697
total_pred_postfit,VH_2j1b_MET_400_2000,16.842802232889248,16.842802232889248,12.672470959915517
total_pred_postfit,VH_2j2b_MET_200_2000,112.64270077929885,112.64270077929885,69.15133897365888
