process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,270.91494750976557,270.91494750976557,7872.438750000001
total_pred_prefit,VH_1V_MET_300_400,50.78253936767578,50.78253936767578,105.543779296875
total_pred_prefit,VH_1V_MET_400_2000,4.568999290466309,4.568999290466309,0.4885747528076172
total_pred_prefit,VH_2j0b_MET_200_300,614.6231689453125,614.6231689453125,61702.68
total_pred_prefit,VH_2j0b_MET_300_400,128.08499145507812,128.08499145507812,913.02359375
total_pred_prefit,VH_2j0b_MET_400_2000,13.414103507995605,13.414103507995605,2.6119125366210936
total_pred_prefit,VH_2j1b_MET_200_300,81.42530059814453,81.42530059814453,776.4769531249997
total_pred_prefit,VH_2j1b_MET_300_400,12.63113498687744,12.63113498687744,9.230106201171877
total_pred_prefit,VH_2j1b_MET_400_2000,2.239241361618042,2.239241361618042,0.25383983612060546
total_pred_prefit,VH_2j2b_MET_200_2000,13.634747505187988,13.634747505187988,10.066758422851562
data,VH_2j2b_MET_200_2000,8.0,8.0,8.0
VBF,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j2b_MET_200_2000,15.28866958618164,15.28866958618164,3.4709112548828123
data,VH_1V_MET_200_300,197.0,197.0,197.0
VBF,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_200_300,221.2077789306641,221.2077789306641,89.40434570312502
data,VH_1V_MET_300_400,39.0,39.0,39.0
VBF,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_300_400,46.33619689941406,46.33619689941406,10.3592236328125
data,VH_1V_MET_400_2000,2.0,2.0,2.0
VBF,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_400_2000,6.387319087982178,6.387319087982178,1.0810060882568358
data,VH_2j0b_MET_200_300,549.0,549.0,549.0
VBF,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_200_300,567.0455932617188,567.0455932617188,322.10964843750014
data,VH_2j0b_MET_300_400,115.0,115.0,115.0
VBF,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_300_400,110.45996856689452,110.45996856689452,24.81669189453125
data,VH_2j0b_MET_400_2000,9.0,9.0,9.0
VBF,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_400_2000,11.893824577331545,11.893824577331545,1.400010070800781
data,VH_2j1b_MET_200_300,70.0,70.0,70.0
VBF,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_200_300,76.94583892822266,76.94583892822266,22.47431884765625
data,VH_2j1b_MET_300_400,15.0,15.0,15.0
VBF,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_300_400,12.472861289978027,12.472861289978027,1.8406607055664064
data,VH_2j1b_MET_400_2000,1.0,1.0,1.0
VBF,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j1b_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j1b_MET_400_2000,2.893629312515259,2.893629312515259,0.3727259063720703
total_pred_postfit,VH_1V_MET_200_300,221.20777893066412,221.20777893066412,89.40434570312502
total_pred_postfit,VH_1V_MET_300_400,46.336196899414084,46.336196899414084,10.3592236328125
total_pred_postfit,VH_1V_MET_400_2000,6.387319087982199,6.387319087982199,1.0810060882568358
total_pred_postfit,VH_2j0b_MET_200_300,567.0455932617188,567.0455932617188,322.10964843750014
total_pred_postfit,VH_2j0b_MET_300_400,110.45996856689455,110.45996856689455,24.81669189453125
total_pred_postfit,VH_2j0b_MET_400_2000,11.893824577331566,11.893824577331566,1.400010070800781
