process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,355.7738342285156,355.7738342285156,12251.1625
total_pred_prefit,VH_1V_MET_300_400,71.21685791015625,71.21685791015625,155.700693359375
total_pred_prefit,VH_1V_MET_400_2000,4.939250469207764,4.939250469207764,0.39414524078369145
total_pred_prefit,VH_2j0b_MET_200_300,826.1834106445312,826.1834106445312,97884.44
total_pred_prefit,VH_2j0b_MET_300_400,171.33424377441406,171.33424377441406,1343.00765625
total_pred_prefit,VH_2j0b_MET_400_2000,18.04448127746582,18.04448127746582,3.384833679199218
total_pred_prefit,VH_2j1b_MET_200_300,83.47836303710938,83.47836303710938,786.752890625
total_pred_prefit,VH_2j1b_MET_300_400,18.770774841308594,18.770774841308594,11.750916748046874
total_pred_prefit,VH_2j1b_MET_400_2000,3.4048023223876966,3.4048023223876966,0.4667409133911132
total_pred_prefit,VH_2j2b_MET_200_2000,25.92472267150879,25.92472267150879,26.847692871093745
data,VH_2j2b_MET_200_2000,25.0,25.0,25.0
VBF,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j2b_MET_200_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j2b_MET_200_2000,30.509536743164066,30.509536743164066,9.60441162109375
data,VH_1V_MET_200_300,337.0,337.0,337.0
VBF,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_200_300,309.0944519042969,309.0944519042969,126.946884765625
data,VH_1V_MET_300_400,73.0,73.0,73.0
VBF,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_300_400,68.14569854736328,68.14569854736328,16.283642578124994
data,VH_1V_MET_400_2000,6.0,6.0,6.0
VBF,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_1V_MET_400_2000,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_1V_MET_400_2000,7.284417152404785,7.284417152404785,1.1118827056884766
data,VH_2j0b_MET_200_300,794.0,794.0,794.0
VBF,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
VH,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.4907935943165473e-21
ggF,VH_2j0b_MET_200_300,7.250164112463079e-15,7.250164112463079e-15,2.423806440360472e-21
Ewk,VH_2j0b_MET_200_300,786.4175415039062,786.4175415039062,567.6926562500001
data,VH_2j0b_MET_300_400,174.0,174.0,174.0
VBF,VH_2j0b_MET_300_400,7.250164112463079e-15,7.250164112463079e-15,2.5117998459723318e-21
