process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,5506.78310958849,5506.78310958849,1136090.6600002812
total_pred_prefit,VH_1V_MET_300_400,952.3693237314687,952.3693237314687,13579.38578125
total_pred_prefit,VH_1V_MET_400_2000,72.73069381813868,72.73069381813868,29.614267425537115
total_pred_prefit,VH_2j0b_MET_200_300,11487.77396750031,11487.77396750031,7934839.280042992
total_pred_prefit,VH_2j0b_MET_300_400,1839.7825012217031,1839.7825012217031,95853.80343749998
total_pred_prefit,VH_2j0b_MET_400_2000,194.32696914772853,194.32696914772853,183.9659521484375
total_pred_prefit,VH_2j1b_MET_200_300,1634.867115223802,1634.867115223802,84659.74187500261
total_pred_prefit,VH_2j1b_MET_300_400,232.18228149514061,232.18228149514061,1086.8184814453125
total_pred_prefit,VH_2j1b_MET_400_2000,24.01300621132715,24.01300621132715,4.623672180175782
total_pred_prefit,VH_2j2b_MET_200_2000,403.4509067843319,403.4509067843319,2330.277421902691
data,VH_2j2b_MET_200_2000,340.0,340.0,340.0
Qcd,VH_2j2b_MET_200_2000,0.00010014294821303338,0.00010014294821303338,5.857875180481641e-09
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ttw,VH_2j2b_MET_200_2000,180.2704315185547,180.2704315185547,39.78197021484376
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Zinv,VH_2j2b_MET_200_2000,197.3705902099609,197.3705902099609,111.3745703125
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ttH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
data,VH_1V_MET_200_300,5009.0,5009.0,5009.0
Qcd,VH_1V_MET_200_300,0.0003191714931745082,0.0003191714931745082,5.9504227465367866e-08
Ttw,VH_1V_MET_200_300,1642.3759765625,1642.3759765625,1030.835859375
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
Zinv,VH_1V_MET_200_300,3327.012939453125,3327.012939453125,4660.488437500001
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
ttH,VH_1V_MET_200_300,0.0,0.0,0.0
data,VH_1V_MET_300_400,875.0,875.0,875.0
Qcd,VH_1V_MET_300_400,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
Ttw,VH_1V_MET_300_400,220.41290283203125,220.41290283203125,51.132724609375
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
Zinv,VH_1V_MET_300_400,670.5130004882812,670.5130004882812,428.288515625
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
ttH,VH_1V_MET_300_400,0.0,0.0,0.0
data,VH_1V_MET_400_2000,54.0,54.0,54.0
Qcd,VH_1V_MET_400_2000,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ttw,VH_1V_MET_400_2000,10.742735862731934,10.742735862731934,0.8946222686767578
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
Zinv,VH_1V_MET_400_2000,51.6856689453125,51.6856689453125,20.889396972656247
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
ttH,VH_1V_MET_400_2000,0.0,0.0,0.0
data,VH_2j0b_MET_200_300,11757.0,11757.0,11757.0
Qcd,VH_2j0b_MET_200_300,0.003945913631469011,0.003945913631469011,9.094862616620957e-06
Ttw,VH_2j0b_MET_200_300,4310.5029296875,4310.5029296875,2220.0840625
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
Zinv,VH_2j0b_MET_200_300,7257.263671875,7257.263671875,5867.433124999999
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
ttH,VH_2j0b_MET_200_300,0.0,0.0,0.0
data,VH_2j0b_MET_300_400,1795.0,1795.0,1795.0
Qcd,VH_2j0b_MET_300_400,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
Ttw,VH_2j0b_MET_300_400,561.3474731445311,561.3474731445311,219.5146875
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
Zinv,VH_2j0b_MET_300_400,1235.147705078125,1235.147705078125,419.384765625
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
ttH,VH_2j0b_MET_300_400,0.0,0.0,0.0
data,VH_2j0b_MET_400_2000,202.0,202.0,202.0
Qcd,VH_2j0b_MET_400_2000,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
Ttw,VH_2j0b_MET_400_2000,68.47715759277344,68.47715759277344,24.739772949218754
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Zinv,VH_2j0b_MET_400_2000,129.27291870117188,129.27291870117188,13.553690185546875
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ttH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
data,VH_2j1b_MET_200_300,1731.0,1731.0,1731.0
Qcd,VH_2j1b_MET_200_300,3.075154381804168e-05,3.075154381804168e-05,5.523744661672936e-10
Ttw,VH_2j1b_MET_200_300,898.5330200195312,898.5330200195312,342.298671875
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
Zinv,VH_2j1b_MET_200_300,874.3284301757812,874.3284301757812,738.5804687500001
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
ttH,VH_2j1b_MET_200_300,0.0,0.0,0.0
data,VH_2j1b_MET_300_400,262.0,262.0,262.0
Qcd,VH_2j1b_MET_300_400,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
Ttw,VH_2j1b_MET_300_400,105.46378326416016,105.46378326416016,24.168366699218755
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
Zinv,VH_2j1b_MET_300_400,167.29953002929688,167.29953002929688,81.43877929687503
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
ttH,VH_2j1b_MET_300_400,0.0,0.0,0.0
data,VH_2j1b_MET_400_2000,33.0,33.0,33.0
Qcd,VH_2j1b_MET_400_2000,6.175738809233168e-10,6.175738809233168e-10,2.227807493480892e-19
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ttw,VH_2j1b_MET_400_2000,9.298175811767578,9.298175811767578,1.1528792572021485
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Zinv,VH_2j1b_MET_400_2000,15.689105987548828,15.689105987548828,2.0451863098144534
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ttH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
total_pred_postfit,VH_1V_MET_200_300,4969.389235187118,4969.389235187118,5691.324296934505
total_pred_postfit,VH_1V_MET_300_400,890.92590332093,890.92590332093,479.421240234375
total_pred_postfit,VH_1V_MET_400_2000,62.42840480866201,62.42840480866201,21.784019241333006
total_pred_postfit,VH_2j0b_MET_200_300,11567.770547476131,11567.770547476131,8087.517196594861
total_pred_postfit,VH_2j0b_MET_300_400,1796.4951782232738,1796.4951782232738,638.899453125
total_pred_postfit,VH_2j0b_MET_400_2000,197.7500762945629,197.7500762945629,38.29346313476563
total_pred_postfit,VH_2j1b_MET_200_300,1772.8614809468563,1772.8614809468563,1080.8791406255525
total_pred_postfit,VH_2j1b_MET_300_400,272.7633132940746,272.7633132940746,105.60714599609378
total_pred_postfit,VH_2j1b_MET_400_2000,24.98728179993398,24.98728179993398,3.198065567016602
total_pred_postfit,VH_2j2b_MET_200_2000,377.64112187146384,377.64112187146384,151.15654053320162
