process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,89.0,89.0,89.0
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_2j2b_MET_200_2000,116.1482162475586,116.1482162475586,106.12259765624998
VH,VH_2j2b_MET_200_2000,0.007553557865321636,0.007553557865321636,3.954685525968672e-06
ttH,VH_2j2b_MET_200_2000,0.04984688758850098,0.04984688758850098,6.0143619775772096e-05
data,VH_1V_MET_200_300,1748.0,1748.0,1748.0
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_1V_MET_200_300,2207.634521484375,2207.634521484375,83018.97
ttH,VH_1V_MET_200_300,0.2830952405929565,0.2830952405929565,0.0010101794451475145
data,VH_1V_MET_300_400,333.0,333.0,333.0
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_1V_MET_300_400,487.980712890625,487.980712890625,2297.9225
ttH,VH_1V_MET_300_400,0.11279764771461487,0.11279764771461487,0.00016687855124473575
data,VH_1V_MET_400_2000,20.0,20.0,20.0
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_1V_MET_400_2000,43.43864440917969,43.43864440917969,22.40541259765625
ttH,VH_1V_MET_400_2000,0.006779361981898546,0.006779361981898546,1.6880736802704631e-06
data,VH_2j0b_MET_200_300,3907.0,3907.0,3907.0
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_2j0b_MET_200_300,3673.2119140625,3673.2119140625,456157.36
ttH,VH_2j0b_MET_200_300,0.2189650684595108,0.2189650684595108,0.0004676065221428871
data,VH_2j0b_MET_300_400,647.0,647.0,647.0
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_2j0b_MET_300_400,626.3098754882812,626.3098754882812,5551.264374999999
ttH,VH_2j0b_MET_300_400,0.03919053450226784,0.03919053450226784,1.7635092372074728e-05
data,VH_2j0b_MET_400_2000,88.0,88.0,88.0
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
ttH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,8.98779401821663e-21
Ewk,VH_2j0b_MET_400_2000,83.67000579833984,83.67000579833984,99.045947265625
data,VH_2j1b_MET_200_300,767.0,767.0,767.0
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_2j1b_MET_200_300,719.3790893554688,719.3790893554688,4551.695
ttH,VH_2j1b_MET_200_300,0.32040974497795105,0.32040974497795105,0.0013128474354743955
data,VH_2j1b_MET_300_400,137.0,137.0,137.0
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_2j1b_MET_300_400,93.61077117919922,93.61077117919922,119.19951171875
ttH,VH_2j1b_MET_300_400,0.06780082732439041,0.06780082732439041,6.982001475989817e-05
data,VH_2j1b_MET_400_2000,12.0,12.0,12.0
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.306560699423528e-22
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.898305803301416e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.813987988820662e-21
Ewk,VH_2j1b_MET_400_2000,11.22948169708252,11.22948169708252,2.3132037353515624
ttH,VH_2j1b_MET_400_2000,0.001782699837349355,0.001782699837349355,2.8731167549267405e-06
