process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,VH_1V_MET_200_300,3049.07958984375,3049.07958984375,143385.7
total_pred_prefit,VH_1V_MET_300_400,858.8988647460938,858.8988647460938,4563.3921875000015
total_pred_prefit,VH_1V_MET_400_2000,127.93582153320312,127.93582153320312,113.882470703125
total_pred_prefit,VH_2j0b_MET_200_300,10058.927734375,10058.927734375,3460575.0400000005
total_pred_prefit,VH_2j0b_MET_300_400,2513.7548828125,2513.7548828125,67938.13999999997
total_pred_prefit,VH_2j0b_MET_400_2000,758.5012817382812,758.5012817382812,7769.745000000001
total_pred_prefit,VH_2j1b_MET_200_300,1842.8402099609373,1842.8402099609373,30440.74
total_pred_prefit,VH_2j1b_MET_300_400,378.6824645996094,378.6824645996094,1237.8375
total_pred_prefit,VH_2j1b_MET_400_2000,95.10916900634766,95.10916900634766,162.17478515625
total_pred_prefit,VH_2j2b_MET_200_2000,464.7655944824219,464.7655944824219,2504.903125
data,VH_2j2b_MET_200_2000,443.0,443.0,443.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,425.92529296875,425.92529296875,326.60130859374993
ttH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
data,VH_1V_MET_200_300,2428.0,2428.0,2428.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,2392.65283203125,2392.65283203125,2868.195625
ttH,VH_1V_MET_200_300,0.0,0.0,0.0
data,VH_1V_MET_300_400,591.0,591.0,591.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,598.0232543945312,598.0232543945312,390.7747265625
ttH,VH_1V_MET_300_400,0.0,0.0,0.0
data,VH_1V_MET_400_2000,72.0,72.0,72.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,72.16133117675781,72.16133117675781,53.8411181640625
