process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,32.0,32.0,32.0
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_2j2b_MET_200_2000,41.44005966186523,41.44005966186523,76.02026367187501
data,VH_1V_MET_200_300,283.0,283.0,283.0
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_1V_MET_200_300,374.2418518066406,374.2418518066406,13706.075
data,VH_1V_MET_300_400,81.0,81.0,81.0
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_1V_MET_300_400,95.12812042236328,95.12812042236328,292.74580078125
data,VH_1V_MET_400_2000,8.0,8.0,8.0
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_1V_MET_400_2000,15.409411430358887,15.409411430358887,2.947847900390625
data,VH_2j0b_MET_200_300,1318.0,1318.0,1318.0
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_2j0b_MET_200_300,1512.587646484375,1512.587646484375,310992.06
data,VH_2j0b_MET_300_400,455.0,455.0,455.0
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_2j0b_MET_300_400,448.9061584472656,448.9061584472656,9768.138125
data,VH_2j0b_MET_400_2000,98.0,98.0,98.0
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_2j0b_MET_400_2000,110.4050750732422,110.4050750732422,235.74453125
data,VH_2j1b_MET_200_300,180.0,180.0,180.0
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_2j1b_MET_200_300,186.6915283203125,186.6915283203125,3811.8275
data,VH_2j1b_MET_300_400,48.0,48.0,48.0
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_2j1b_MET_300_400,49.41775131225586,49.41775131225586,109.63092773437502
data,VH_2j1b_MET_400_2000,34.0,34.0,34.0
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,VH_2j1b_MET_400_2000,35.67260360717773,35.67260360717773,124.29962890625
