process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,104250.0,104250.0,104250.0
QCD_from_photon_purity,ggF_2jM_MET_200_300,3739.0048828125,3739.0048828125,836117.28
VBF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
Ewk,ggF_2jM_MET_200_300,132965.890625,132965.890625,81014553.6
ggF,ggF_2jM_MET_200_300,0.05763499438762665,0.05763499438762665,2.539443084970117e-05
data,ggF_2jM_MET_300_400,47363.0,47363.0,47363.0
QCD_from_photon_purity,ggF_2jM_MET_300_400,1353.28271484375,1353.28271484375,109530.75
VBF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
Ewk,ggF_2jM_MET_300_400,63247.37890625,63247.37890625,17590040.319999997
ggF,ggF_2jM_MET_300_400,0.00882703810930252,0.00882703810930252,2.8087729588150983e-05
data,ggF_2jM_MET_400_600,18345.0,18345.0,18345.0
QCD_from_photon_purity,ggF_2jM_MET_400_600,370.1971130371094,370.1971130371094,8192.533124999998
VBF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_2jM_MET_400_600,23714.12890625,23714.12890625,2498575.52
data,ggF_2jM_MET_600_2000,3710.0,3710.0,3710.0
QCD_from_photon_purity,ggF_2jM_MET_600_2000,51.47073745727539,51.47073745727539,158.493720703125
VBF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_2jM_MET_600_2000,4589.619140625,4589.619140625,94836.8
data,ggF_3j_MET_200_300,71457.0,71457.0,71457.0
QCD_from_photon_purity,ggF_3j_MET_200_300,2537.29248046875,2537.29248046875,384927.52
VBF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
Ewk,ggF_3j_MET_200_300,86731.890625,86731.890625,34325854.72000001
ggF,ggF_3j_MET_200_300,0.03982192277908325,0.03982192277908325,1.950518344528973e-05
data,ggF_3j_MET_300_400,35856.0,35856.0,35856.0
QCD_from_photon_purity,ggF_3j_MET_300_400,1007.4700927734376,1007.4700927734376,60719.55499999999
VBF,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
Ewk,ggF_3j_MET_300_400,45364.93359375,45364.93359375,9155738.88
ggF,ggF_3j_MET_300_400,0.027226924896240238,0.027226924896240238,2.6578512042760848e-05
data,ggF_3j_MET_400_600,15041.0,15041.0,15041.0
QCD_from_photon_purity,ggF_3j_MET_400_600,296.32342529296875,296.32342529296875,5250.936875000001
VBF,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
Ewk,ggF_3j_MET_400_600,19475.546875,19475.546875,1652750.2399999998
VH,ggF_3j_MET_400_600,0.001332803163677454,0.001332803163677454,3.3120400621555746e-06
ggF,ggF_3j_MET_400_600,0.014193481765687466,0.014193481765687466,1.9090789137408134e-05
data,ggF_3j_MET_600_2000,3265.0,3265.0,3265.0
QCD_from_photon_purity,ggF_3j_MET_600_2000,44.06217956542969,44.06217956542969,116.1069921875
VBF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_3j_MET_600_2000,4001.1328125,4001.1328125,66691.02999999997
data,ggF_4j_MET_200_300,30075.0,30075.0,30075.0
QCD_from_photon_purity,ggF_4j_MET_200_300,1054.060302734375,1054.060302734375,66456.03
VBF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
ggF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_4j_MET_200_300,38700.703125,38700.703125,6924441.6
VH,ggF_4j_MET_200_300,0.1199597269296646,0.1199597269296646,6.129545625299215e-05
data,ggF_4j_MET_300_400,17019.0,17019.0,17019.0
QCD_from_photon_purity,ggF_4j_MET_300_400,473.35302734375,473.35302734375,13399.095
VBF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
Ewk,ggF_4j_MET_300_400,22398.099609375,22398.099609375,2250986.24
VH,ggF_4j_MET_300_400,0.07995857298374176,0.07995857298374176,0.00024068575352430342
ggF,ggF_4j_MET_300_400,0.02029508352279663,0.02029508352279663,3.2649264903739087e-06
data,ggF_4j_MET_400_600,7774.0,7774.0,7774.0
QCD_from_photon_purity,ggF_4j_MET_400_600,149.5057373046875,149.5057373046875,1337.1023437499996
VBF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
Ewk,ggF_4j_MET_400_600,10437.2880859375,10437.2880859375,477705.4000000001
ggF,ggF_4j_MET_400_600,0.0466492660343647,0.0466492660343647,2.7729803696274755e-05
data,ggF_4j_MET_600_2000,1977.0,1977.0,1977.0
QCD_from_photon_purity,ggF_4j_MET_600_2000,25.76250457763672,25.76250457763672,39.69546875
VBF,ggF_4j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_4j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_4j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_4j_MET_600_2000,2349.606201171875,2349.606201171875,23465.52
data,ggF_5j_MET_200_300,15027.0,15027.0,15027.0
QCD_from_photon_purity,ggF_5j_MET_200_300,515.0836791992189,515.0836791992189,15874.1625
VBF,ggF_5j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
ggF,ggF_5j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_5j_MET_200_300,17315.2578125,17315.2578125,1388643.5199999998
VH,ggF_5j_MET_200_300,0.011956054717302322,0.011956054717302322,2.0935668144375085e-05
data,ggF_5j_MET_300_400,9531.0,9531.0,9531.0
QCD_from_photon_purity,ggF_5j_MET_300_400,257.88790893554693,257.88790893554693,3974.8546875
VBF,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_5j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_5j_MET_300_400,11504.6787109375,11504.6787109375,612178.8400000001
