process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,18063.20703125,18063.20703125,13464474.88
total_pred_prefit,ggF_2jM_MET_300_400,3234.632080078125,3234.632080078125,117220.62
total_pred_prefit,ggF_2jM_MET_400_600,984.0623168945312,984.0623168945312,17682.395
total_pred_prefit,ggF_2jM_MET_600_900,112.60363006591795,112.60363006591795,986.1299218750003
total_pred_prefit,ggF_2jM_MET_900_2000,8.676809310913086,8.676809310913086,13.42500244140625
total_pred_prefit,ggF_3j_MET_200_300,20103.048828125,20103.048828125,14312972.800000004
total_pred_prefit,ggF_3j_MET_300_400,4472.0859375,4472.0859375,187524.4
total_pred_prefit,ggF_3j_MET_400_600,1328.010986328125,1328.010986328125,34711.8425
total_pred_prefit,ggF_3j_MET_600_900,165.36264038085938,165.36264038085938,2431.808125
total_pred_prefit,ggF_3j_MET_900_2000,15.774417877197266,15.774417877197266,52.52765625000001
total_pred_prefit,ggF_4j_MET_200_300,8725.1611328125,8725.1611328125,2425131.8400000003
total_pred_prefit,ggF_4j_MET_300_400,2433.831787109375,2433.831787109375,51530.965
total_pred_prefit,ggF_4j_MET_400_600,860.5494995117188,860.5494995117188,14598.233749999998
total_pred_prefit,ggF_4j_MET_600_900,116.11209106445312,116.11209106445312,1129.7453906250005
total_pred_prefit,ggF_4j_MET_900_2000,10.95536994934082,10.95536994934082,32.2055322265625
total_pred_prefit,ggF_5j_MET_200_300,3829.67919921875,3829.67919921875,349578.84000000014
total_pred_prefit,ggF_5j_MET_300_400,1302.4139404296875,1302.4139404296875,12602.85625
total_pred_prefit,ggF_5j_MET_400_600,546.5358276367189,546.5358276367189,5722.029375
total_pred_prefit,ggF_5j_MET_600_900,86.36951446533203,86.36951446533203,615.6866796875
total_pred_prefit,ggF_5j_MET_900_2000,11.626581192016602,11.626581192016602,20.76599609375
data,ggF_3j_MET_900_2000,8.0,8.0,8.0
Ewk,ggF_3j_MET_900_2000,12.921547889709473,12.921547889709473,7.032022705078126
data,ggF_4j_MET_200_300,8188.0,8188.0,8188.0
Ewk,ggF_4j_MET_200_300,8006.97265625,8006.97265625,6827.654375
data,ggF_4j_MET_300_400,2316.0,2316.0,2316.0
Ewk,ggF_4j_MET_300_400,2321.723388671875,2321.723388671875,1447.0524999999998
data,ggF_4j_MET_400_600,849.0,849.0,849.0
Ewk,ggF_4j_MET_400_600,847.2581787109375,847.2581787109375,390.8864453124999
data,ggF_4j_MET_600_900,119.0,119.0,119.0
