process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,7890.0,7890.0,7890.0
VBF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_2jM_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_2jM_MET_200_300,9565.44140625,9565.44140625,14093157.12
data,ggF_2jM_MET_300_400,2337.0,2337.0,2337.0
VBF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_2jM_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_2jM_MET_300_400,2561.4951171875,2561.4951171875,247267.28
data,ggF_2jM_MET_400_600,788.0,788.0,788.0
VBF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_2jM_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_2jM_MET_400_600,771.2548217773438,771.2548217773438,14427.63125
data,ggF_2jM_MET_600_2000,95.0,95.0,95.0
VBF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_2jM_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_2jM_MET_600_2000,72.81458282470703,72.81458282470703,2991.5325
data,ggF_3j_MET_200_300,5174.0,5174.0,5174.0
VBF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_3j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_3j_MET_200_300,6261.341796875,6261.341796875,5485864.32
data,ggF_3j_MET_300_400,1679.0,1679.0,1679.0
VBF,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_3j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_3j_MET_300_400,1946.97607421875,1946.97607421875,123216.07000000002
data,ggF_3j_MET_400_600,597.0,597.0,597.0
VBF,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_3j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_3j_MET_400_600,628.1958618164062,628.1958618164062,10329.864375
data,ggF_3j_MET_600_2000,80.0,80.0,80.0
VBF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_3j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_3j_MET_600_2000,65.46966552734375,65.46966552734375,2341.18890625
data,ggF_4j_MET_200_300,2017.0,2017.0,2017.0
VBF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_4j_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_4j_MET_200_300,2635.515625,2635.515625,918017.28
data,ggF_4j_MET_300_400,790.0,790.0,790.0
VBF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_4j_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_4j_MET_300_400,930.9053344726562,930.9053344726562,26842.9975
data,ggF_4j_MET_400_600,289.0,289.0,289.0
VBF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ggF_4j_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ggF_4j_MET_400_600,323.41351318359375,323.41351318359375,2809.818750000001
data,ggF_4j_MET_600_2000,33.0,33.0,33.0
VBF,ggF_4j_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
