process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ggF_2jM_MET_200_300,12531.1875,12531.1875,18490935.040000007
total_pred_prefit,ggF_2jM_MET_300_400,3427.64404296875,3427.64404296875,270524.08
total_pred_prefit,ggF_2jM_MET_400_600,1035.4615478515623,1035.4615478515623,21612.7475
total_pred_prefit,ggF_2jM_MET_600_2000,96.29850769042969,96.29850769042969,5783.515
total_pred_prefit,ggF_3j_MET_200_300,7748.4580078125,7748.4580078125,6396524.16
total_pred_prefit,ggF_3j_MET_300_400,2431.9130859375,2431.9130859375,116481.08
total_pred_prefit,ggF_3j_MET_400_600,797.000732421875,797.000732421875,14239.1475
total_pred_prefit,ggF_3j_MET_600_2000,77.75360107421875,77.75360107421875,3505.7659375
total_pred_prefit,ggF_4j_MET_200_300,3002.64794921875,3002.64794921875,905331.6
total_pred_prefit,ggF_4j_MET_300_400,1078.9930419921877,1078.9930419921877,20240.923750000005
total_pred_prefit,ggF_4j_MET_400_600,372.1788024902344,372.1788024902344,3477.4059375
total_pred_prefit,ggF_4j_MET_600_2000,41.16989517211914,41.16989517211914,1049.6218749999996
total_pred_prefit,ggF_5j_MET_200_300,1074.920654296875,1074.920654296875,105211.5
total_pred_prefit,ggF_5j_MET_300_400,450.09423828125,450.09423828125,2852.8390625
total_pred_prefit,ggF_5j_MET_400_600,176.89468383789062,176.89468383789062,796.76546875
total_pred_prefit,ggF_5j_MET_600_2000,23.43848419189453,23.43848419189453,264.66320312499994
data,ggF_2jM_MET_200_300,11206.0,11206.0,11206.0
VBF,ggF_2jM_MET_200_300,0.0,0.0,0.0
VH,ggF_2jM_MET_200_300,0.0,0.0,0.0
ggF,ggF_2jM_MET_200_300,0.0,0.0,0.0
Ewk,ggF_2jM_MET_200_300,10696.759765625,10696.759765625,24035.09
data,ggF_2jM_MET_300_400,3041.0,3041.0,3041.0
VBF,ggF_2jM_MET_300_400,0.0,0.0,0.0
VH,ggF_2jM_MET_300_400,0.0,0.0,0.0
ggF,ggF_2jM_MET_300_400,0.0,0.0,0.0
Ewk,ggF_2jM_MET_300_400,2893.2490234375,2893.2490234375,1880.27515625
data,ggF_2jM_MET_400_600,883.0,883.0,883.0
VBF,ggF_2jM_MET_400_600,0.0,0.0,0.0
VH,ggF_2jM_MET_400_600,0.0,0.0,0.0
ggF,ggF_2jM_MET_400_600,0.0,0.0,0.0
Ewk,ggF_2jM_MET_400_600,821.330078125,821.330078125,246.40238281250004
data,ggF_2jM_MET_600_2000,72.0,72.0,72.0
VBF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
VH,ggF_2jM_MET_600_2000,0.0,0.0,0.0
ggF,ggF_2jM_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_2jM_MET_600_2000,44.22614669799805,44.22614669799805,4.011406860351562
data,ggF_3j_MET_200_300,6472.0,6472.0,6472.0
VBF,ggF_3j_MET_200_300,0.0,0.0,0.0
VH,ggF_3j_MET_200_300,0.0,0.0,0.0
ggF,ggF_3j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_3j_MET_200_300,6443.49951171875,6443.49951171875,13091.79
data,ggF_3j_MET_300_400,2062.0,2062.0,2062.0
VBF,ggF_3j_MET_300_400,0.0,0.0,0.0
VH,ggF_3j_MET_300_400,0.0,0.0,0.0
ggF,ggF_3j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_3j_MET_300_400,2161.980712890625,2161.980712890625,1418.1512499999994
data,ggF_3j_MET_400_600,675.0,675.0,675.0
VBF,ggF_3j_MET_400_600,0.0,0.0,0.0
VH,ggF_3j_MET_400_600,0.0,0.0,0.0
ggF,ggF_3j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_3j_MET_400_600,700.89306640625,700.89306640625,226.24587890625003
data,ggF_3j_MET_600_2000,51.0,51.0,51.0
VBF,ggF_3j_MET_600_2000,0.0,0.0,0.0
VH,ggF_3j_MET_600_2000,0.0,0.0,0.0
ggF,ggF_3j_MET_600_2000,0.0,0.0,0.0
Ewk,ggF_3j_MET_600_2000,42.637115478515625,42.637115478515625,3.960056762695313
data,ggF_4j_MET_200_300,2385.0,2385.0,2385.0
VBF,ggF_4j_MET_200_300,0.0,0.0,0.0
VH,ggF_4j_MET_200_300,0.0,0.0,0.0
ggF,ggF_4j_MET_200_300,0.0,0.0,0.0
Ewk,ggF_4j_MET_200_300,2423.99560546875,2423.99560546875,3015.6953125
data,ggF_4j_MET_300_400,875.0,875.0,875.0
VBF,ggF_4j_MET_300_400,0.0,0.0,0.0
VH,ggF_4j_MET_300_400,0.0,0.0,0.0
ggF,ggF_4j_MET_300_400,0.0,0.0,0.0
Ewk,ggF_4j_MET_300_400,1015.2174682617188,1015.2174682617188,633.983828125
data,ggF_4j_MET_400_600,341.0,341.0,341.0
VBF,ggF_4j_MET_400_600,0.0,0.0,0.0
VH,ggF_4j_MET_400_600,0.0,0.0,0.0
ggF,ggF_4j_MET_400_600,0.0,0.0,0.0
Ewk,ggF_4j_MET_400_600,368.3333435058594,368.3333435058594,113.716181640625
data,ggF_4j_MET_600_2000,47.0,47.0,47.0
