process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1w1b_MET_400_2000,48.0,48.0,48.0
Qcd,ttH_1w1b_MET_400_2000,7.4466795921325675,7.4466795921325675,11.990310058593748
VBF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.5968532730504795e-22
Ttw,ttH_1w1b_MET_400_2000,24.04668617248535,24.04668617248535,6.789675292968749
VH,ttH_1w1b_MET_400_2000,1.4769511222839355,1.4769511222839355,0.04217854499816896
Zinv,ttH_1w1b_MET_400_2000,12.094682693481445,12.094682693481445,3.3952896118164064
ggF,ttH_1w1b_MET_400_2000,0.5650631189346313,0.5650631189346313,0.004600110054016114
ttH,ttH_1w1b_MET_400_2000,3.529078960418701,3.529078960418701,0.18810150146484367
data,ttH_1w2b_MET_200_300,467.0,467.0,467.0
Qcd,ttH_1w2b_MET_200_300,30.491455078125,30.491455078125,181.5034765625
VBF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.5968532730504795e-22
Ttw,ttH_1w2b_MET_200_300,511.9937438964844,511.9937438964844,2755.410625
VH,ttH_1w2b_MET_200_300,0.3872750103473663,0.3872750103473663,0.0037945562601089475
Zinv,ttH_1w2b_MET_200_300,15.209373474121096,15.209373474121096,12.209117431640625
ggF,ttH_1w2b_MET_200_300,0.11650250852108003,0.11650250852108003,0.00030206063762307174
ttH,ttH_1w2b_MET_200_300,15.29425811767578,15.29425811767578,4.196812133789063
data,ttH_1w2b_MET_300_400,92.0,92.0,92.0
Qcd,ttH_1w2b_MET_300_400,11.85261058807373,11.85261058807373,28.25468994140625
VBF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.5968532730504795e-22
Ttw,ttH_1w2b_MET_300_400,107.16432189941406,107.16432189941406,130.58731445312497
VH,ttH_1w2b_MET_300_400,0.4937549531459808,0.4937549531459808,0.005227493047714234
Zinv,ttH_1w2b_MET_300_400,8.752543449401855,8.752543449401855,2.442895050048828
ggF,ttH_1w2b_MET_300_400,0.06268216669559479,0.06268216669559479,0.00012058961205184458
ttH,ttH_1w2b_MET_300_400,7.612401008605957,7.612401008605957,1.0591839599609374
data,ttH_1w2b_MET_400_2000,27.0,27.0,27.0
Qcd,ttH_1w2b_MET_400_2000,6.182615280151367,6.182615280151367,8.364735717773437
VBF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.5968532730504795e-22
Ttw,ttH_1w2b_MET_400_2000,15.204568862915039,15.204568862915039,3.732317504882813
VH,ttH_1w2b_MET_400_2000,0.3355090618133545,0.3355090618133545,0.005068818330764771
Zinv,ttH_1w2b_MET_400_2000,3.015920877456665,3.015920877456665,0.3371466827392578
ggF,ttH_1w2b_MET_400_2000,0.03497351706027985,0.03497351706027985,3.8378236349672083e-05
ttH,ttH_1w2b_MET_400_2000,3.0665268898010254,3.0665268898010254,0.1856680107116699
data,ttH_2Boosted_MET_200_300,9.0,9.0,9.0
Qcd,ttH_2Boosted_MET_200_300,2.2019858360290527,2.2019858360290527,0.9667118072509764
VBF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.5968532730504795e-22
ggF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.0261111215670345e-21
Ttw,ttH_2Boosted_MET_200_300,11.321674346923828,11.321674346923828,2.7839669799804687
VH,ttH_2Boosted_MET_200_300,0.37598276138305664,0.37598276138305664,0.011623854637145995
Zinv,ttH_2Boosted_MET_200_300,2.295096635818481,2.295096635818481,0.13597536087036133
ttH,ttH_2Boosted_MET_200_300,3.3264050483703613,3.3264050483703613,0.2000778007507324
data,ttH_2Boosted_MET_300_400,7.0,7.0,7.0
Qcd,ttH_2Boosted_MET_300_400,0.8559539318084717,0.8559539318084717,0.14720077514648436
VBF,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.5968532730504795e-22
ggF,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.0261111215670345e-21
Ttw,ttH_2Boosted_MET_300_400,4.2024664878845215,4.2024664878845215,0.4674741744995117
VH,ttH_2Boosted_MET_300_400,0.13363875448703766,0.13363875448703766,0.0018155670166015625
Zinv,ttH_2Boosted_MET_300_400,1.7245773077011108,1.7245773077011108,0.05106856346130372
ttH,ttH_2Boosted_MET_300_400,2.237802505493164,2.237802505493164,0.08730796813964843
data,ttH_2Boosted_MET_400_2000,5.0,5.0,5.0
Qcd,ttH_2Boosted_MET_400_2000,0.44648677110672,0.44648677110672,0.03906366348266602
VBF,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.5968532730504795e-22
VH,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.3420507520490863e-22
ggF,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.0261111215670345e-21
Ttw,ttH_2Boosted_MET_400_2000,1.959810972213745,1.959810972213745,0.2006123161315918
Zinv,ttH_2Boosted_MET_400_2000,1.5826232433319092,1.5826232433319092,0.040171189308166495
ttH,ttH_2Boosted_MET_400_2000,2.4663939476013184,2.4663939476013184,0.10947405815124513
data,ttH_5j1b_MET_200_300,2989.0,2989.0,2989.0
Qcd,ttH_5j1b_MET_200_300,93.0286636352539,93.0286636352539,1750.88234375
Ttw,ttH_5j1b_MET_200_300,2203.21484375,2203.21484375,22360.7575
VBF,ttH_5j1b_MET_200_300,1.5486655235290527,1.5486655235290527,0.0248351240158081
VH,ttH_5j1b_MET_200_300,11.026272773742676,11.026272773742676,1.2365908050537109
Zinv,ttH_5j1b_MET_200_300,686.6012573242188,686.6012573242188,67940.24500000001
ggF,ttH_5j1b_MET_200_300,22.77875518798828,22.77875518798828,5.339557495117189
ttH,ttH_5j1b_MET_200_300,35.2701530456543,35.2701530456543,12.571081542968747
data,ttH_5j1b_MET_300_400,698.0,698.0,698.0
Qcd,ttH_5j1b_MET_300_400,36.162017822265625,36.162017822265625,269.7390234375
