process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1w1b_MET_400_2000,85.0,85.0,85.0
VBF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_1w1b_MET_400_2000,121.93531036376952,121.93531036376952,173.18169921875
ttH,ttH_1w1b_MET_400_2000,0.2549923658370972,0.2549923658370972,0.0014926037192344664
data,ttH_1w2b_MET_200_300,699.0,699.0,699.0
VBF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_1w2b_MET_200_300,822.6636962890625,822.6636962890625,5978.6106249999975
ttH,ttH_1w2b_MET_200_300,0.8502054810523987,0.8502054810523987,0.012797334194183352
data,ttH_1w2b_MET_300_400,207.0,207.0,207.0
VBF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_1w2b_MET_300_400,262.55062866210943,262.55062866210943,682.5301562499999
ttH,ttH_1w2b_MET_300_400,0.3976178467273712,0.3976178467273712,0.00283197820186615
data,ttH_1w2b_MET_400_2000,74.0,74.0,74.0
VBF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_1w2b_MET_400_2000,74.67979431152344,74.67979431152344,78.25904296875
ttH,ttH_1w2b_MET_400_2000,0.1508442610502243,0.1508442610502243,0.0005116432905197144
data,ttH_2Boosted_MET_200_300,166.0,166.0,166.0
VBF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_2Boosted_MET_200_300,177.30995178222656,177.30995178222656,328.0589453125
ttH,ttH_2Boosted_MET_200_300,0.08997663855552672,0.08997663855552672,0.00018434079363942145
data,ttH_2Boosted_MET_300_400,85.0,85.0,85.0
VBF,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_2Boosted_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_2Boosted_MET_300_400,119.75328063964844,119.75328063964844,157.40586914062496
ttH,ttH_2Boosted_MET_300_400,0.16950109601020813,0.16950109601020813,0.0006207218766212464
data,ttH_2Boosted_MET_400_2000,66.0,66.0,66.0
VBF,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_2Boosted_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_2Boosted_MET_400_2000,73.07040405273438,73.07040405273438,56.742592773437494
ttH,ttH_2Boosted_MET_400_2000,0.08033867180347443,0.08033867180347443,0.0001597095839679241
data,ttH_5j1b_MET_200_300,2191.0,2191.0,2191.0
VBF,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_5j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_5j1b_MET_200_300,2413.76318359375,2413.76318359375,25913.4575
ttH,ttH_5j1b_MET_200_300,2.167256593704224,2.167256593704224,0.04471900939941406
data,ttH_5j1b_MET_300_400,591.0,591.0,591.0
VBF,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_5j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_5j1b_MET_300_400,620.0111694335938,620.0111694335938,1598.1309375000005
ttH,ttH_5j1b_MET_300_400,0.8425923585891724,0.8425923585891724,0.007615562081336974
data,ttH_5j1b_MET_400_2000,199.0,199.0,199.0
VBF,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_5j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_5j1b_MET_400_2000,208.2815704345703,208.2815704345703,390.5937109375
ttH,ttH_5j1b_MET_400_2000,0.3547883331775665,0.3547883331775665,0.001620990335941315
data,ttH_1t1b_MET_200_300,159.0,159.0,159.0
VBF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_1t1b_MET_200_300,183.1748352050781,183.1748352050781,309.3319140625
ttH,ttH_1t1b_MET_200_300,0.14995700120925906,0.14995700120925906,0.0004537609219551087
data,ttH_5j2b_MET_200_300,681.0,681.0,681.0
VBF,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_5j2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_5j2b_MET_200_300,763.2427978515625,763.2427978515625,3217.364375000001
ttH,ttH_5j2b_MET_200_300,1.2158441543579102,1.2158441543579102,0.018357361555099486
data,ttH_5j2b_MET_300_400,143.0,143.0,143.0
VBF,ttH_5j2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_5j2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_5j2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_5j2b_MET_300_400,156.72900390625,156.72900390625,216.83564453125
ttH,ttH_5j2b_MET_300_400,0.4520080089569092,0.4520080089569092,0.003066568672657013
data,ttH_5j2b_MET_400_2000,32.0,32.0,32.0
VBF,ttH_5j2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_5j2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_5j2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_5j2b_MET_400_2000,48.28064346313477,48.28064346313477,22.69475341796875
ttH,ttH_5j2b_MET_400_2000,0.12370189279317854,0.12370189279317854,0.000288226343691349
data,ttH_6j1b_MET_200_300,1108.0,1108.0,1108.0
VBF,ttH_6j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.737327928107591e-22
VH,ttH_6j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.6467609868176064e-22
ggF,ttH_6j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.392593233464712e-21
Ewk,ttH_6j1b_MET_200_300,1241.7044677734375,1241.7044677734375,7720.81875
ttH,ttH_6j1b_MET_200_300,1.2985894680023191,1.2985894680023191,0.017527470588684074
