process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t0b_MET_200_300,84.50546073913574,84.50546073913574,1014.1947216796875
total_pred_prefit,ttH_1t0b_MET_300_400,54.73346757888794,54.73346757888794,81.50407005310058
total_pred_prefit,ttH_1t0b_MET_400_2000,42.596038818359375,42.596038818359375,20.16817626953125
total_pred_prefit,ttH_1t1b_MET_200_300,85.39162111282349,85.39162111282349,186.9025169754028
total_pred_prefit,ttH_1t1b_MET_300_400,64.25211834907532,64.25211834907532,32.77001824378967
total_pred_prefit,ttH_1t1b_MET_400_600,35.2205194234848,35.2205194234848,6.974864282608031
total_pred_prefit,ttH_1t1b_MET_600_2000,4.366432406008244,4.366432406008244,0.3317378187179565
total_pred_prefit,ttH_1w1b_MET_200_300,547.6681661605835,547.6681661605835,3027.5023486328137
total_pred_prefit,ttH_1w1b_MET_300_400,136.66856718063354,136.66856718063354,198.13716979980467
total_pred_prefit,ttH_1w1b_MET_400_2000,28.230561614036564,28.230561614036564,9.572465515136718
total_pred_prefit,ttH_1w2b_MET_200_300,335.67751228809357,335.67751228809357,1327.343314819336
total_pred_prefit,ttH_1w2b_MET_300_400,68.90291562676431,68.90291562676431,61.76272579193116
total_pred_prefit,ttH_1w2b_MET_400_2000,12.251797884702682,12.251797884702682,2.25290560722351
total_pred_prefit,ttH_2Boosted_MET_200_300,11.240551590919495,11.240551590919495,10.807169742584227
total_pred_prefit,ttH_2Boosted_MET_300_400,4.540107905864716,4.540107905864716,0.9124442636966705
total_pred_prefit,ttH_2Boosted_MET_400_2000,3.0468258559703827,3.0468258559703827,0.16819549679756163
total_pred_prefit,ttH_5j1b_MET_200_300,2471.2966232299805,2471.2966232299805,70359.53312499999
total_pred_prefit,ttH_5j1b_MET_300_400,545.6725463867188,545.6725463867188,2748.5696093750003
total_pred_prefit,ttH_5j1b_MET_400_600,152.44231939315796,152.44231939315796,191.59251953125
total_pred_prefit,ttH_5j1b_MET_600_2000,19.279155015945435,19.279155015945435,52.74621063232422
total_pred_prefit,ttH_5j2b_MET_200_300,748.6304817199707,748.6304817199707,4717.758740234376
total_pred_prefit,ttH_5j2b_MET_300_400,125.53936529159546,125.53936529159546,162.66779296875
total_pred_prefit,ttH_5j2b_MET_400_2000,33.63478285074234,33.63478285074234,14.073326568603512
total_pred_prefit,ttH_6j1b_MET_200_300,1419.7334938049316,1419.7334938049316,14151.678750000003
total_pred_prefit,ttH_6j1b_MET_300_400,353.63396072387695,353.63396072387695,938.5001953125
total_pred_prefit,ttH_6j1b_MET_400_2000,116.77004861831665,116.77004861831665,155.94783447265627
total_pred_prefit,ttH_6j2b_MET_200_300,532.913649559021,532.913649559021,2039.9569531250004
total_pred_prefit,ttH_6j2b_MET_300_400,105.55864334106445,105.55864334106445,95.1362841796875
total_pred_prefit,ttH_6j2b_MET_400_2000,31.20055913925171,31.20055913925171,10.639159393310546
data,ttH_1t0b_MET_200_300,77.0,77.0,77.0
Qcd,ttH_1t0b_MET_200_300,15.220706939697266,15.220706939697266,43.88905273437501
Ttw,ttH_1t0b_MET_200_300,62.92020797729492,62.92020797729492,13.562860107421875
VBF,ttH_1t0b_MET_200_300,0.03477049618959427,0.03477049618959427,0.0003097395971417427
VH,ttH_1t0b_MET_200_300,0.03210962563753128,0.03210962563753128,0.00023064063861966133
Zinv,ttH_1t0b_MET_200_300,10.989014625549316,10.989014625549316,0.4749213409423828
ggF,ttH_1t0b_MET_200_300,0.012688048183918,0.012688048183918,4.355092532932758e-05
ttH,ttH_1t0b_MET_200_300,0.7116209864616394,0.7116209864616394,0.13134268760681153
data,ttH_1t0b_MET_300_400,75.0,75.0,75.0
Qcd,ttH_1t0b_MET_300_400,4.471982955932617,4.471982955932617,3.667952575683594
VBF,ttH_1t0b_MET_300_400,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1t0b_MET_300_400,52.069297790527344,52.069297790527344,13.132001953124998
VH,ttH_1t0b_MET_300_400,0.017781263217329982,0.017781263217329982,7.27598089724779e-05
Zinv,ttH_1t0b_MET_300_400,9.71440887451172,9.71440887451172,0.3488323593139648
ggF,ttH_1t0b_MET_300_400,0.05233008041977882,0.05233008041977882,0.0007268671691417697
ttH,ttH_1t0b_MET_300_400,0.8431392312049866,0.8431392312049866,0.1821160316467285
data,ttH_1t0b_MET_400_2000,50.0,50.0,50.0
Qcd,ttH_1t0b_MET_400_2000,1.5240629911422732,1.5240629911422732,0.4116753387451173
VBF,ttH_1t0b_MET_400_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1t0b_MET_400_2000,32.09539031982422,32.09539031982422,5.458372192382812
VH,ttH_1t0b_MET_400_2000,0.1313890665769577,0.1313890665769577,0.0039347055554389936
Zinv,ttH_1t0b_MET_400_2000,16.774612426757812,16.774612426757812,1.2862779235839843
ggF,ttH_1t0b_MET_400_2000,0.2887725830078125,0.2887725830078125,0.021999192237854005
ttH,ttH_1t0b_MET_400_2000,1.2297691106796265,1.2297691106796265,0.3850862121582031
data,ttH_1t1b_MET_200_300,87.0,87.0,87.0
Qcd,ttH_1t1b_MET_200_300,6.166574954986572,6.166574954986572,6.813092651367188
VBF,ttH_1t1b_MET_200_300,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
ggF,ttH_1t1b_MET_200_300,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ttw,ttH_1t1b_MET_200_300,75.47622680664062,75.47622680664062,13.070831298828125
VH,ttH_1t1b_MET_200_300,0.011171416379511356,0.011171416379511356,2.9908532742410888e-05
Zinv,ttH_1t1b_MET_200_300,4.602846622467041,4.602846622467041,0.0916990661621094
ttH,ttH_1t1b_MET_200_300,1.4452614784240725,1.4452614784240725,0.545997314453125
data,ttH_1t1b_MET_300_400,77.0,77.0,77.0
Qcd,ttH_1t1b_MET_300_400,1.7672128677368164,1.7672128677368164,0.5483807373046875
VBF,ttH_1t1b_MET_300_400,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1t1b_MET_300_400,61.27690887451172,61.27690887451172,11.868182373046874
VH,ttH_1t1b_MET_300_400,0.01636418141424656,0.01636418141424656,6.625337526202202e-05
Zinv,ttH_1t1b_MET_300_400,3.49409294128418,3.49409294128418,0.05076589107513428
ggF,ttH_1t1b_MET_300_400,0.006410870235413313,0.006410870235413313,1.1635858099907638e-05
ttH,ttH_1t1b_MET_300_400,1.6915347576141355,1.6915347576141355,0.7427024078369141
data,ttH_1t1b_MET_400_600,52.0,52.0,52.0
Qcd,ttH_1t1b_MET_400_600,0.5447157621383667,0.5447157621383667,0.05237113475799561
VBF,ttH_1t1b_MET_400_600,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1t1b_MET_400_600,33.91324996948242,33.91324996948242,4.88648468017578
VH,ttH_1t1b_MET_400_600,0.00829006265848875,0.00829006265848875,1.6660833498463035e-05
Zinv,ttH_1t1b_MET_400_600,4.748076438903809,4.748076438903809,0.09226357460021972
ggF,ttH_1t1b_MET_400_600,0.03831558674573898,0.03831558674573898,0.00039493203163146965
ttH,ttH_1t1b_MET_400_600,1.849015951156616,1.849015951156616,0.8835135650634766
data,ttH_1t1b_MET_600_2000,3.0,3.0,3.0
Qcd,ttH_1t1b_MET_600_2000,0.060421235859394073,0.060421235859394073,0.0006448315083980563
VBF,ttH_1t1b_MET_600_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1t1b_MET_600_2000,2.8883256912231445,2.8883256912231445,0.27992782592773435
VH,ttH_1t1b_MET_600_2000,0.011744385585188866,0.011744385585188866,3.092858707532287e-05
Zinv,ttH_1t1b_MET_600_2000,1.82199501991272,1.82199501991272,0.021113307476043702
ggF,ttH_1t1b_MET_600_2000,0.02735801413655281,0.02735801413655281,0.0001974990963935852
ttH,ttH_1t1b_MET_600_2000,0.43835800886154175,0.43835800886154175,0.049252490997314456
data,ttH_1w1b_MET_200_300,514.0,514.0,514.0
Qcd,ttH_1w1b_MET_200_300,7.960151195526122,7.960151195526122,11.141893310546877
Ttw,ttH_1w1b_MET_200_300,496.64697265625,496.64697265625,181.06916015625
VBF,ttH_1w1b_MET_200_300,0.0637606680393219,0.0637606680393219,0.0009831979125738146
VH,ttH_1w1b_MET_200_300,0.47851309180259705,0.47851309180259705,0.047871489524841306
Zinv,ttH_1w1b_MET_200_300,31.03950309753418,31.03950309753418,10.17391845703125
ggF,ttH_1w1b_MET_200_300,0.17705097794532776,0.17705097794532776,0.007435150742530823
ttH,ttH_1w1b_MET_200_300,4.857636451721191,4.857636451721191,5.377283325195314
data,ttH_1w1b_MET_300_400,147.0,147.0,147.0
Qcd,ttH_1w1b_MET_300_400,2.284753561019897,2.284753561019897,0.9483619689941406
VBF,ttH_1w1b_MET_300_400,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1w1b_MET_300_400,123.53382110595705,123.53382110595705,31.053132324218755
VH,ttH_1w1b_MET_300_400,0.34353914856910706,0.34353914856910706,0.02465970039367676
Zinv,ttH_1w1b_MET_300_400,16.751890182495114,16.751890182495114,2.8083468627929693
ggF,ttH_1w1b_MET_300_400,0.16248852014541626,0.16248852014541626,0.006310718059539794
ttH,ttH_1w1b_MET_300_400,2.35832142829895,2.35832142829895,1.2598479461669922
data,ttH_1w1b_MET_400_2000,45.0,45.0,45.0
Qcd,ttH_1w1b_MET_400_2000,0.7853334546089172,0.7853334546089172,0.11026060104370117
VBF,ttH_1w1b_MET_400_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1w1b_MET_400_2000,20.400005340576172,20.400005340576172,2.72395263671875
VH,ttH_1w1b_MET_400_2000,0.2796586751937866,0.2796586751937866,0.01692911744117737
Zinv,ttH_1w1b_MET_400_2000,9.68295669555664,9.68295669555664,1.14904182434082
ggF,ttH_1w1b_MET_400_2000,0.13247165083885193,0.13247165083885193,0.004226093292236328
ttH,ttH_1w1b_MET_400_2000,1.0071756839752195,1.0071756839752195,0.2278545379638672
data,ttH_1w2b_MET_200_300,308.0,308.0,308.0
Qcd,ttH_1w2b_MET_200_300,0.972226083278656,0.972226083278656,0.16839065551757812
VBF,ttH_1w2b_MET_200_300,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1w2b_MET_200_300,290.172119140625,290.172119140625,98.658759765625
VH,ttH_1w2b_MET_200_300,0.09047982841730118,0.09047982841730118,0.0017116682231426241
Zinv,ttH_1w2b_MET_200_300,7.447537422180176,7.447537422180176,0.531766128540039
ggF,ttH_1w2b_MET_200_300,0.014642946422100069,0.014642946422100069,5.324985831975937e-05
ttH,ttH_1w2b_MET_200_300,3.1830408573150635,3.1830408573150635,2.3429534912109373
data,ttH_1w2b_MET_300_400,76.0,76.0,76.0
Qcd,ttH_1w2b_MET_300_400,0.27789542078971863,0.27789542078971863,0.013669903278350829
VBF,ttH_1w2b_MET_300_400,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1w2b_MET_300_400,58.37435531616211,58.37435531616211,15.48291015625
VH,ttH_1w2b_MET_300_400,0.0223716963082552,0.0223716963082552,0.00010571091435849665
Zinv,ttH_1w2b_MET_300_400,3.18564510345459,3.18564510345459,0.1027367877960205
ggF,ttH_1w2b_MET_300_400,0.01405861880630255,0.01405861880630255,4.66270511969924e-05
ttH,ttH_1w2b_MET_300_400,1.5828347206115725,1.5828347206115725,0.5751278686523438
data,ttH_1w2b_MET_400_2000,14.0,14.0,14.0
Qcd,ttH_1w2b_MET_400_2000,0.09521735459566116,0.09521735459566116,0.0016085855662822724
VBF,ttH_1w2b_MET_400_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_1w2b_MET_400_2000,8.690751075744629,8.690751075744629,1.198530197143555
VH,ttH_1w2b_MET_400_2000,0.04346634820103645,0.04346634820103645,0.0004108432680368423
Zinv,ttH_1w2b_MET_400_2000,2.073871612548828,2.073871612548828,0.054608783721923834
ggF,ttH_1w2b_MET_400_2000,0.010466910898685457,0.010466910898685457,3.763648681342602e-05
ttH,ttH_1w2b_MET_400_2000,0.6305158734321594,0.6305158734321594,0.09095582962036136
data,ttH_2Boosted_MET_200_300,12.0,12.0,12.0
Qcd,ttH_2Boosted_MET_200_300,1.4320590496063232,1.4320590496063232,0.3422110748291016
VBF,ttH_2Boosted_MET_200_300,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
ggF,ttH_2Boosted_MET_200_300,3.190259167951126e-10,3.190259167951126e-10,2.5209611297502966e-20
Ttw,ttH_2Boosted_MET_200_300,7.7196173667907715,7.7196173667907715,2.8343881225585936
VH,ttH_2Boosted_MET_200_300,0.002468471182510257,0.002468471182510257,1.443141372874379e-06
Zinv,ttH_2Boosted_MET_200_300,1.7271301746368408,1.7271301746368408,0.03386918067932128
ttH,ttH_2Boosted_MET_200_300,0.9192538261413574,0.9192538261413574,0.20549554824829105
data,ttH_2Boosted_MET_300_400,9.0,9.0,9.0
Qcd,ttH_2Boosted_MET_300_400,0.4104438126087189,0.4104438126087189,0.0302455997467041
VBF,ttH_2Boosted_MET_300_400,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_2Boosted_MET_300_400,2.8444690704345703,2.8444690704345703,0.8543260955810548
VH,ttH_2Boosted_MET_300_400,0.00287037855014205,0.00287037855014205,1.9825989147648216e-06
Zinv,ttH_2Boosted_MET_300_400,1.2432494163513184,1.2432494163513184,0.01124693512916565
ggF,ttH_2Boosted_MET_300_400,0.006781201809644699,0.006781201809644699,2.8985508251935246e-05
ttH,ttH_2Boosted_MET_300_400,0.6461470723152161,0.6461470723152161,0.10351675033569337
data,ttH_2Boosted_MET_400_2000,4.0,4.0,4.0
Qcd,ttH_2Boosted_MET_400_2000,0.1402997076511383,0.1402997076511383,0.0034956195950508113
VBF,ttH_2Boosted_MET_400_2000,3.137694548627224e-10,3.137694548627224e-10,2.276139656672365e-20
Ttw,ttH_2Boosted_MET_400_2000,1.136371612548828,1.136371612548828,0.2053362274169922
VH,ttH_2Boosted_MET_400_2000,0.005863745231181383,0.005863745231181383,1.08049635309726e-05
Zinv,ttH_2Boosted_MET_400_2000,1.2462377548217771,1.2462377548217771,0.01132937788963318
ggF,ttH_2Boosted_MET_400_2000,0.0013904914958402517,0.0013904914958402517,5.53184472664725e-07
ttH,ttH_2Boosted_MET_400_2000,0.7076016664505005,0.7076016664505005,0.12588473320007326
data,ttH_5j1b_MET_200_300,2949.0,2949.0,2949.0
Qcd,ttH_5j1b_MET_200_300,36.15275955200195,36.15275955200195,238.40123046875
Ttw,ttH_5j1b_MET_200_300,2193.331787109375,2193.331787109375,1189.56890625
VBF,ttH_5j1b_MET_200_300,0.7424096465110779,0.7424096465110779,0.13293159484863284
VH,ttH_5j1b_MET_200_300,2.7925825119018555,2.7925825119018555,1.6995724487304686
Zinv,ttH_5j1b_MET_200_300,649.9884033203125,649.9884033203125,1520.34078125
ggF,ttH_5j1b_MET_200_300,6.704083442687987,6.704083442687987,11.379254150390626
ttH,ttH_5j1b_MET_200_300,9.198894500732422,9.198894500732422,20.38587646484375
data,ttH_5j1b_MET_300_400,653.0,653.0,653.0
Qcd,ttH_5j1b_MET_300_400,10.23133659362793,10.23133659362793,18.98708251953125
Ttw,ttH_5j1b_MET_300_400,361.6649169921875,361.6649169921875,120.52836914062502
VBF,ttH_5j1b_MET_300_400,0.285112202167511,0.285112202167511,0.02005805253982544
VH,ttH_5j1b_MET_300_400,1.148740530014038,1.148740530014038,0.28708639144897463
Zinv,ttH_5j1b_MET_300_400,297.6398620605469,297.6398620605469,449.28843749999993
