process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ttH_1t0b_MET_200_300,191.0,191.0,191.0
VBF,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1t0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1t0b_MET_200_300,160.6739501953125,160.6739501953125,164.70189453125
ttH,ttH_1t0b_MET_200_300,0.11327693611383438,0.11327693611383438,0.00020469781011343
data,ttH_1t0b_MET_300_400,142.0,142.0,142.0
VBF,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1t0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1t0b_MET_300_400,132.40821838378906,132.40821838378906,75.70288085937501
ttH,ttH_1t0b_MET_300_400,0.19285832345485687,0.19285832345485687,0.00048014175146818164
data,ttH_1t0b_MET_400_2000,198.0,198.0,198.0
VBF,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1t0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1t0b_MET_400_2000,124.12263488769531,124.12263488769531,82.59230468749998
ttH,ttH_1t0b_MET_400_2000,0.25677451491355896,0.25677451491355896,0.0007364159077405929
data,ttH_1t1b_MET_200_300,319.0,319.0,319.0
VBF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1t1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1t1b_MET_200_300,269.8524169921875,269.8524169921875,472.0555859375
ttH,ttH_1t1b_MET_200_300,0.4064846932888031,0.4064846932888031,0.0031624984741210928
data,ttH_1t1b_MET_300_400,323.0,323.0,323.0
VBF,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1t1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1t1b_MET_300_400,242.4693298339844,242.4693298339844,324.676953125
ttH,ttH_1t1b_MET_300_400,0.4171297252178192,0.4171297252178192,0.0027110454440116877
data,ttH_1t1b_MET_400_600,267.0,267.0,267.0
VBF,ttH_1t1b_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1t1b_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1t1b_MET_400_600,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1t1b_MET_400_600,173.5697784423828,173.5697784423828,202.54494140625
ttH,ttH_1t1b_MET_400_600,0.4148220419883728,0.4148220419883728,0.0031913861632347105
data,ttH_1t1b_MET_600_2000,31.0,31.0,31.0
VBF,ttH_1t1b_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1t1b_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1t1b_MET_600_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1t1b_MET_600_2000,26.13994407653809,26.13994407653809,6.816259765625
ttH,ttH_1t1b_MET_600_2000,0.14846037328243256,0.14846037328243256,0.00042844831943511963
data,ttH_1w1b_MET_200_300,1213.0,1213.0,1213.0
VBF,ttH_1w1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1w1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1w1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1w1b_MET_200_300,1069.0225830078123,1069.0225830078123,9598.520000000002
ttH,ttH_1w1b_MET_200_300,0.9728745818138124,0.9728745818138124,0.015474411249160769
data,ttH_1w1b_MET_300_400,446.0,446.0,446.0
VBF,ttH_1w1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1w1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1w1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1w1b_MET_300_400,375.0645446777344,375.0645446777344,1312.2928125000005
ttH,ttH_1w1b_MET_300_400,0.4393125176429749,0.4393125176429749,0.003119086921215057
data,ttH_1w1b_MET_400_2000,150.0,150.0,150.0
VBF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1w1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1w1b_MET_400_2000,131.80026245117188,131.80026245117188,170.33847656250003
ttH,ttH_1w1b_MET_400_2000,0.276779443025589,0.276779443025589,0.0015216171741485596
data,ttH_1w2b_MET_200_300,753.0,753.0,753.0
VBF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1w2b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1w2b_MET_200_300,726.6663208007812,726.6663208007812,5404.758125000001
ttH,ttH_1w2b_MET_200_300,0.7173799872398376,0.7173799872398376,0.010486320257186892
data,ttH_1w2b_MET_300_400,302.0,302.0,302.0
VBF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1w2b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1w2b_MET_300_400,230.73455810546875,230.73455810546875,597.9416796875
ttH,ttH_1w2b_MET_300_400,0.4375571608543396,0.4375571608543396,0.00362226665019989
data,ttH_1w2b_MET_400_2000,89.0,89.0,89.0
VBF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
VH,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,2.4459850266640943e-22
ggF,ttH_1w2b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,3.9082479655419416e-21
Ewk,ttH_1w2b_MET_400_2000,66.30332946777344,66.30332946777344,57.12517089843751
ttH,ttH_1w2b_MET_400_2000,0.1236800104379654,0.1236800104379654,0.0003456124663352967
data,ttH_2Boosted_MET_200_300,28.0,28.0,28.0
VBF,ttH_2Boosted_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,6.814136817861967e-22
