process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_5j1b_MET_200_300,122.7222671508789,122.7222671508789,1603.386875
total_pred_prefit,ttH_5j1b_MET_300_400,49.71757888793945,49.71757888793945,63.722783203125
total_pred_prefit,ttH_5j1b_MET_400_600,18.07599639892578,18.07599639892578,11.672025146484375
total_pred_prefit,ttH_5j1b_MET_600_2000,2.107107639312744,2.107107639312744,2.199019012451172
total_pred_prefit,ttH_5j2b_MET_200_300,33.019813537597656,33.019813537597656,74.17044921875
total_pred_prefit,ttH_5j2b_MET_300_400,10.269339561462402,10.269339561462402,2.830582885742188
total_pred_prefit,ttH_5j2b_MET_400_2000,4.1919803619384775,4.1919803619384775,0.5590958023071289
total_pred_prefit,ttH_6j1b_MET_200_300,52.57086563110352,52.57086563110352,249.796171875
total_pred_prefit,ttH_6j1b_MET_300_400,24.85873603820801,24.85873603820801,12.859371337890625
total_pred_prefit,ttH_6j1b_MET_400_2000,11.043331146240234,11.043331146240234,5.490281982421876
total_pred_prefit,ttH_6j2b_MET_200_300,16.876256942749027,16.876256942749027,15.977197265625
total_pred_prefit,ttH_6j2b_MET_300_400,6.531179428100586,6.531179428100586,1.2033620452880858
total_pred_prefit,ttH_6j2b_MET_400_2000,3.5205671787261963,3.5205671787261963,0.3563960266113281
data,ttH_5j1b_MET_200_300,128.0,128.0,128.0
VBF,ttH_5j1b_MET_200_300,0.0,0.0,0.0
VH,ttH_5j1b_MET_200_300,0.0,0.0,0.0
ggF,ttH_5j1b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_200_300,130.82713317871094,130.82713317871094,41.14536621093751
data,ttH_5j1b_MET_300_400,58.0,58.0,58.0
VBF,ttH_5j1b_MET_300_400,0.0,0.0,0.0
VH,ttH_5j1b_MET_300_400,0.0,0.0,0.0
ggF,ttH_5j1b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_300_400,52.44451141357422,52.44451141357422,12.613889160156253
data,ttH_5j1b_MET_400_600,26.0,26.0,26.0
VBF,ttH_5j1b_MET_400_600,0.0,0.0,0.0
VH,ttH_5j1b_MET_400_600,0.0,0.0,0.0
ggF,ttH_5j1b_MET_400_600,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_400_600,24.74409103393555,24.74409103393555,5.252272338867186
data,ttH_5j1b_MET_600_2000,2.0,2.0,2.0
VBF,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
VH,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
ggF,ttH_5j1b_MET_600_2000,0.0,0.0,0.0
Ewk,ttH_5j1b_MET_600_2000,1.513455867767334,1.513455867767334,0.09886622428894044
data,ttH_5j2b_MET_200_300,23.0,23.0,23.0
VBF,ttH_5j2b_MET_200_300,0.0,0.0,0.0
VH,ttH_5j2b_MET_200_300,0.0,0.0,0.0
ggF,ttH_5j2b_MET_200_300,0.0,0.0,0.0
Ewk,ttH_5j2b_MET_200_300,26.88883781433105,26.88883781433105,8.060871582031252
data,ttH_5j2b_MET_300_400,13.0,13.0,13.0
VBF,ttH_5j2b_MET_300_400,0.0,0.0,0.0
VH,ttH_5j2b_MET_300_400,0.0,0.0,0.0
ggF,ttH_5j2b_MET_300_400,0.0,0.0,0.0
Ewk,ttH_5j2b_MET_300_400,14.48613166809082,14.48613166809082,2.967615966796875
data,ttH_5j2b_MET_400_2000,4.0,4.0,4.0
VBF,ttH_5j2b_MET_400_2000,0.0,0.0,0.0
