process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,99.0,99.0,99.0
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Ewk,VH_2j2b_MET_200_2000,88.79176330566406,88.79176330566406,69.14145996093748
QCD_from_photon_purity,VH_2j2b_MET_200_2000,3.402329206466675,3.402329206466675,0.7335369110107423
data,VH_1V_MET_200_300,2293.0,2293.0,2293.0
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
Ewk,VH_1V_MET_200_300,2142.5986328125,2142.5986328125,2999.82625
QCD_from_photon_purity,VH_1V_MET_200_300,83.7620849609375,83.7620849609375,442.178046875
data,VH_1V_MET_300_400,724.0,724.0,724.0
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
Ewk,VH_1V_MET_300_400,690.7197265625,690.7197265625,806.7323437499998
QCD_from_photon_purity,VH_1V_MET_300_400,22.717227935791016,22.717227935791016,32.49427978515626
data,VH_1V_MET_400_2000,52.0,52.0,52.0
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
Ewk,VH_1V_MET_400_2000,52.03208541870117,52.03208541870117,48.90612792968749
QCD_from_photon_purity,VH_1V_MET_400_2000,1.2055301666259766,1.2055301666259766,0.09119153976440428
data,VH_2j0b_MET_200_300,6018.0,6018.0,6018.0
VBF,VH_2j0b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j0b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j0b_MET_200_300,5811.404296875,5811.404296875,7597.984375
QCD_from_photon_purity,VH_2j0b_MET_200_300,218.3960723876953,218.3960723876953,2996.3821874999994
VH,VH_2j0b_MET_200_300,0.0,0.0,0.0
data,VH_2j0b_MET_300_400,2037.0,2037.0,2037.0
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j0b_MET_300_400,1964.8197021484373,1964.8197021484373,1794.87359375
QCD_from_photon_purity,VH_2j0b_MET_300_400,62.94422912597656,62.94422912597656,248.82716796875
data,VH_2j0b_MET_400_2000,233.0,233.0,233.0
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j0b_MET_400_2000,223.1842041015625,223.1842041015625,204.74544921875
QCD_from_photon_purity,VH_2j0b_MET_400_2000,5.474977493286133,5.474977493286133,1.8832748413085936
data,VH_2j1b_MET_200_300,685.0,685.0,685.0
VBF,VH_2j1b_MET_200_300,0.0,0.0,0.0
VH,VH_2j1b_MET_200_300,0.0,0.0,0.0
ggF,VH_2j1b_MET_200_300,0.0,0.0,0.0
Ewk,VH_2j1b_MET_200_300,621.4764404296875,621.4764404296875,609.361640625
QCD_from_photon_purity,VH_2j1b_MET_200_300,24.3175106048584,24.3175106048584,37.454873046875
data,VH_2j1b_MET_300_400,212.0,212.0,212.0
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
Ewk,VH_2j1b_MET_300_400,205.99642944335938,205.99642944335938,194.93853515625
QCD_from_photon_purity,VH_2j1b_MET_300_400,6.352952480316162,6.352952480316162,2.534712371826172
data,VH_2j1b_MET_400_2000,15.0,15.0,15.0
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ewk,VH_2j1b_MET_400_2000,16.685684204101562,16.685684204101562,16.805018310546874
QCD_from_photon_purity,VH_2j1b_MET_400_2000,0.3414343595504761,0.3414343595504761,0.007318719029426574
