process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,99.0,99.0,99.0
VBF,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j2b_MET_200_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j2b_MET_200_2000,88.77706146240234,88.77706146240234,69.80029785156249
QCD_from_photon_purity,VH_2j2b_MET_200_2000,3.404266834259033,3.404266834259033,0.6243323516845704
data,VH_1V_MET_200_300,2293.0,2293.0,2293.0
VBF,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_200_300,2142.504150390625,2142.504150390625,3112.7425
QCD_from_photon_purity,VH_1V_MET_200_300,83.81002807617188,83.81002807617188,376.33675781250014
data,VH_1V_MET_300_400,724.0,724.0,724.0
VBF,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_300_400,690.6917724609375,690.6917724609375,822.52140625
QCD_from_photon_purity,VH_1V_MET_300_400,22.73027038574219,22.73027038574219,27.594538574218756
data,VH_1V_MET_400_2000,52.0,52.0,52.0
VBF,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_400_2000,52.01860046386719,52.01860046386719,44.878740234375
QCD_from_photon_purity,VH_1V_MET_400_2000,1.206225037574768,1.206225037574768,0.07817280769348146
data,VH_2j0b_MET_200_300,6018.0,6018.0,6018.0
VBF,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
ggF,VH_2j0b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_200_300,5811.36083984375,5811.36083984375,9939.756874999995
QCD_from_photon_purity,VH_2j0b_MET_200_300,218.5210418701172,218.5210418701172,2552.7107812500008
VH,VH_2j0b_MET_200_300,0.006675627548247576,0.006675627548247576,0.10947110176086426
data,VH_2j0b_MET_300_400,2037.0,2037.0,2037.0
VBF,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_300_400,1964.792724609375,1964.792724609375,2077.24375
QCD_from_photon_purity,VH_2j0b_MET_300_400,62.98031616210938,62.98031616210938,212.1172265625
data,VH_2j0b_MET_400_2000,233.0,233.0,233.0
VBF,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_400_2000,223.23291015625,223.23291015625,203.9396875
QCD_from_photon_purity,VH_2j0b_MET_400_2000,5.478126525878906,5.478126525878906,1.6049111938476563
data,VH_2j1b_MET_200_300,685.0,685.0,685.0
VBF,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_200_300,621.515380859375,621.515380859375,503.116171875
QCD_from_photon_purity,VH_2j1b_MET_200_300,24.33152961730957,24.33152961730957,31.8593310546875
data,VH_2j1b_MET_300_400,212.0,212.0,212.0
VBF,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_300_400,205.9792633056641,205.9792633056641,177.18083984375
QCD_from_photon_purity,VH_2j1b_MET_300_400,6.3566036224365225,6.3566036224365225,2.159539794921875
data,VH_2j1b_MET_400_2000,15.0,15.0,15.0
VBF,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_400_2000,16.68593978881836,16.68593978881836,14.579610595703127
QCD_from_photon_purity,VH_2j1b_MET_400_2000,0.34163036942481995,0.34163036942481995,0.0062000095844268795
