process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,99.0,99.0,99.0
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j2b_MET_200_2000,81.37759399414062,81.37759399414062,193.5791015625
QCD_from_photon_purity,VH_2j2b_MET_200_2000,3.3288919925689697,3.3288919925689697,0.5555245971679688
data,VH_1V_MET_200_300,2293.0,2293.0,2293.0
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_1V_MET_200_300,2124.822021484375,2124.822021484375,116585.92999999998
QCD_from_photon_purity,VH_1V_MET_200_300,82.07711791992188,82.07711791992188,337.259453125
data,VH_1V_MET_300_400,724.0,724.0,724.0
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_1V_MET_300_400,570.4755249023438,570.4755249023438,9461.48625
QCD_from_photon_purity,VH_1V_MET_300_400,22.27434730529785,22.27434730529785,24.846826171875005
data,VH_1V_MET_400_2000,52.0,52.0,52.0
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_1V_MET_400_2000,44.19450378417969,44.19450378417969,99.284248046875
QCD_from_photon_purity,VH_1V_MET_400_2000,1.183281421661377,1.183281421661377,0.06979726314544678
data,VH_2j0b_MET_200_300,6018.0,6018.0,6018.0
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j0b_MET_200_300,5777.17138671875,5777.17138671875,530518.12
QCD_from_photon_purity,VH_2j0b_MET_200_300,214.25538635253903,214.25538635253903,2298.701875
VH,VH_2j0b_MET_200_300,0.03248010575771332,0.03248010575771332,3.016577567905188e-05
data,VH_2j0b_MET_300_400,2037.0,2037.0,2037.0
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j0b_MET_300_400,2122.681640625,2122.681640625,75168.515
QCD_from_photon_purity,VH_2j0b_MET_300_400,61.73738479614258,61.73738479614258,190.79521484375
data,VH_2j0b_MET_400_2000,233.0,233.0,233.0
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j0b_MET_400_2000,288.4368591308594,288.4368591308594,1524.8139062500004
QCD_from_photon_purity,VH_2j0b_MET_400_2000,5.368299961090088,5.368299961090088,1.4426594543457034
data,VH_2j1b_MET_200_300,685.0,685.0,685.0
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j1b_MET_200_300,449.0560607910156,449.0560607910156,4328.795000000001
QCD_from_photon_purity,VH_2j1b_MET_200_300,23.801713943481445,23.801713943481445,28.50208740234375
data,VH_2j1b_MET_300_400,212.0,212.0,212.0
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j1b_MET_300_400,184.88677978515625,184.88677978515625,909.870390625
QCD_from_photon_purity,VH_2j1b_MET_300_400,6.232367992401122,6.232367992401122,1.9366409301757812
data,VH_2j1b_MET_400_2000,15.0,15.0,15.0
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j1b_MET_400_2000,21.30912971496582,21.30912971496582,23.543620605468753
QCD_from_photon_purity,VH_2j1b_MET_400_2000,0.3359111845493317,0.3359111845493317,0.005665792822837829
