process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Qcd,VH_2j2b_MET_200_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,VH_2j2b_MET_200_2000,125.8798599243164,125.8798599243164,65.1683056640625
VBF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
VH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Zinv,VH_2j2b_MET_200_2000,187.96112060546875,187.96112060546875,443.6057031250001
ggF,VH_2j2b_MET_200_2000,0.0,0.0,0.0
ttH,VH_2j2b_MET_200_2000,0.0,0.0,0.0
data,VH_1V_MET_200_300,0.0,0.0,0.0
Qcd,VH_1V_MET_200_300,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,VH_1V_MET_200_300,1376.488525390625,1376.488525390625,1117.2709375
VBF,VH_1V_MET_200_300,0.0,0.0,0.0
VH,VH_1V_MET_200_300,0.0,0.0,0.0
Zinv,VH_1V_MET_200_300,3097.180419921875,3097.180419921875,10010.611249999998
ggF,VH_1V_MET_200_300,0.0,0.0,0.0
ttH,VH_1V_MET_200_300,0.0,0.0,0.0
data,VH_1V_MET_300_400,0.0,0.0,0.0
Qcd,VH_1V_MET_300_400,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,VH_1V_MET_300_400,185.6123504638672,185.6123504638672,92.49181640624998
VBF,VH_1V_MET_300_400,0.0,0.0,0.0
VH,VH_1V_MET_300_400,0.0,0.0,0.0
Zinv,VH_1V_MET_300_400,667.0501708984375,667.0501708984375,1513.7575
ggF,VH_1V_MET_300_400,0.0,0.0,0.0
ttH,VH_1V_MET_300_400,0.0,0.0,0.0
data,VH_1V_MET_400_2000,0.0,0.0,0.0
Qcd,VH_1V_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,VH_1V_MET_400_2000,7.7097978591918945,7.7097978591918945,1.4426902770996095
VBF,VH_1V_MET_400_2000,0.0,0.0,0.0
VH,VH_1V_MET_400_2000,0.0,0.0,0.0
Zinv,VH_1V_MET_400_2000,54.42091751098633,54.42091751098633,80.2134130859375
ggF,VH_1V_MET_400_2000,0.0,0.0,0.0
ttH,VH_1V_MET_400_2000,0.0,0.0,0.0
data,VH_2j0b_MET_300_400,0.0,0.0,0.0
Qcd,VH_2j0b_MET_300_400,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,VH_2j0b_MET_300_400,604.4530029296875,604.4530029296875,556.84578125
VBF,VH_2j0b_MET_300_400,0.0,0.0,0.0
VH,VH_2j0b_MET_300_400,0.0,0.0,0.0
Zinv,VH_2j0b_MET_300_400,1146.3328857421875,1146.3328857421875,1308.577421875
ggF,VH_2j0b_MET_300_400,0.0,0.0,0.0
ttH,VH_2j0b_MET_300_400,0.0,0.0,0.0
data,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Qcd,VH_2j0b_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,VH_2j0b_MET_400_2000,44.29136657714844,44.29136657714844,25.748386230468746
VBF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
VH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
Zinv,VH_2j0b_MET_400_2000,112.81187438964844,112.81187438964844,75.184619140625
ggF,VH_2j0b_MET_400_2000,0.0,0.0,0.0
ttH,VH_2j0b_MET_400_2000,0.0,0.0,0.0
data,VH_2j1b_MET_300_400,0.0,0.0,0.0
Qcd,VH_2j1b_MET_300_400,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
Ttw,VH_2j1b_MET_300_400,70.86075592041016,70.86075592041016,26.82619873046875
VBF,VH_2j1b_MET_300_400,0.0,0.0,0.0
VH,VH_2j1b_MET_300_400,0.0,0.0,0.0
Zinv,VH_2j1b_MET_300_400,136.16377258300778,136.16377258300778,199.00251953125
ggF,VH_2j1b_MET_300_400,0.0,0.0,0.0
ttH,VH_2j1b_MET_300_400,0.0,0.0,0.0
data,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Qcd,VH_2j1b_MET_400_2000,1.0006685480234976e-09,1.0006685480234976e-09,5.493898399090515e-22
VBF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Ttw,VH_2j1b_MET_400_2000,6.0292510986328125,6.0292510986328125,2.045809326171875
VH,VH_2j1b_MET_400_2000,0.0,0.0,0.0
Zinv,VH_2j1b_MET_400_2000,10.502984046936037,10.502984046936037,10.114773559570313
ggF,VH_2j1b_MET_400_2000,0.0,0.0,0.0
