process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,0.0,0.0,0.0
Qcd,VH_2j2b_MET_200_2000,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
Ttw,VH_2j2b_MET_200_2000,125.87907409667969,125.87907409667969,54.9204296875
VBF,VH_2j2b_MET_200_2000,0.04324789345264435,0.04324789345264435,6.060010375976563
VH,VH_2j2b_MET_200_2000,9.79484748840332,9.79484748840332,236802.58
Zinv,VH_2j2b_MET_200_2000,187.9838104248047,187.9838104248047,363.5719140625
ggF,VH_2j2b_MET_200_2000,0.759553074836731,0.759553074836731,1413.0503125000002
ttH,VH_2j2b_MET_200_2000,0.13363918662071228,0.13363918662071228,42.6751904296875
data,VH_1V_MET_200_300,0.0,0.0,0.0
Qcd,VH_1V_MET_200_300,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
Ttw,VH_1V_MET_200_300,1376.368896484375,1376.368896484375,1212.126171875
VBF,VH_1V_MET_200_300,1.2742067575454712,1.2742067575454712,4210.489375000001
VH,VH_1V_MET_200_300,111.0955810546875,111.0955810546875,31513515.520000003
Zinv,VH_1V_MET_200_300,3097.50244140625,3097.50244140625,11469.273749999997
ggF,VH_1V_MET_200_300,8.92202091217041,8.92202091217041,202933.08
ttH,VH_1V_MET_200_300,0.1524077206850052,0.1524077206850052,58.06714843750001
data,VH_1V_MET_300_400,0.0,0.0,0.0
Qcd,VH_1V_MET_300_400,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
Ttw,VH_1V_MET_300_400,185.5912933349609,185.5912933349609,82.49751953125
VBF,VH_1V_MET_300_400,0.4696048498153687,0.4696048498153687,566.013828125
VH,VH_1V_MET_300_400,32.61815643310547,32.61815643310547,2715899.84
Zinv,VH_1V_MET_300_400,667.1123657226562,667.1123657226562,1606.13546875
ggF,VH_1V_MET_300_400,1.9862234592437744,1.9862234592437744,10054.053125000002
ttH,VH_1V_MET_300_400,0.04030615463852882,0.04030615463852882,4.045256958007813
data,VH_1V_MET_400_2000,0.0,0.0,0.0
Qcd,VH_1V_MET_400_2000,1.0005366535281723e-09,1.0005366535281723e-09,5.230012274049614e-22
Ttw,VH_1V_MET_400_2000,7.7089781761169425,7.7089781761169425,1.3134840393066407
VBF,VH_1V_MET_400_2000,0.002399466000497341,0.002399466000497341,0.0723884439468384
VH,VH_1V_MET_400_2000,4.20070219039917,4.20070219039917,45033.70500000001
Zinv,VH_1V_MET_400_2000,54.41453552246094,54.41453552246094,84.794677734375
ggF,VH_1V_MET_400_2000,0.2002960741519928,0.2002960741519928,101.672607421875
