process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,124.0,124.0,124.0
VBF,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j2b_MET_200_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j2b_MET_200_2000,131.6292724609375,131.6292724609375,54.8604931640625
data,VH_1V_MET_200_300,1207.0,1207.0,1207.0
VBF,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_200_300,1253.3282470703125,1253.3282470703125,776.659453125
data,VH_1V_MET_300_400,289.0,289.0,289.0
VBF,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_300_400,274.49319458007807,274.49319458007807,153.97836914062503
data,VH_1V_MET_400_2000,21.0,21.0,21.0
VBF,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_400_2000,22.662857055664066,22.662857055664066,11.387706298828125
data,VH_2j0b_MET_200_300,2945.0,2945.0,2945.0
VBF,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_200_300,2894.47607421875,2894.47607421875,1890.535
data,VH_2j0b_MET_300_400,558.0,558.0,558.0
VBF,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_300_400,554.6500244140625,554.6500244140625,368.728671875
data,VH_2j0b_MET_400_2000,68.0,68.0,68.0
VBF,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_400_2000,65.73468017578125,65.73468017578125,32.89469970703125
data,VH_2j1b_MET_200_300,612.0,612.0,612.0
VBF,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_200_300,607.2478637695312,607.2478637695312,300.505703125
data,VH_2j1b_MET_300_400,103.0,103.0,103.0
VBF,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_300_400,99.20470428466795,99.20470428466795,43.400751953125
data,VH_2j1b_MET_400_2000,5.0,5.0,5.0
VBF,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_400_2000,10.929100036621094,10.929100036621094,5.9580621337890625
