process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,184.0,184.0,184.0
VBF,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j2b_MET_200_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j2b_MET_200_2000,176.36911010742188,176.36911010742188,104.28771484375
data,VH_1V_MET_200_300,1743.0,1743.0,1743.0
VBF,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_200_300,1696.6976318359375,1696.6976318359375,1313.21453125
data,VH_1V_MET_300_400,350.0,350.0,350.0
VBF,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_300_400,364.4777526855469,364.4777526855469,262.53833984375
data,VH_1V_MET_400_2000,29.0,29.0,29.0
VBF,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_400_2000,27.33167839050293,27.33167839050293,15.912581787109374
data,VH_2j0b_MET_200_300,3691.0,3691.0,3691.0
VBF,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_200_300,3741.483154296875,3741.483154296875,2262.9484375
data,VH_2j0b_MET_300_400,702.0,702.0,702.0
VBF,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_300_400,705.3900146484375,705.3900146484375,470.74492187499993
data,VH_2j0b_MET_400_2000,71.0,71.0,71.0
VBF,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_400_2000,73.2629623413086,73.2629623413086,35.6706982421875
data,VH_2j1b_MET_200_300,846.0,846.0,846.0
VBF,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_200_300,850.75341796875,850.75341796875,517.8326953125
data,VH_2j1b_MET_300_400,125.0,125.0,125.0
VBF,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_300_400,128.7940673828125,128.7940673828125,70.02558105468752
data,VH_2j1b_MET_400_2000,17.0,17.0,17.0
VBF,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_400_2000,11.07174015045166,11.07174015045166,6.669696044921873
