process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,17.0,17.0,17.0
VBF,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j2b_MET_200_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j2b_MET_200_2000,19.20928382873535,19.20928382873535,5.0447283935546885
data,VH_1V_MET_200_300,177.0,177.0,177.0
VBF,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_200_300,205.0543670654297,205.0543670654297,59.7685986328125
data,VH_1V_MET_300_400,40.0,40.0,40.0
VBF,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_300_400,44.55935287475586,44.55935287475586,11.406601562500002
data,VH_1V_MET_400_2000,2.0,2.0,2.0
VBF,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_400_2000,3.1674249172210693,3.1674249172210693,0.4287017440795898
data,VH_2j0b_MET_200_300,481.0,481.0,481.0
VBF,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_200_300,479.4376220703125,479.4376220703125,163.466572265625
data,VH_2j0b_MET_300_400,83.0,83.0,83.0
VBF,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_300_400,89.65048217773438,89.65048217773438,17.302753906250004
data,VH_2j0b_MET_400_2000,6.0,6.0,6.0
VBF,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_400_2000,8.464620590209961,8.464620590209961,0.7649812316894531
data,VH_2j1b_MET_200_300,43.0,43.0,43.0
VBF,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_200_300,69.26134490966797,69.26134490966797,18.6607373046875
data,VH_2j1b_MET_300_400,14.0,14.0,14.0
VBF,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_300_400,11.918540000915527,11.918540000915527,1.6617820739746096
data,VH_2j1b_MET_400_2000,1.0,1.0,1.0
VBF,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_400_2000,1.6616467237472534,1.6616467237472534,0.2449454116821289
