process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,17.0,17.0,17.0
VBF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j2b_MET_200_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j2b_MET_200_2000,17.384323120117188,17.384323120117188,8.4367529296875
data,VH_1V_MET_200_300,177.0,177.0,177.0
VBF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_1V_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_1V_MET_200_300,210.27540588378903,210.27540588378903,4759.305625
data,VH_1V_MET_300_400,40.0,40.0,40.0
VBF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_1V_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_1V_MET_300_400,34.932979583740234,34.932979583740234,58.4870068359375
data,VH_1V_MET_400_2000,2.0,2.0,2.0
VBF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_1V_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_1V_MET_400_2000,2.3956458568573,2.3956458568573,0.2605255508422852
data,VH_2j0b_MET_200_300,481.0,481.0,481.0
VBF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j0b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j0b_MET_200_300,467.7302551269531,467.7302551269531,30967.2775
data,VH_2j0b_MET_300_400,83.0,83.0,83.0
VBF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j0b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j0b_MET_300_400,92.07839965820312,92.07839965820312,535.5844921875
data,VH_2j0b_MET_400_2000,6.0,6.0,6.0
VBF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j0b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j0b_MET_400_2000,9.589278221130373,9.589278221130373,2.6401190185546874
data,VH_2j1b_MET_200_300,43.0,43.0,43.0
VBF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j1b_MET_200_300,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j1b_MET_200_300,55.14944076538086,55.14944076538086,254.38796875
data,VH_2j1b_MET_300_400,14.0,14.0,14.0
VBF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j1b_MET_300_400,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j1b_MET_300_400,9.876883506774902,9.876883506774902,6.254383544921875
data,VH_2j1b_MET_400_2000,1.0,1.0,1.0
VBF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,9.658072297994211e-22
VH,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,5.00512254501176e-22
ggF,VH_2j1b_MET_400_2000,9.999999717180683e-10,9.999999717180683e-10,4.253038041357241e-21
Ewk,VH_2j1b_MET_400_2000,1.7168325185775757,1.7168325185775757,0.1477449035644531
