process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,VH_2j2b_MET_200_2000,24.0,24.0,24.0
VBF,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j2b_MET_200_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j2b_MET_200_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j2b_MET_200_2000,28.33049964904785,28.33049964904785,7.834708862304687
data,VH_1V_MET_200_300,262.0,262.0,262.0
VBF,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_200_300,298.1116943359375,298.1116943359375,107.78332031249998
data,VH_1V_MET_300_400,58.0,58.0,58.0
VBF,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_300_400,63.63742446899414,63.63742446899414,18.092419433593744
data,VH_1V_MET_400_2000,8.0,8.0,8.0
VBF,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_1V_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_1V_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_1V_MET_400_2000,5.607443332672119,5.607443332672119,1.147032012939453
data,VH_2j0b_MET_200_300,730.0,730.0,730.0
VBF,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_200_300,720.0834350585938,720.0834350585938,342.89792968749987
data,VH_2j0b_MET_300_400,128.0,128.0,128.0
VBF,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_300_400,130.33512878417972,130.33512878417972,26.082834472656245
data,VH_2j0b_MET_400_2000,12.0,12.0,12.0
VBF,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j0b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j0b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j0b_MET_400_2000,13.73222541809082,13.73222541809082,1.7693609619140622
data,VH_2j1b_MET_200_300,98.0,98.0,98.0
VBF,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_200_300,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_200_300,109.42848205566406,109.42848205566406,39.5943359375
data,VH_2j1b_MET_300_400,18.0,18.0,18.0
VBF,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_300_400,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_300_400,19.71512222290039,19.71512222290039,3.792336730957031
data,VH_2j1b_MET_400_2000,5.0,5.0,5.0
VBF,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,VH_2j1b_MET_400_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,VH_2j1b_MET_400_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,VH_2j1b_MET_400_2000,2.3557016849517822,2.3557016849517822,0.4609063339233399
