process,category,n,weight_nominal:sumw,weight_nominal:sumw2
data,ggF_2jM_MET_200_300,30574.0,30574.0,30574.0
VBF,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
Ewk,ggF_2jM_MET_200_300,29607.013671875,29607.013671875,97480.91000000002
QCD_from_photon_purity,ggF_2jM_MET_200_300,1113.0784912109377,1113.0784912109377,66233.74500000001
ggF,ggF_2jM_MET_200_300,0.0015919323777779935,0.0015919323777779935,0.010411503314971923
data,ggF_2jM_MET_300_400,11118.0,11118.0,11118.0
VBF,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_300_400,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
Ewk,ggF_2jM_MET_300_400,10938.5927734375,10938.5927734375,15586.46
QCD_from_photon_purity,ggF_2jM_MET_300_400,335.89569091796875,335.89569091796875,6022.616250000001
ggF,ggF_2jM_MET_300_400,0.0015208629192784429,0.0015208629192784429,0.00945358216762543
data,ggF_2jM_MET_400_600,3680.0,3680.0,3680.0
VBF,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_400_600,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_400_600,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_400_600,3603.06591796875,3603.06591796875,3409.023125000001
QCD_from_photon_purity,ggF_2jM_MET_400_600,75.08821868896484,75.08821868896484,301.43654296875
data,ggF_2jM_MET_600_2000,536.0,536.0,536.0
VBF,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_2jM_MET_600_2000,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
ggF,ggF_2jM_MET_600_2000,2.4916993468515614e-10,2.4916993468515614e-10,1.53021855169716e-16
Ewk,ggF_2jM_MET_600_2000,527.7982177734375,527.7982177734375,428.9579296875
QCD_from_photon_purity,ggF_2jM_MET_600_2000,6.4783148765563965,6.4783148765563965,2.2453105163574216
data,ggF_3j_MET_200_300,34066.0,34066.0,34066.0
VBF,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.5415593064213583e-16
VH,ggF_3j_MET_200_300,2.491698791740049e-10,2.491698791740049e-10,1.531800809242631e-16
Ewk,ggF_3j_MET_200_300,32671.318359375,32671.318359375,115540.36999999998
QCD_from_photon_purity,ggF_3j_MET_200_300,1230.519287109375,1230.519287109375,81023.26999999999
ggF,ggF_3j_MET_200_300,0.006035410799086094,0.006035410799086094,0.08753857612609864
